"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"T-AwEAAAAAAATV6Snq7gDpgBHrnMoFa1yEXQU","Ameci Pizza & Pasta - Trabuco Rd","Account Adjustment","79491583-5788508,AC","7/20/21","10:30 AM","0","0.00","0","0.00","0","10.99","0","0","0"
"O-543215773411863","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/8/21","5:45 PM","28.48","4.99","0","2.60","5.41","41.48","-4.18","-1.57","0"
"W-595615792641521","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/10/21","5:25 PM","49.55","0.00","0","3.84","10.68","64.07","0","-2.25","0"
"O-791715918976569","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/22/21","10:07 PM","42.47","4.99","0","3.68","10.23","61.37","-5.93","-2.17","0"
"O-252215943707774","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/26/21","4:59 PM","16.47","4.99","0","1.67","4.62","27.75","-2.68","-1.15","0"
"O-023015996510925","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/31/21","4:00 PM","58.45","2.99","0","4.76","12.60","78.80","-7.68","-2.70","0"
"O-794915835788508","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/14/21","8:27 PM","38.97","4.99","0","3.41","7.11","54.48","-5.50","-1.96","0"
"O-363815781438466","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/9/21","9:07 PM","32.46","2.99","0","2.75","4.50","42.70","-4.43","-1.60","0"
"W-248015873618343","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/18/21","7:01 PM","83.19","2.99","0","6.68","10.00","102.86","0","-3.44","0"
"W-255715708581107","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/1/21","7:45 PM","40.25","2.99","0","3.35","9.32","55.91","0","-2.01","0"
"O-189515895814562","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/20/21","6:06 PM","38.34","2.99","0","3.20","8.91","53.44","-5.17","-1.93","0"
"O-287615963246614","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/27/21","8:04 PM","37.72","2.99","0","3.15","8.13","51.99","-5.09","-1.89","0"
"O-112615750361472","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/6/21","8:45 PM","21.98","0.00","0","1.70","2.37","26.05","-2.75","-1.09","0"
"O-925215951109237","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/27/21","12:07 PM","34.97","4.99","0","3.10","5.61","48.67","-5.00","-1.78","0"
"W-572715974676563","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/28/21","6:40 PM","24.73","2.99","0","2.15","4.48","34.35","0","-1.35","0"
"W-690115992771671","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/30/21","8:51 PM","90.96","2.99","0","7.28","20.25","121.48","0","-4.01","0"
"O-248015893612652","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/20/21","9:03 PM","31.97","2.99","0","2.71","10.34","48.01","-4.37","-1.76","0"
"W-969815746664079","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/5/21","8:02 PM","52.91","2.99","0","4.33","9.03","69.26","0","-2.41","0"
"O-161315990652702","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/30/21","9:11 PM","22.98","0.00","0","1.78","0","24.76","-2.87","-1.06","0"
"W-267015695049272","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/1/21","2:30 PM","10.99","0.00","0","0.85","0","11.84","0","-0.66","0"
"W-344315988288496","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/29/21","5:58 PM","52.46","2.99","0","4.30","8.96","68.71","0","-2.40","0"
"W-852315996435723","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/30/21","7:48 PM","60.92","2.99","0","4.95","10.00","78.86","0","-2.71","0"
"O-735115712997653","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/2/21","7:12 PM","51.43","2.99","0","4.22","5.86","64.50","-6.80","-2.27","0"
"O-543215773416194","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/8/21","8:40 PM","14.99","0.00","0","1.16","0","16.15","-1.87","-0.79","0"
"W-791715918940405","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/23/21","1:43 PM","33.57","2.99","0","2.83","5.91","45.30","0","-1.68","0"
"O-082115842558738","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/15/21","6:43 PM","40.97","2.99","0","3.41","6.62","53.99","-5.50","-1.95","0"
"W-987215930350257","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/24/21","8:07 PM","48.75","2.99","0","4.01","5.58","61.33","0","-2.17","0"
"O-072415839996858","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/15/21","5:45 PM","69.69","4.99","0","5.79","16.09","96.56","-9.34","-3.25","0"
"O-857115935908506","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/25/21","5:35 PM","36.56","2.99","0","3.06","5.91","48.52","-4.94","-1.78","0"
"O-969815736668805","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/4/21","6:58 PM","27.47","2.99","0","2.36","5.00","37.82","-3.81","-1.45","0"
"O-280215775749004","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/9/21","4:17 PM","67.74","2.99","0","5.48","11.43","87.64","-8.84","-2.97","0"
"O-971415933747388","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/24/21","7:44 PM","27.98","2.99","0","2.40","5.00","38.37","-3.87","-1.47","0"
"O-719115692320645","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/1/21","12:18 PM","23.73","4.99","0","2.23","4.19","35.14","-3.59","-1.37","0"
"W-189515855831361","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/17/21","2:58 PM","37.57","0.00","0","2.91","0","40.48","0","-1.53","0"
"O-205315862553036","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/17/21","7:15 PM","35.11","2.99","0","2.95","7.57","48.62","-4.76","-1.78","0"
"W-839615941210555","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/25/21","6:15 PM","35.97","2.99","0","3.02","4.20","46.18","0","-1.71","0"
"W-330915695500276","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/1/21","11:32 AM","65.26","0.00","0","5.06","0","70.32","0","-2.44","0"
"O-280215805712429","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/11/21","8:01 PM","25.94","0.00","0","2.01","2.80","30.75","-3.24","-1.24","0"
"O-647015879100917","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/19/21","1:15 PM","16.48","0.00","0","1.28","1.78","19.54","-2.06","-0.90","0"
"O-782615919845218","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/22/21","7:30 PM","23.86","2.99","0","2.08","2.89","31.82","-3.36","-1.27","0"
"O-976115961005704","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/27/21","8:22 PM","26.77","0.00","0","2.07","0","28.84","-3.35","-1.18","0"
"O-464915928117118","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/23/21","8:45 PM","21.98","0.00","0","1.70","3.55","27.23","-2.75","-1.13","0"
"O-989615864124352","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/18/21","4:14 PM","40.03","2.99","0","3.33","3.00","49.35","-5.38","-1.81","0"
"O-255715738581262","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/5/21","9:30 PM","31.97","2.99","0","2.71","7.53","45.20","-4.37","-1.68","0"
"W-233115889924136","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/19/21","6:34 PM","38.46","2.99","0","3.21","4.47","49.13","0","-1.80","0"
"O-265215922543322","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/23/21","8:15 PM","25.98","2.99","0","2.24","4.68","35.89","-3.62","-1.39","0"
"O-213915900327423","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/21/21","6:29 PM","41.45","2.99","0","3.44","8.93","56.81","-5.56","-2.03","0"
"O-551015997234418","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/31/21","1:05 PM","16.98","0.00","0","1.32","0","18.30","-2.12","-0.86","0"
"W-087415838945128","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/14/21","6:30 PM","68.94","0.00","0","5.34","0","74.28","0","-2.57","0"
"O-207215728316326","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/4/21","11:43 AM","32.34","2.99","0","2.74","5.71","43.78","-4.42","-1.64","0"
"W-908215807340519","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/12/21","3:21 PM","60.70","0.00","0","4.70","0","65.40","0","-2.29","0"
"O-213915910350757","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/23/21","1:12 PM","58.75","2.99","0","4.78","4.00","70.52","-7.72","-2.45","0"
"O-586915949250586","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/25/21","8:01 PM","69.24","0.00","0","5.37","0","74.61","-8.66","-2.58","0"
"W-431115741824513","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/5/21","7:58 PM","57.92","2.99","0","4.72","9.84","75.47","0","-2.60","0"
"O-791715958971404","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/26/21","7:13 PM","29.98","0.00","0","2.32","6.46","38.76","-3.75","-1.48","0"
"O-252515776121300","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/8/21","10:14 PM","25.96","2.99","0","2.24","0.02","31.21","-3.62","-1.25","0"
"O-223815782655702","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/9/21","6:02 PM","36.43","0.00","0","2.82","5.89","45.14","-4.55","-1.68","0"
"W-195015995790039","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/30/21","7:24 PM","49.20","2.99","0","4.04","8.77","65.00","0","-2.28","0"
"O-511815704874389","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/2/21","5:30 PM","18.78","4.99","0","1.85","5.12","30.74","-2.97","-1.24","0"
"W-586915929251158","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/23/21","6:46 PM","34.96","0.00","0","2.71","0","37.67","0","-1.45","0"
"O-213915910379308","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/23/21","4:47 PM","35.96","2.99","0","3.02","5.00","46.97","-4.87","-1.73","0"
"O-757315851293006","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/16/21","6:54 PM","24.28","2.99","0","2.11","4.40","33.78","-3.41","-1.33","0"
"O-763415841119493","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/16/21","5:20 PM","49.71","0.00","0","3.85","8.02","61.58","-6.21","-2.18","0"
"O-393015859938976","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/16/21","7:51 PM","29.98","2.99","0","2.55","2.00","37.52","-4.12","-1.44","0"
"W-757315871295024","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/18/21","6:16 PM","40.97","2.99","0","3.41","7.11","54.48","0","-1.96","0"
"O-260315995736041","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/30/21","6:29 PM","43.21","2.99","0","3.58","7.47","57.25","-5.78","-2.05","0"
"O-794915835788508","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-794915835788508","MISSING_ITEM - Refund requested by diner via help interaction","7/14/21","8:33 PM","-10.99","0.00","0","-0.85","0","-11.84","0","0","0"
"O-280215755710801","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/6/21","8:09 PM","21.98","2.99","0","1.93","2.00","28.90","-3.12","-1.18","0"
"O-405415765098088","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/7/21","6:45 PM","18.77","2.99","0","1.68","3.51","26.95","-2.72","-1.12","0"
"O-586915959258588","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/26/21","7:46 PM","54.47","2.99","0","4.45","9.29","71.20","-7.18","-2.47","0"
"O-112615780363239","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/9/21","5:55 PM","50.45","4.99","0","4.30","11.95","71.69","-6.93","-2.49","0"
"O-265215932541094","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/24/21","6:09 PM","50.47","0.00","0","3.91","0","54.38","-6.31","-1.96","0"
"O-213915910352965","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/23/21","3:48 PM","26.96","2.99","0","2.32","4.00","36.27","-3.74","-1.41","0"
"O-816515777383460","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/9/21","3:27 PM","50.26","2.99","0","4.13","8.60","65.98","-6.66","-2.31","0"
"W-871115737068747","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/5/21","12:45 PM","26.99","0.00","0","2.09","0","29.08","0","-1.19","0"
"O-481315958699940","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/26/21","9:54 PM","35.51","4.99","0","3.14","7.65","51.29","-5.06","-1.86","0"
"O-504015795466839","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/10/21","7:49 PM","24.54","2.99","0","2.13","4.45","34.11","-3.44","-1.34","0"
"W-233615841138204","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/16/21","5:39 PM","33.46","2.99","0","2.82","11.78","51.05","0","-1.86","0"
"O-595615792640442","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/10/21","7:30 PM","63.38","4.99","0","5.30","10.24","83.91","-8.55","-2.86","0"
"O-976115991069781","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/31/21","3:33 PM","22.98","2.99","0","2.01","5.60","33.58","-3.25","-1.32","0"
"O-363815801422890","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/11/21","7:25 PM","45.70","2.99","0","3.77","0","52.46","-6.09","-1.90","0"
"O-971415953741366","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/26/21","9:22 PM","52.93","2.99","0","4.33","8.00","68.25","-6.99","-2.38","0"
"O-754215775686404","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/9/21","1:03 PM","11.99","0.00","0","0.93","0","12.92","-1.50","-0.69","0"
"O-908215857390321","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/16/21","6:12 PM","21.98","0.00","0","1.70","0","23.68","-2.75","-1.02","0"
"W-451115801948038","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/11/21","6:52 PM","35.75","2.99","0","3.00","8.26","50.00","0","-1.83","0"
"O-719415995540040","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/30/21","6:59 PM","16.32","2.99","0","1.49","3.12","23.92","-2.41","-1.03","0"
"O-252615712206810","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/2/21","6:16 PM","25.17","4.99","0","2.34","5.42","37.92","-3.77","-1.46","0"
"O-992715919533070","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/22/21","7:52 PM","51.55","0.00","0","4.00","0","55.55","-6.44","-1.99","0"
"O-619115781283567","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/9/21","7:49 PM","22.58","2.99","0","1.98","3.50","31.05","-3.20","-1.25","0"
"O-189515835857777","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/15/21","12:00 PM","87.96","2.99","0","7.05","11.00","109.00","-11.37","-3.62","0"
"O-794915855787405","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/16/21","7:02 PM","50.46","2.99","0","4.14","5.76","63.35","-6.68","-2.23","0"
"W-280215765712823","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/7/21","8:14 PM","11.99","0.00","0","0.93","1.29","14.21","0","-0.73","0"
"W-839615931216477","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/24/21","7:05 PM","16.99","2.99","0","1.55","0","21.53","0","-0.96","0"
"W-817615748135984","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/5/21","7:15 PM","41.19","0.00","0","3.19","6.66","51.04","0","-1.86","0"
"O-229815739958114","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/5/21","12:22 PM","33.75","4.99","0","3.01","5.46","47.21","-4.84","-1.74","0"
"O-623815789054397","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/9/21","6:53 PM","38.46","0.00","0","2.98","0","41.44","-4.81","-1.56","0"
"O-791715938972822","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/24/21","5:47 PM","53.45","2.99","0","4.37","6.08","66.89","-7.06","-2.34","0"
"O-065915708405755","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/1/21","8:36 PM","32.97","0.00","0","2.56","0","35.53","-4.12","-1.38","0"
"W-971415933749804","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/24/21","7:10 PM","18.77","2.99","0","1.68","3.52","26.96","0","-1.12","0"
"O-248015813612519","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/12/21","9:22 PM","26.22","2.99","0","2.26","3.15","34.62","-3.65","-1.36","0"
"W-683815903972240","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/22/21","2:17 PM","15.98","2.99","0","1.47","4.09","24.53","0","-1.05","0"
"O-794915855787405","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-794915855787405","MISSING_ITEM - Refund requested by diner via help interaction","7/16/21","7:02 PM","-5.49","0.00","0","-0.42","0","-5.91","0","0","0"
"O-504015775447156","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/9/21","5:00 PM","31.97","0.00","0","2.48","0","34.45","-4.00","-1.35","0"
"W-330915725519892","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/4/21","4:46 PM","32.70","0.00","0","2.53","0","35.23","0","-1.37","0"
"W-287615993296966","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/31/21","5:05 PM","32.57","0.00","0","2.52","0","35.09","0","-1.37","0"
"W-431115800309305","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/12/21","3:26 PM","17.97","0.00","0","1.39","0","19.36","0","-0.89","0"
"O-233115829944253","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/14/21","5:42 PM","42.94","2.99","0","3.56","7.42","56.91","-5.74","-2.04","0"
"T-AwEAAAAAAATV6TAgXIDijxHrn0K5TgqLjb4","Ameci Pizza & Pasta - Trabuco Rd","Account Adjustment","25251577-6121300 GC","7/11/21","2:30 PM","0","0.00","0","0.00","0","26.34","0","0","0"
"O-232715834980034","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/14/21","7:16 PM","27.47","2.99","0","2.36","5.40","38.22","-3.81","-1.47","0"
"O-757315851226921","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/17/21","2:30 PM","23.32","2.99","0","2.04","5.67","34.02","-3.29","-1.34","0"
"O-680315905683328","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/22/21","1:59 PM","16.77","2.99","0","1.53","5.00","26.29","-2.47","-1.10","0"
"O-710215733156600","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/4/21","7:05 PM","53.37","2.99","0","4.37","11.50","72.23","-7.05","-2.50","0"
"W-908215897397765","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/20/21","8:23 PM","27.97","2.99","0","2.40","6.67","40.03","0","-1.52","0"
"O-735115732981542","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-735115732981542","Additional charge due to special instructions request","7/6/21","8:05 AM","0.75","0.00","0","0.06","0","0.81","0","0","0"
"O-076615709596525","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/2/21","5:44 PM","31.47","2.99","0","2.67","7.43","44.56","-4.31","-1.66","0"
"O-925215981108271","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/29/21","7:21 PM","55.96","4.99","0","4.73","16.42","82.10","-7.62","-2.80","0"
"O-572715974642687","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/29/21","5:40 PM","60.36","0.00","0","4.68","0","65.04","-7.55","-2.28","0"
"W-223815752642668","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"7/7/21","4:44 PM","89.15","2.99","0","7.14","14.89","114.17","0","-3.78","0"
