Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
Ameci Pizza & Pasta - Lake Forest,,#2AC23,7b0480d3-149b-4b5a-97d2-1f5e45d2ac23,Pickup,iOS,Completed,2021-04-04,21:04,37.96,2.94,40.9,0,0,0,0,0,0,0,0,40.9,0,0,0,0,0,0,,0,-2.94,0,37.96,2021-04-05,0,0,
Ameci Pizza & Pasta - Lake Forest,,#CC46C,1f2f450d-1cfa-4e2c-a535-ba18819cc46c,,Unknown,Refund,2021-03-02,17:45,-24.57,-1.9,-26.47,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-26.47,2021-04-12,,,
Ameci Pizza & Pasta - Lake Forest,,#CE36C,c49b9246-505c-46ea-95ac-37873dece36c,Delivery - Partner Using Uber App,iOS,Completed,2021-04-05,19:05,21.99,1.7,23.69,0,0,0,0,0,0,0,0,23.69,-4.18,0,0,0,0,0,,0,-1.7,0,17.81,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#360BA,c779e1b0-20fb-41af-b210-1a75b75360ba,Delivery - Partner Using Uber App,iOS,Completed,2021-04-05,21:15,15.86,1.23,17.09,0,0,0,0,0,0,0,0,17.09,-3.01,0,0,0,0,0,,0,-1.23,0,12.85,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#6B3A7,7c770836-ec01-44ab-9dad-f002e036b3a7,Delivery - Partner Using Uber App,iOS,Completed,2021-04-05,21:19,17.73,1.37,19.1,0,0,0,0,0,0,0,0,19.1,-3.37,0,0,0,0,0,,0,-1.37,0,14.36,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#12F12,8bcb5b6e-632e-418a-9a93-429933312f12,Delivery - Partner Using Uber App,iOS,Completed,2021-04-06,12:29,17.22,1.33,18.55,0,0,0,0,0,0,0,0,18.55,-3.27,0,0,0,0,0,,0,-1.33,0,13.95,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#ACC9B,4cd246c7-49a6-4234-a574-ff12e2cacc9b,Delivery - Partner Using Uber App,iOS,Completed,2021-04-06,15:51,14.99,1.16,16.15,0,0,0,0,0,0,0,0,16.15,-2.85,0,0,0,0,0,,0,-1.16,0,12.14,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#E4FD4,538a2db3-3415-4357-a973-735bef3e4fd4,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-06,18:12,16.98,1.32,18.3,0,0,0,0,0,0,0,0,18.3,-3.23,0,0,0,0,0,,0,-1.32,0,13.75,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#49EA1,e551829d-4f54-4bb4-9945-5beaec249ea1,Delivery - Partner Using Uber App,iOS,Completed,2021-04-06,20:18,10.99,0.85,11.84,0,0,0,0,0,0,0,0,11.84,-2.09,0,0,0,0,0,,0,-0.85,0,8.9,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#A8834,fd5501d9-63c8-4b40-902c-f35b125a8834,Delivery - Partner Using Uber App,iOS,Completed,2021-04-07,15:34,52.82,4.09,56.91,0,0,0,0,0,0,0,0,56.91,-10.04,0,0,0,0,0,,0,-4.09,0,42.78,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#39527,0f0f4dc2-e067-4214-9c8e-8e9efed39527,Delivery - Partner Using Uber App,iOS,Completed,2021-04-07,18:20,32.97,2.56,35.53,0,0,0,0,0,0,0,0,35.53,-6.26,0,0,0,0,0,,0,-2.56,0,26.71,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#BFF6C,5823d0c2-63af-4016-98d0-7a445f8bff6c,Delivery - Partner Using Uber App,iOS,Completed,2021-04-08,17:05,51.2,3.97,55.17,0,0,0,0,0,0,0,0,55.17,-9.73,0,0,0,0,0,,0,-3.97,0,41.47,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#73720,bcf0813d-b424-4e59-af45-fd1252973720,Delivery - Partner Using Uber App,iOS,Completed,2021-04-08,19:47,40.48,3.14,43.62,0,0,0,0,0,0,0,0,43.62,-7.69,0,0,0,0,0,,0,-3.14,0,32.79,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#55959,a5bcf78e-09ef-434d-9360-e3290a855959,Delivery - Partner Using Uber App,iOS,Completed,2021-04-08,19:28,22.97,1.78,24.75,0,0,0,0,0,0,0,0,24.75,-4.36,0,0,0,0,0,,0,-1.78,0,18.61,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,69.92,0,0,69.92,2021-04-12,0,0,
Ameci Pizza & Pasta - Lake Forest,,#C1268,9cda9ba0-1cc6-414d-b735-a3ab11ac1268,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-09,14:59,21.98,1.7,23.68,0,0,0,0,0,0,0,0,23.68,-4.18,0,0,0,0,0,,0,-1.7,0,17.8,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#5A560,7612a509-56e5-4e21-a7a7-41eff9e5a560,Delivery - Partner Using Uber App,iOS,Completed,2021-04-09,17:11,25.97,2.01,27.98,0,0,0,0,0,0,0,0,27.98,-4.93,0,0,0,0,0,,0,-2.01,0,21.04,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#155D7,1c82db03-0d59-4a16-90c4-c7002af155d7,Delivery - Partner Using Uber App,iOS,Completed,2021-04-09,18:20,75.92,5.88,81.8,0,0,0,0,0,0,0,0,81.8,-14.42,0,0,0,0,0,,0,-5.88,0,61.5,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#AC4C4,21cd7d34-5e41-463a-98ba-e547addac4c4,Delivery - Partner Using Uber App,iOS,Completed,2021-04-09,20:43,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.56,0,0,0,0,0,,0,-1.86,0,19.42,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,9.99,0,0,9.99,2021-04-12,0,0,
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,10.76,0,0,10.76,2021-04-12,0,0,
Ameci Pizza & Pasta - Lake Forest,,#6D693,0c45d9a4-6dab-4f8d-8121-a2f3b826d693,Delivery - Partner Using Uber App,iOS,Completed,2021-04-10,11:43,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,-2.28,0,0,0,0,0,,0,-0.93,0,9.71,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#A6A4A,575d7390-0c0a-4cd1-838d-f52be02a6a4a,Delivery - Partner Using Uber App,iOS,Completed,2021-04-10,17:51,26.99,2.09,29.08,0,0,0,0,0,0,0,0,29.08,-5.13,0,0,0,0,0,,0,-2.09,0,21.86,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#51FFE,a85cac05-af43-4a13-9b39-5189cbb51ffe,Delivery - Partner Using Uber App,iOS,Completed,2021-04-10,19:37,40.47,3.14,43.61,0,0,0,0,0,0,0,0,43.61,-7.69,0,0,0,0,0,,0,-3.14,0,32.78,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#9E6BB,ff01b3ba-4b23-4ada-a1eb-671719a9e6bb,Delivery - Partner Using Uber App,iOS,Completed,2021-04-10,19:57,28.97,2.25,31.22,0,0,0,0,0,0,0,0,31.22,-5.5,0,0,0,0,0,,0,-2.25,0,23.47,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#7A438,a54b792a-58e2-4b24-af33-b5a34847a438,Delivery - Partner Using Uber App,iOS,Completed,2021-04-10,21:12,27.47,2.13,29.6,0,0,0,0,0,0,0,0,29.6,-5.22,0,0,0,0,0,,0,-2.13,0,22.25,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#E9EFC,d4e48f2f-b539-4949-b531-cf9cc77e9efc,Delivery - Partner Using Uber App,Android,Completed,2021-04-10,21:19,14.99,1.16,16.15,0,0,0,0,0,0,0,0,16.15,-2.85,0,0,0,0,0,,0,-1.16,0,12.14,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#97E60,435abb32-f410-4050-8fec-27a66db97e60,Delivery - Partner Using Uber App,iOS,Completed,2021-04-11,20:29,33.96,2.63,36.59,0,0,0,0,0,0,0,0,36.59,-6.45,0,0,0,0,0,,0,-2.63,0,27.51,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#BC7CD,5a1e356e-d9b5-4d2f-aef4-661c9a0bc7cd,Delivery - Partner Using Uber App,iOS,Canceled,2021-04-11,21:18,21.98,1.7,23.68,0,0,0,0,0,0,0,0,23.68,-4.18,0,0,0,0,0,,0,-1.7,0,17.8,2021-04-12,0,0,19
Ameci Pizza & Pasta - Lake Forest,,,,,Unknown,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurant refunds,19.99,0,0,19.99,2021-04-19,0,0,
Ameci Pizza & Pasta - Lake Forest,,#CA357,87886111-2396-483a-86d8-a06181fca357,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-12,15:42,49.13,3.81,52.94,0,0,0,0,0,0,0,0,52.94,-9.33,0,0,0,0,0,,0,-3.81,0,39.8,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#39B1B,9d71f36b-2ef3-43af-a642-e22110e39b1b,Delivery - Partner Using Uber App,iOS,Completed,2021-04-12,18:26,22.97,1.78,24.75,0,0,0,0,0,0,0,0,24.75,-4.36,0,0,0,0,0,,0,-1.78,0,18.61,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#8CCFD,dbc4824a-6dca-4c31-98a0-68a864f8ccfd,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-12,18:58,22.48,1.74,24.22,0,0,0,0,0,0,0,0,24.22,-4.27,0,0,0,0,0,,0,-1.74,0,18.21,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#B6260,a66391c4-2dd3-42a8-bde6-06c5567b6260,Delivery - Partner Using Uber App,iOS,Completed,2021-04-12,19:02,16.97,1.32,18.29,0,0,0,0,0,0,0,0,18.29,-3.22,0,0,0,0,0,,0,-1.32,0,13.75,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#51FFE,a85cac05-af43-4a13-9b39-5189cbb51ffe,,Unknown,Refund,2021-04-10,19:37,-21.98,0,-21.98,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-21.98,2021-04-19,,,
Ameci Pizza & Pasta - Lake Forest,,#2A12B,4bff795e-9fa0-4dbf-8318-566cf262a12b,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-13,17:21,43.95,3.41,47.36,0,0,0,0,0,0,0,0,47.36,-8.35,0,0,0,0,0,,0,-3.41,0,35.6,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#8053C,a122d9cd-2dc6-4aa0-99db-d31f0148053c,Pickup,iOS,Completed,2021-04-13,19:05,52.73,4.09,56.82,0,0,0,0,0,0,0,0,56.82,0,0,0,0,0,0,,0,-4.09,0,52.73,2021-04-19,0,0,
Ameci Pizza & Pasta - Lake Forest,,#8FB7C,c7d3b66d-5ab5-4fab-b3a2-ac5f6e88fb7c,Delivery - Partner Using Uber App,iOS,Completed,2021-04-13,19:58,14.99,1.16,16.15,0,0,0,0,0,0,0,0,16.15,-2.85,0,0,0,0,0,,0,-1.16,0,12.14,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#16E16,6b2e9097-15a5-45ab-b5ba-bc4b35e16e16,Delivery - Partner Using Uber App,Android,Completed,2021-04-13,20:20,44.72,3.47,48.19,0,0,0,0,0,0,0,0,48.19,-8.5,0,0,0,0,0,,0,-3.47,0,36.22,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#8F7BA,8727dd1e-3f0d-4321-8b72-9cf6c498f7ba,Delivery - Partner Using Uber App,iOS,Completed,2021-04-13,20:54,9.99,0.77,10.76,0,0,0,0,0,0,0,0,10.76,-1.9,0,0,0,0,0,,0,-0.77,0,8.09,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#141EB,9385aa34-8409-4c0f-b3ce-ce6fcf7141eb,Delivery - Partner Using Uber App,iOS,Completed,2021-04-13,21:04,28.97,2.25,31.22,0,0,0,0,0,0,0,0,31.22,-5.5,0,0,0,0,0,,0,-2.25,0,23.47,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#1BCEA,326262eb-dd1d-4731-b997-ad74e5b1bcea,Delivery - Partner Using Uber App,iOS,Completed,2021-04-14,17:42,34.98,2.71,37.69,0,0,0,0,0,0,0,0,37.69,-6.65,0,0,0,0,0,,0,-2.71,0,28.33,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#7FD36,25ffaaab-b08f-4738-8b70-8f713757fd36,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-14,18:04,48.46,3.76,52.22,0,0,0,0,0,0,0,0,52.22,-9.21,0,0,0,0,0,,0,-3.76,0,39.25,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#55BCD,83f4871e-6c4a-49ae-9704-e9b175955bcd,Delivery - Partner Using Uber App,iOS,Completed,2021-04-14,18:00,27.97,2.17,30.14,0,0,0,0,0,0,0,0,30.14,-5.31,0,0,0,0,0,,0,-2.17,0,22.66,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#93934,5af130df-bd0c-4758-aab9-53949db93934,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-14,18:50,15.73,1.22,16.95,0,0,0,0,0,0,0,0,16.95,-2.99,0,0,0,0,0,,0,-1.22,0,12.74,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#DA8E2,ff1ad137-06a3-4983-882e-99e921fda8e2,Delivery - Partner Using Uber App,iOS,Completed,2021-04-14,20:25,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,-2.28,0,0,0,0,0,,0,-0.93,0,9.71,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#C9160,45715f9c-801b-4177-969d-7471cd1c9160,Delivery - Partner Using Uber App,iOS,Completed,2021-04-14,20:30,37.93,2.94,40.87,0,0,0,0,0,0,0,0,40.87,-7.21,0,0,0,0,0,,0,-2.94,0,30.72,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#38693,88ec8675-5d38-407f-9869-944f58b38693,Delivery - Partner Using Uber App,Android,Completed,2021-04-15,20:31,43.94,3.41,47.35,0,0,0,0,0,0,0,0,47.35,-8.35,0,0,0,0,0,,0,-3.41,0,35.59,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#2DF3E,1beeb2bf-c7fe-4f70-8557-63130c82df3e,Delivery - Partner Using Uber App,iOS,Completed,2021-04-16,16:55,21.99,1.7,23.69,0,0,0,0,0,0,0,0,23.69,-4.18,0,0,0,0,0,,0,-1.7,0,17.81,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#FAC83,950967de-c370-4cea-a303-18477dcfac83,Delivery - Partner Using Uber App,iOS,Completed,2021-04-16,17:02,64.98,5.04,70.02,0,0,0,0,0,0,0,0,70.02,-12.35,0,0,0,0,0,,0,-5.04,0,52.63,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#91AD8,a508eabd-8925-4ed8-9eea-e5286b491ad8,Delivery - Partner Using Uber App,Android,Completed,2021-04-16,17:38,42.54,3.3,45.84,0,0,0,0,0,0,0,0,45.84,-8.08,0,0,0,0,0,,0,-3.3,0,34.46,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#0F689,5b2d1557-42ed-4410-898f-8b9c33f0f689,Delivery - Partner Using Uber App,iOS,Completed,2021-04-16,19:41,40.21,3.12,43.33,0,0,0,0,0,0,0,0,43.33,-7.64,0,0,0,0,0,,0,-3.12,0,32.57,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#95DDC,fb1bdc22-843b-411e-a7a1-64d0d0d95ddc,Pickup,iOS,Completed,2021-04-16,19:13,60.73,4.71,65.44,0,0,0,0,0,0,0,0,65.44,0,0,0,0,0,0,,0,-4.71,0,60.73,2021-04-19,0,0,
Ameci Pizza & Pasta - Lake Forest,,#0D802,c16b023e-0bd5-44b6-bb00-e862d200d802,Delivery - Partner Using Uber App,iOS,Completed,2021-04-16,20:26,21.73,1.68,23.41,0,0,0,0,0,0,0,0,23.41,-4.13,0,0,0,0,0,,0,-1.68,0,17.6,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#2F68E,087bac1b-d5c0-404d-bbe0-478cd652f68e,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-16,20:34,21.98,1.7,23.68,0,0,0,0,0,0,0,0,23.68,-4.18,0,0,0,0,0,,0,-1.7,0,17.8,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#973A1,29aff3e5-7d3c-404d-8ac0-8b2f33f973a1,Delivery - Partner Using Uber App,iOS,Completed,2021-04-16,21:31,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.56,0,0,0,0,0,,0,-1.86,0,19.42,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#8C61A,df67033e-4c0d-4507-a7c7-1333da78c61a,Pickup,iOS,Completed,2021-04-17,12:19,26.99,2.09,29.08,0,0,0,0,0,0,0,0,29.08,0,0,0,0,0,0,,0,-2.09,0,26.99,2021-04-19,0,0,
Ameci Pizza & Pasta - Lake Forest,,#69F2A,563f7748-54f3-4db4-a7a6-ad0f97769f2a,Delivery - Partner Using Uber App,Android,Completed,2021-04-17,16:23,30.48,2.36,32.84,0,0,0,0,0,0,0,0,32.84,-5.79,0,0,0,0,0,,0,-2.36,0,24.69,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#85E9D,9cbf10a4-4ae2-4258-a548-b91b24f85e9d,Pickup,Uber Eats Web,Completed,2021-04-17,18:08,17.73,1.37,19.1,0,0,0,0,0,0,0,0,19.1,0,0,0,0,0,0,,0,-1.37,0,17.73,2021-04-19,0,0,
Ameci Pizza & Pasta - Lake Forest,,#1F3C0,56129573-df78-48d5-8783-71553161f3c0,Delivery - Partner Using Uber App,Uber Eats Web,Completed,2021-04-18,18:38,17.73,1.37,19.1,0,0,0,0,0,0,0,0,19.1,-3.37,0,0,0,0,0,,0,-1.37,0,14.36,2021-04-19,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#03AA4,9d84c7ea-99a7-4c76-9128-2dc9c8903aa4,Pickup,Uber Eats Web,Completed,2021-04-18,18:54,46.75,3.62,50.37,0,0,0,0,0,0,0,0,50.37,0,0,0,0,0,0,,0,-3.62,0,46.75,2021-04-19,0,0,
Ameci Pizza & Pasta - Lake Forest,,#4143B,ce3f325b-0d21-4aac-b9de-21cc3554143b,Delivery - Partner Using Uber App,iOS,Completed,2021-04-19,15:56,63.94,4.96,68.9,0,0,0,0,0,0,0,0,68.9,-12.15,0,0,0,0,0,,0,-4.96,0,51.79,2021-04-26,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#6BDBF,f1dc5882-1df8-493e-ae79-46abbc16bdbf,Delivery - Partner Using Uber App,iOS,Completed,2021-04-19,20:54,72.37,5.61,77.98,0,0,0,0,0,0,0,0,77.98,-13.75,0,0,0,0,0,,0,-5.61,0,58.62,2021-04-26,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#6AFDD,058a646c-01e1-4273-a368-5328a816afdd,Delivery - Partner Using Uber App,iOS,Completed,2021-04-19,20:57,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.56,0,0,0,0,0,,0,-1.86,0,19.42,2021-04-26,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#C8D73,cdbb5d7e-ac09-4222-ab40-3acc43cc8d73,Delivery - Partner Using Uber App,iOS,Completed,2021-04-20,15:24,30.97,2.4,33.37,0,0,0,0,0,0,0,0,33.37,-5.88,0,0,0,0,0,,0,-2.4,0,25.09,2021-04-26,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#546B4,53e4fcf9-2af7-4ac9-9969-1d3ec79546b4,Delivery - Partner Using Uber App,iOS,Completed,2021-04-20,17:13,23.98,1.86,25.84,0,0,0,0,0,0,0,0,25.84,-4.56,0,0,0,0,0,,0,-1.86,0,19.42,2021-04-26,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#A27A1,50cb23b4-9b59-4279-8eee-bacb5f0a27a1,Delivery - Partner Using Uber App,iOS,Completed,2021-04-20,18:15,41.95,3.25,45.2,0,0,0,0,0,0,0,0,45.2,-7.97,0,0,0,0,0,,0,-3.25,0,33.98,2021-04-26,0,0,19
Ameci Pizza & Pasta - Lake Forest,,#71E02,3f12a202-fec6-4baf-abfc-12fd96971e02,Pickup,iOS,Completed,2021-04-20,17:34,11.99,0.93,12.92,0,0,0,0,0,0,0,0,12.92,0,0,0,0,0,0,,0,-0.93,0,11.99,2021-04-26,0,0,
Ameci Pizza & Pasta - Lake Forest,,#CBC4C,55df18c4-4366-4fba-a642-11bc4c9cbc4c,Delivery - Partner Using Uber App,iOS,Completed,2021-04-21,15:15,29.73,2.3,32.03,0,0,0,0,0,0,0,0,32.03,-5.65,0,0,0,0,0,,0,-2.3,0,24.08,2021-04-26,0,0,19
