"Facility","Brand","Source","Date","Total Orders","Total Revenue"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-10","2","$44.74"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-10","2","$42.97"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-10","2","$44.74"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-10","1","$25.97"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-10","2","$76.92"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-10","1","$21.96"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-10","4","$89.40"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-10","7","$229.82"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-03-10","1","$57.95"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-10","2","$96.93"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-10","18","$607.29"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-03-11","1","$19.99"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-11","2","$53.96"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-11","21","$673.18"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-11","2","$27.97"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-11","5","$160.79"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-11","6","$239.01"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-11","2","$47.20"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-11","1","$13.99"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-11","3","$51.68"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-11","5","$214.04"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-12","9","$308.24"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-12","2","$69.73"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-12","1","$38.95"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-12","1","$18.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-12","35","$1,202.38"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-12","3","$58.70"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-12","2","$105.86"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-12","4","$109.48"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-12","2","$83.55"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-12","2","$91.91"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-13","14","$625.08"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-13","2","$86.91"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-03-13","2","$79.89"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-13","2","$48.70"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-13","3","$100.20"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-13","9","$371.92"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-13","1","$40.97"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-13","2","$106.15"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-13","1","$10.98"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-13","1","$10.49"
"Aroma Pizza - Lake Forest","The Wings Shack","doordash","2021-03-13","1","$34.97"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-13","6","$268.00"
"Aroma Pizza - Lake Forest","The Wings Shack","doordash","2021-03-14","1","$52.96"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-14","3","$58.65"
"Aroma Pizza - Lake Forest","The Wings Shack","postmates","2021-03-14","1","$34.97"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-14","1","$24.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-14","3","$81.93"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-14","14","$495.70"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-14","3","$124.43"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-14","2","$112.93"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-14","3","$108.62"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-14","5","$268.37"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-14","8","$275.25"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-14","3","$57.72"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-14","6","$243.52"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-03-14","1","$34.94"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-15","3","$39.96"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-15","1","$26.99"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-15","13","$411.43"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-15","4","$81.73"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-15","4","$81.73"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-15","1","$16.98"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-15","1","$24.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-15","4","$109.90"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-15","3","$118.63"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-16","2","$67.89"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-16","1","$24.97"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-16","1","$44.96"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-16","1","$19.98"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-16","1","$15.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-16","3","$64.95"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-16","3","$74.71"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-16","3","$64.95"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-16","3","$88.28"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-16","1","$43.70"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-16","1","$36.95"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-16","14","$475.38"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-17","3","$85.40"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-17","6","$168.61"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-17","4","$150.63"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-17","1","$19.99"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-17","3","$81.85"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-17","4","$130.35"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-17","2","$58.94"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-17","1","$46.94"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-17","1","$26.97"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-17","4","$81.19"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-17","12","$403.51"
"Aroma Pizza - Lake Forest","The Wings Shack","doordash","2021-03-17","2","$79.92"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-17","2","$44.46"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-18","2","$44.95"
"Aroma Pizza - Lake Forest","The Wings Shack","grubhub","2021-03-18","1","$23.97"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-18","14","$321.17"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-18","3","$80.85"
"Aroma Pizza - Lake Forest","The Wings Shack","doordash","2021-03-18","1","$15.98"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-18","6","$174.55"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-18","4","$127.59"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-18","1","$21.98"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-18","2","$53.47"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-18","1","$22.73"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-18","2","$32.71"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-19","2","$90.88"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-19","12","$359.61"
"Aroma Pizza - Lake Forest","The Wings Shack","doordash","2021-03-19","2","$83.90"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-19","8","$274.94"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-19","15","$440.31"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-03-19","1","$17.99"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-19","2","$58.71"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-19","1","$16.99"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-19","20","$665.70"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-19","4","$118.38"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-19","1","$45.93"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-19","3","$73.92"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-19","2","$59.92"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-20","9","$350.93"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-20","6","$247.07"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-20","9","$229.10"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-20","9","$350.93"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-20","3","$81.91"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-20","4","$102.39"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-20","1","$48.93"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-20","1","$42.95"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-20","18","$693.45"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-20","2","$105.88"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-21","18","$572.59"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-21","8","$270.09"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-21","7","$257.35"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-21","2","$54.19"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-03-21","1","$16.98"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-21","1","$22.96"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-21","2","$29.96"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-21","5","$203.71"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-21","5","$174.14"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-22","3","$66.94"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-03-22","1","$44.97"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-22","2","$52.22"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-03-22","1","$10.99"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-22","0","$0.00"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-22","3","$93.67"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-22","4","$87.34"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-22","2","$25.47"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-22","3","$71.01"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-22","15","$535.12"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-22","2","$75.93"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-22","6","$155.39"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-23","1","$28.96"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-23","1","$57.96"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-23","15","$533.81"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-23","1","$20.98"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-23","1","$46.97"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-23","1","$22.95"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-03-23","1","$22.23"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-23","1","$67.92"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-23","2","$29.96"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-23","2","$67.86"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-23","2","$54.32"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-23","2","$54.32"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-23","2","$56.95"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-24","6","$145.36"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-24","1","$38.96"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-24","6","$156.40"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-24","4","$110.24"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-24","2","$43.23"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-24","16","$721.92"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-24","2","$53.96"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-24","2","$43.97"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-24","3","$92.20"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-24","2","$46.96"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-24","1","$21.99"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-24","1","$40.96"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-25","1","$26.99"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-25","3","$72.23"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-25","2","$55.92"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-25","9","$310.83"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-25","19","$557.05"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-25","7","$225.15"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-25","2","$72.40"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-03-25","1","$23.97"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-25","2","$53.69"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-25","1","$31.97"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-25","3","$68.95"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-26","1","$50.95"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-26","2","$52.90"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-26","3","$97.66"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-26","2","$59.93"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-26","1","$31.14"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-26","1","$10.99"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-26","9","$306.36"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-26","2","$43.97"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-26","11","$388.29"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-26","1","$10.74"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-26","21","$670.79"
"Aroma Pizza - Lake Forest","The Wings Shack","doordash","2021-03-26","1","$25.97"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-27","12","$576.79"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-27","3","$106.37"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-27","3","$104.88"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-27","15","$667.19"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-27","1","$10.99"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-27","1","$53.91"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-27","5","$201.71"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-27","11","$407.65"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-27","1","$26.97"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-27","2","$99.95"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-03-28","1","$24.23"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-28","1","$53.94"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-28","2","$115.90"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-28","1","$20.23"
"Aroma Pizza - Lake Forest","The Wings Shack","doordash","2021-03-28","1","$25.97"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-28","9","$326.51"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-28","21","$596.45"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-28","2","$29.96"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-28","9","$326.51"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-28","5","$122.99"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-28","1","$26.75"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-28","3","$68.93"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-28","1","$57.92"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-29","1","$11.48"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-29","2","$51.44"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-29","2","$53.93"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-03-29","1","$33.46"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-29","1","$35.90"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-29","2","$66.73"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-29","3","$120.90"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-29","20","$542.11"
"Aroma Pizza - Lake Forest","The Italian Brothers","grubhub","2021-03-29","1","$41.91"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-29","2","$64.19"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-29","3","$51.47"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-29","4","$122.92"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-30","2","$55.28"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-30","2","$55.94"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-30","19","$618.02"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-30","2","$55.28"
"Aroma Pizza - Lake Forest","The Wings Shack","ubereats","2021-03-30","1","$25.97"
"Aroma Pizza - Lake Forest","The Wings Shack","grubhub","2021-03-30","1","$25.98"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-03-30","1","$33.98"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-30","1","$28.97"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-30","2","$64.92"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-03-30","2","$53.45"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-30","2","$61.92"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-30","3","$86.39"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-03-30","1","$17.98"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-03-31","12","$294.92"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-03-31","1","$63.91"
"Aroma Pizza - Lake Forest","Trattoria Contadina","grubhub","2021-03-31","2","$51.44"
"Aroma Pizza - Lake Forest","The Wing Stop","ubereats","2021-03-31","1","$28.97"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-03-31","3","$151.18"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-03-31","2","$67.92"
"Aroma Pizza - Lake Forest","The Wings Shack","doordash","2021-03-31","1","$38.97"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-03-31","5","$195.40"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-03-31","1","$26.70"
"Aroma Pizza - Lake Forest","The Italian Brothers","postmates","2021-03-31","1","$23.96"
"Aroma Pizza - Lake Forest","The Wings Shack","doordash","2021-04-01","1","$50.95"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-04-01","14","$527.38"
"Aroma Pizza - Lake Forest","The Wing Stop","postmates","2021-04-01","1","$29.99"
"Aroma Pizza - Lake Forest","The Italian Brothers","doordash","2021-04-01","1","$85.95"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-04-01","6","$266.18"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-04-01","2","$79.92"
"Aroma Pizza - Lake Forest","The Wing Stop","grubhub","2021-04-01","7","$280.16"
"Aroma Pizza - Lake Forest","Trattoria Contadina","postmates","2021-04-01","1","$22.23"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-04-01","1","$63.34"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-04-01","1","$44.94"
"Aroma Pizza - Lake Forest","Trattoria Contadina","ubereats","2021-04-02","2","$47.91"
"Aroma Pizza - Lake Forest","Aroma Pizza","ubereats","2021-04-02","2","$76.67"
"Aroma Pizza - Lake Forest","Aroma Pizza","grubhub","2021-04-02","3","$84.72"
"Aroma Pizza - Lake Forest","The Italian Brothers","ubereats","2021-04-02","1","$43.94"
"Aroma Pizza - Lake Forest","Aroma Pizza","doordash","2021-04-02","24","$826.18"
"Aroma Pizza - Lake Forest","Aroma Pizza","postmates","2021-04-02","5","$216.78"
