"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery Fee","Service Fee","Tax","Tip","Restaurant Total","Commission","Processing Fee","Withheld Tax"
"O-230218248256799","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/13/22","5:29 PM","39.79","0.00","0","3.08","0","42.87","-4.97","-1.61","0"
"O-340318177093120","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/5/22","7:11 PM","37.71","2.99","0","3.15","2.00","45.85","-5.09","-1.70","0"
"O-768318425261644","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/30/22","6:28 PM","26.96","2.99","0","2.32","5.81","38.08","-3.74","-1.46","0"
"O-351718309006633","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/22","4:20 PM","13.78","0.00","0","1.07","2.97","17.82","-1.72","-0.84","0"
"O-879418268249493","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/16/22","11:45 AM","17.73","4.99","0","1.76","2.87","27.35","-2.84","-1.13","0"
"O-024418173884808","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/5/22","9:54 PM","18.99","2.99","0","1.70","3.07","26.75","-2.75","-1.12","0"
"W-762118315415734","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/22","7:27 PM","26.99","2.99","0","2.32","6.46","38.76","0","-1.48","0"
"O-074318318301464","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/20/22","1:08 PM","74.73","2.99","0","6.02","12.08","95.82","-9.72","-3.22","0"
"W-538818396969724","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/28/22","11:52 AM","25.56","2.99","0","2.21","3.00","33.76","0","-1.33","0"
"O-433918266109639","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/16/22","11:45 AM","212.16","4.99","0","16.83","46.80","280.78","-38.00","-8.86","0"
"O-208118354761486","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/23/22","8:17 PM","22.48","2.99","0","1.97","5.48","32.92","-3.18","-1.30","0"
"O-643418426750479","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/31/22","4:33 PM","38.47","0.00","0","2.98","0","41.45","-4.81","-1.56","0"
"O-145418308117854","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/22","4:02 PM","14.99","0.00","0","1.16","0","16.15","-1.87","-0.79","0"
"W-879418368222365","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/25/22","3:31 PM","25.56","2.99","0","2.21","4.61","35.37","0","-1.38","0"
"W-196718277805887","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/15/22","6:04 PM","76.12","0.00","0","5.90","4.10","86.12","0","-2.93","0"
"W-029218122296357","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/2/22","3:30 PM","127.53","2.99","0","10.11","21.09","161.72","-16.32","-5.23","0"
"O-782518197054649","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/7/22","9:26 PM","32.97","0.00","0","2.56","0","35.53","-4.12","-1.38","0"
"O-065918322360800","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/20/22","8:16 PM","15.74","2.99","0","1.45","3.02","23.20","-2.34","-1.01","0"
"W-120718370803224","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/25/22","5:32 PM","22.98","0.00","0","1.78","2.00","26.76","0","-1.12","0"
"O-817418314656400","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/22","7:51 PM","44.97","0.00","0","3.49","0","48.46","-5.62","-1.78","0"
"W-235418206927816","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/9/22","11:45 AM","54.69","4.99","0","4.63","9.65","73.96","0","-2.56","0"
"O-538818336960569","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/21/22","6:25 PM","34.76","0.00","0","2.69","0","37.45","-4.35","-1.44","0"
"O-706018333983275","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/23/22","11:00 AM","149.99","4.99","0","12.01","5.00","171.99","-27.12","-5.55","0"
"O-882118297465517","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/18/22","4:38 PM","19.99","0.00","0","1.55","0","21.54","-2.50","-0.96","0"
"O-229618205399154","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/9/22","12:05 PM","11.78","0.00","0","0.91","0","12.69","-1.47","-0.69","0"
"O-248518186056729","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/6/22","6:00 PM","132.18","2.99","0","10.47","21.85","167.49","-16.90","-5.41","0"
"O-840818160671671","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/4/22","9:09 PM","15.98","2.99","0","1.47","3.06","23.50","-2.37","-1.02","0"
"O-351718399074372","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/27/22","8:15 PM","20.97","2.99","0","1.86","2.80","28.62","-3.00","-1.17","0"
"O-554818239182306","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/11/22","7:11 PM","69.90","0.00","0","5.42","0","75.32","-8.74","-2.60","0"
"O-120718300809281","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/18/22","7:11 PM","42.97","2.99","0","3.56","9.90","59.42","-5.75","-2.11","0"
"O-882118387496452","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/26/22","7:39 PM","22.98","2.99","0","2.01","7.00","34.98","-3.25","-1.37","0"
"O-643418426701572","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/30/22","6:18 PM","43.44","2.99","0","3.60","7.50","57.53","-5.80","-2.05","0"
"O-196718267827701","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/15/22","4:48 PM","45.45","0.00","0","3.52","0","48.97","-5.68","-1.79","0"
"O-138618244305579","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/13/22","5:43 PM","36.56","2.99","0","3.06","5.00","47.61","-4.94","-1.75","0"
"O-006918245946127","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/12/22","6:12 PM","44.97","4.99","0","3.88","2.00","55.84","-6.25","-2.00","0"
"O-602018407206648","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/28/22","7:06 PM","36.72","0.00","0","2.85","0","39.57","-4.59","-1.51","0"
"O-786018199607390","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/7/22","6:41 PM","37.97","2.99","0","3.17","8.83","52.96","-5.12","-1.92","0"
"O-217918416391754","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/30/22","4:47 PM","11.99","0.00","0","0.93","1.94","14.86","-1.50","-0.75","0"
"O-882118277495565","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/15/22","6:56 PM","35.97","2.99","0","3.02","3.00","44.98","-4.87","-1.67","0"
"O-469218236294557","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/11/22","8:17 PM","52.93","2.99","0","4.33","8.55","68.80","-6.99","-2.40","0"
"O-120718360801719","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/24/22","7:47 PM","50.75","2.99","0","4.16","5.47","63.37","-6.72","-2.23","0"
"O-230218248256799","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-230218248256799","Tip increased by diner via self-service - Tip updated by diner via help interaction","3/13/22","5:48 PM","0","0.00","0","0.00","0","0.00","0","0","0"
"O-769018395163516","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/27/22","8:20 PM","63.21","0.00","0","4.90","0","68.11","-7.90","-2.38","0"
"O-853318147822049","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/2/22","6:30 PM","30.16","4.99","0","2.73","4.88","42.76","-4.39","-1.60","0"
"O-398318312851421","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/19/22","7:11 PM","23.96","2.99","0","2.09","5.16","34.20","-3.37","-1.34","0"
"O-880118375900940","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/26/22","5:39 PM","22.58","2.99","0","1.98","0","27.55","-3.20","-1.14","0"
"O-023118196270447","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/7/22","6:45 PM","45.96","0.00","0","3.56","4.95","54.47","-5.75","-1.96","0"
"W-767518383825652","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/26/22","7:38 PM","34.97","2.99","0","2.94","6.14","47.04","0","-1.73","0"
"O-959718256117346","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/14/22","12:34 PM","23.98","4.99","0","2.25","4.68","35.90","-3.62","-1.39","0"
"O-351718319006895","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/20/22","5:01 PM","91.25","2.99","0","7.30","15.23","116.77","-11.78","-3.86","0"
"O-859318230359243","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/12/22","11:45 AM","55.97","0.00","0","4.34","0","60.31","-7.00","-2.14","0"
"O-433918276105537","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/15/22","8:37 PM","19.99","0.00","0","1.55","0","21.54","-2.50","-0.96","0"
"O-853318167826660","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/4/22","8:16 PM","16.78","4.99","0","1.69","4.69","28.15","-2.72","-1.16","0"
"O-880118365985381","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/25/22","12:20 PM","10.99","0.00","0","0.85","1.77","13.61","-1.37","-0.72","0"
"W-959718276113549","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/16/22","1:31 PM","34.64","2.99","0","2.91","3.00","43.54","0","-1.63","0"
"O-433918256108522","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/14/22","1:14 PM","69.45","2.99","0","5.61","11.70","89.75","-9.06","-3.04","0"
"O-882118307492326","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/18/22","7:13 PM","61.43","0.00","0","4.76","0","66.19","-7.68","-2.32","0"
"O-645118427095723","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/31/22","11:33 AM","31.98","0.00","0","2.48","5.17","39.63","-4.00","-1.51","0"
"W-278918211014166","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/9/22","6:40 PM","29.98","0.00","0","2.32","0","32.30","0","-1.29","0"
"O-538818406966258","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/28/22","5:56 PM","33.10","0.00","0","2.57","0","35.67","-4.14","-1.39","0"
"W-879418338240687","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/21/22","6:30 PM","40.96","0.00","0","3.17","0","44.13","0","-1.65","0"
"O-541118371236586","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/25/22","5:30 PM","42.46","0.00","0","3.29","0","45.75","-5.31","-1.70","0"
"O-493218277621751","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/15/22","8:03 PM","34.77","0.00","0","2.69","0","37.46","-4.35","-1.44","0"
"O-879418378249139","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/25/22","7:43 PM","18.57","0.00","0","1.44","4.00","24.01","-2.32","-1.03","0"
"O-643418426701653","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/30/22","6:13 PM","17.48","2.99","0","1.58","3.00","25.05","-2.56","-1.06","0"
"O-786018149607841","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/2/22","9:51 PM","24.06","2.99","0","2.09","4.37","33.51","-3.38","-1.32","0"
"O-138618164318410","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"3/4/22","4:51 PM","18.99","0.00","0","1.47","3.06","23.52","-2.37","-1.02","0"
