1,,OMNISHIELDASSURE,,,,,,9.9500,,9.95
1,,SIGNATURE MERCHANT LOCATION FEE,,,,,,2.5000,,2.50
315,,VISA ACQUIRER PROCESSING FEE,,,,,,0.0195,,6.14
2,,VISA APF SIG CREDIT AUTH REV,,,,,,0.0195,,0.04
572,,VISA APF SIG DEBIT,,,,,,0.0155,,8.87
2,,VISA APF SIG DEBIT AUTH REV,,,,,,0.0155,,0.03
1,,VISA APF SIGNATURE CREDIT INTER,,,,,,0.0395,,0.04
892,,VISA BASE II TRAN FEE,,,,,,0.0020,,1.78
"American Express does not charge ""interchange."" For Amex, this amount is the percentage fee applicable to your Amex card",,,,,,,,,,
transactions.,,,,,,,,,,

MERCHANT NBR: 4800000500763,,,MERCHANT STATEMENT,
DBA: AMECIS PIZZA LAKE FOREST,,,,PAGE 3 of 3
,,,,"June 30, 2021"
Number,Amount,Description,Rate,Total
24,,VISA CREDIT TRANSACTION INTEGRITY FEE,0.1000,2.40
55,,VISA DEBIT TRANSACTION INTEGRITY FEE,0.1000,5.50
2,,VISA MISUSE FEE,0.0900,0.18
,,,Total Other Fees,72.95
TOTAL FEES,,,,
Processing Fees,,,,740.14
Interchange Fees,,,,0.00
Other Fees,,,,72.95
Discount Collected,,,,0.00
Total Fees,,,,813.09
Visa has introduced a new fee: VISA EXCESSIVE FALLBACK FEE at $0.10. This per transaction fee will be assessed for each,,,,
"fallback transaction occurring at merchant locations with a fallback rate of 10% or greater. If applicable, the fee will be first be",,,,
assessed on August invoices.,,,,
"American Express does not charge ""interchange."" For Amex, this amount is the percentage fee applicable to your Amex card",,,,
transactions.,,,,
