STYLE,DESCRIPTION,UPC,QTY,AMOUNT,already_exists,quantity received,Total Received
OR2902-2,Family Series- New House Family of 2,659839739768,2,$42.00,FALSE,2,TRUE
OR2902-3,Family Series- New House Family of 3,659839739775,2,$42.00,FALSE,2,TRUE
OR2902-4,Family Series- New House Family of 4,659839739782,3,$42.00,FALSE,3,TRUE
OR2902-5,Family Series- New House Family of 5,659839739799,3,$42.00,FALSE,3,TRUE
OR2902-6,Family Series- New House Family of 6,659839739805,1,$42.00,FALSE,1,TRUE
OR2907-2,Family Series- Penguins Building a Snowman Family of 2,659839740023,2,$42.00,FALSE,2,TRUE
OR2907-3,Family Series- Penguins Building a Snowman Family of 3,659839740030,2,$42.00,FALSE,2,TRUE
OR2907-4,Family Series- Penguins Building a Snowman Family of 4,659839740047,3,$42.00,FALSE,3,TRUE
OR2907-5,Family Series- Penguins Building a Snowman Family of 5,659839740054,2,$42.00,FALSE,2,TRUE
OR2907-6,Family Series- Penguins Building a Snowman Family of 6,659839740061,1,$42.00,FALSE,1,TRUE
OR2906-3,Family Series- Cute Christmas Characters Family of 3,659839739980,3,$42.00,FALSE,3,TRUE
OR2906-5,Family Series- Cute Christmas Characters Family of 5,659839740009,3,$42.00,FALSE,2,FALSE
OR3048-3,Family Series- Ski Lift Family W/Dangling Legs-3,659839743598,2,$42.00,FALSE,2,TRUE
OR3048-4,Family Series- Ski Lift Family W/Dangling Legs-4,659839743604,2,$42.00,FALSE,2,TRUE
OR3048-5,Family Series- Ski Lift Family W/Dangling Legs-5,659839743611,2,$42.00,FALSE,2,TRUE
OR3048-6,Family Series- Ski Lift Family W/Dangling Legs-6,659839743628,1,$42.00,FALSE,1,TRUE
OR2467-4,FAMILY SERIES- Cutesy Moose Family of 4,659839730956,2,$42.00,TRUE,2,TRUE
OR2467-2,FAMILY SERIES- Cutesy Moose Family of 2,659839730932,2,$42.00,TRUE,2,TRUE
OR2467-6,FAMILY SERIES- Cutesy Moose Family of 6,659839730970,2,$42.00,TRUE,2,TRUE
OR2469-5,FAMILY SERIES- ARCTIC FOX FAMILY OF 5,659839729684,2,$42.00,FALSE,2,TRUE
OR2469-6,FAMILY SERIES- ARCTIC FOX FAMILY OF 6,659839729691,2,$42.00,FALSE,2,TRUE
OR2788,GENERAL- G.O.A.T,659839742089,1,$40.50,FALSE,1,TRUE
OR998,HOME-LOG CABIN,659839768249,1,$40.50,FALSE,1,TRUE
OR2906-6,Family Series- Cute Christmas Characters Family of 6,659839740016,2,$42.00,FALSE,2,TRUE
NFL-LAC SHIELD,Los Angeles Chargers Personlaized Shield Ornament,659839744076,1,$72.00,FALSE,1,TRUE
NFL-LAR SHIELD,Los Angeles Rams Personalized Shield Ornament,659839744083,1,$72.00,FALSE,1,TRUE
NFL-SF SHIELD,San Francisco 49ers Personalized Shield Ornament,659839744175,1,$72.00,FALSE,1,TRUE
NFL-LAS SHIELD,Las Vegas Raiders Personalized Shield Ornament,659839744069,2,$72.00,FALSE,2,TRUE
NFL-KC SHIELD,Kansas City Chiefs Personalized Shield Ornament,659839744052,1,$72.00,FALSE,1,TRUE
NFL-DAL SHIELD,Dallas Cowboys Personalized Shield Ornament,659839743987,2,$72.00,FALSE,2,TRUE
OR2176-A,STICK ON- DOG W/SANTA CAP ADD ON ASSORTMENT(3 OF EACH),659839723897,10,$13.50,TRUE,10,TRUE
OR2239,CHILD- DANCE TEAM,659839726287,1,$39.75,TRUE,1,TRUE
OR610,CHILD-PRINCESS HEART,659839760274,1,$40.50,TRUE,1,TRUE
OR1846-P,BABY'S FIRST- SNOWBABY W/CANDY CANE- PINK,659839710545,1,$38.25,TRUE,1,TRUE
OR1618,HOBBIES/ACTIVITIES- New Piano,659839704049,1,$42.00,TRUE,1,TRUE
OR1816,OCCUPATION- Tool Chest,659839710170,1,$38.25,TRUE,1,TRUE
OR488,OCCUPATION-HAIR STYLIST,659839755225,1,$40.50,TRUE,1,TRUE
OR2306,SPORTS- BASKETBALL BACKBOARD & BALL,659839727208,1,$39.75,TRUE,1,TRUE
OR863,SPORTS-FIGURE SKATES,659839764067,1,$38.25,TRUE,1,TRUE
OR2461-5,FAMILY SERIES- FAMILY OF 5 SITTING IN FRONT OF FIREPLACE,659839729387,1,$42.00,TRUE,1,TRUE
OR2662-2,FAMILY SERIES- New Hot Cocoa Family of 2,659839740658,1,$42.00,TRUE,1,TRUE
OR807-2,We're Expecting- We're Expecting Snowman Couple w/ 2Children,659839772086,2,$40.50,TRUE,2,TRUE
OR1183-A,COUPLES-PENGUIN COUPLE W/HEART ASSORTMENT(4 of each),659839772208,2,$40.50,TRUE,2,TRUE
OR2382,COUPLES- NAME IN SAND HEART,659839728250,2,$42.00,TRUE,2,TRUE
OR2391,COUPLES- MR.AND MRS. CLAUSE KISSING,659839728359,2,$41.25,TRUE,2,TRUE
OR1168,GENERAL- COFFEE LOVER CUP,659839771522,2,$36.75,TRUE,2,TRUE
OR2766,PETS- Dog with Reindeer Antlers,659839741907,2,$38.25,TRUE,2,TRUE
OR2255-5,FAMILY SERIES- NEW SNOWMAN FAMILY OF 5,659839726461,2,$41.25,TRUE,2,TRUE
OR2905-2,Family Series- People in Wreath Family of 2,659839739911,2,$42.00,FALSE,2,TRUE
OR2904-5,Family Series- Sleigh w/ Gold Rails Family of 5,659839739898,2,$42.00,FALSE,2,TRUE
OR2904-6,Family Series- Sleigh w/ Gold Rails Family of 6,659839739904,2,$42.00,FALSE,2,TRUE
OR2469-4,FAMILY SERIES- ARCTIC FOX FAMILY OF 4,659839729677,2,$42.00,FALSE,2,TRUE
OR2030-12,FAMILY SERIES- FIREPLACE MANTLE FAMILY OF 12,659839728618,3,$42.00,TRUE,3,TRUE
OR2905-3,Family Series- People in Wreath Family of 3,659839739928,3,$42.00,FALSE,3,TRUE
OR2905-5,Family Series- People in Wreath Family of 5,659839739942,3,$42.00,FALSE,3,TRUE
OR2905-4,Family Series- People in Wreath Family of 4,659839739935,4,$42.00,FALSE,4,TRUE
OR2177-A,STICK ON- CAT W/SCARF ADD ON ASSORTMENT,659839723903,10,$13.50,TRUE,10,TRUE
