Token,Item Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (lb),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Enabled Cerritos,Current Quantity Cerritos,New Quantity Cerritos,Stock Alert Enabled Cerritos,Stock Alert Count Cerritos,Price Cerritos,Enabled Mission Viejo,Current Quantity Mission Viejo,New Quantity Mission Viejo,Stock Alert Enabled Mission Viejo,Stock Alert Count Mission Viejo,Price Mission Viejo,Enabled Storage,Current Quantity Storage,New Quantity Storage,Stock Alert Enabled Storage,Stock Alert Count Storage,Price Storage,Enabled Westminster,Current Quantity Westminster,New Quantity Westminster,Stock Alert Enabled Westminster,Stock Alert Count Westminster,Price Westminster,Modifier Set - Additional Personalization (If Above Limited),Modifier Set - Personalization,Tax - Sales Tax (7.75%)
V7NBUEA2HQMCEJGWV35JU7CT,3 PC SET - US - SHERIFF,Regular,,814357017747,"The oversized Sportula spatula is made from stainless steel and hard maple wood with a built-in bottle opener to boot. It can flip burgers and steaks, then crack open a cold drink. To grab hot dogs and more, opt for the three-piece set. It’s built just as beautifully and includes tongs and a grill fork (which also has an integrated bottle opener). Choose any NHL, NBA, MLB, and NFL team—and from over 140 college teams. If your loyalty is to the military, every branch of the service is represented, too. All of the logos are laser-etched for a bold look.","Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4), Sportula Set (WKLOBHEKXKIVQWYU3UWLBBKL)",Sportula Set (UCQ2RNIGC2AX6DSFM4FWZSA4),,,,,unavailable,Physical good,,,,Y,,Y,Y,59.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,N,Y
RJWACIUDYALSEPKBTQMNRJ2E,ALL ABOARD FAMILY OF 4 (RM1211-4),,,845583041299,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament, Ornament > Family of 4",Ornament,,,,,unavailable,Physical good,0.5,,,Y,N,Y,Y,19.99,,Y,,N,,N,,,Y,0,,,,,Y,12,,,,,Y,0,,,,,Y,0,,,,,Y,Y,Y
FJ75X7TIP3GROVOTOTJFKHXG,ANCHORS AWAY WHITE (RM229W),,,845583011575,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament > General, Ornament > Holiday Themed, Ornament > House/Door, Ornament, Ornament > Travel",Ornament > Travel,,,,,visible,Physical good,0.5,,,Y,N,Y,Y,18.99,,N,,,,N,,,Y,4,,,,,Y,3,,,,,Y,0,,,,,Y,0,,,,,N,Y,Y
5PBP7N5DZWSA53PNDBH5ITP3,BABY - 2021 BABY - BLUE (RM1421B),Regular,,845583038848,"This adorable Baby Boy Personalized Christmas Ornament is sure to be a special gift to remember the child's first Christmas. We can hand personalize this to make this a keepsake to be cherished for many years. Ornament comes with ribbon attached ready to hang.

Please fill out the modifier with the name you'd like to go on the hat.

Sometimes we may still have questions. If we are unsure, then we will contact you by email or phone number through text!

This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!",Ornament,,,,,,unavailable,Physical good,0.4,,,Y,,Y,Y,18.99,,Y,,,,,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
HNKPH6QAYLXL25L6HFS7BO6I,BABY - 2021 BABY - PINK (RM1421G),Regular,,845583038855,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!",Ornament,,,,,,unavailable,Physical good,,,,Y,,Y,Y,18.99,,Y,,,,,,,Y,0,,,,,Y,5,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
N3FSNEAWY73YZQN2XJ43MRBH,BABY - BABY BEAR HOLD PRESENT - PINK (OR1424-P),Regular,,659839780371,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament > Baby, Ornament > Baby > Baby Girl (Pink)",Ornament > Baby,,,,,visible,Physical good,,,,Y,N,Y,Y,18.99,,N,,,,,,,Y,-1,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
IF7PNNSFGYBT25ORZW7OYDK3,BABY - BABY BEAR HOLDING PRESENT - BLUE (OR1424-B),Regular,,659839780364,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament, Ornament > Baby, Ornament > Baby > Baby Boy (Blue)",Ornament > Baby > Baby Boy (Blue),,,,,visible,Physical good,,,,Y,N,Y,Y,18.99,,N,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
VNQKYV3A6FTZTZFDSFFBQUDX,BABY - BABY BOOTIES BLUE (OR1650-B),Regular,,659839707514,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament, Ornament > Baby, Ornament > Baby > Baby Boy (Blue)",Ornament > Baby,,,,,unavailable,Physical good,,,,Y,,Y,Y,18.99,,Y,,N,,N,,,Y,0,,,,,Y,-1,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
6IFDZZTU4LLIAYGWCW3JUJN2,BABY - BABY BOOTIES PINK (OR1650-P),Regular,,659839707521,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament, Ornament > Baby, Ornament > Baby > Baby Girl (Pink)",Ornament > Baby,,,,,unavailable,Physical good,,,,Y,,Y,Y,18.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
4SQDKCFXHMLJRL4VSYIKGMJX,BABY - BABY BOTTLE PINK (RM22-G),Regular,,845583002108,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament, Ornament > Baby, Ornament > Baby > Baby Girl (Pink)",Ornament > Baby,,,,,unavailable,Physical good,,,,Y,,Y,Y,18.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
EXB2ZRVGUYGWMEPT7JPQCZH3,BABY - BABY BOY ANGEL (OR1648-B),Regular,,659839707477,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament, Ornament > Memorial/Religious, Ornament > Baby, Ornament > Baby > Baby Boy (Blue)",Ornament > Baby > Baby Boy (Blue),,,,,visible,Physical good,,,,Y,N,Y,Y,18.99,,N,,N,,N,,,Y,0,,,,,Y,1,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
MYKKQZISYAS4RH6DDMNTDQ3A,BABY - BABY BOY BOTTLE (OR1341-B),Regular,,659839779207,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament, Ornament > Baby > Baby Boy (Blue), Ornament > Baby",Ornament > Baby > Baby Boy (Blue),,,,,visible,Physical good,,,,Y,,Y,Y,18.99,,N,,,,N,,,Y,1,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
UO23WI3NOKG7A3SOEU5353LW,BABY - BABY BOY'S 1ST CHRISTMAS PHOTO FRAME (RM367B),Regular,,845583003716,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament > Picture Frame, Ornament, Ornament > Baby, Ornament > Baby > Baby Boy (Blue)",Ornament > Baby > Baby Boy (Blue),,,,,visible,Physical good,,,,Y,N,Y,Y,18.99,,N,,N,,N,,,Y,-4,,,,,Y,6,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
RSFFSBHAUJINSWCCOP6VJHIA,BABY - BABY BUNDLE PARACHUTE BLUE (OR1735-B),Regular,,Q065381,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament, Ornament > Baby, Ornament > Baby > Baby Boy (Blue)",Ornament > Baby > Baby Boy (Blue),,,,,visible,Physical good,,,,Y,,Y,Y,18.99,,N,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
ZXFRWMCVBN3KZMXEMLOOEX45,BABY - BABY BUNDLE PINK (RM962-G),Regular,,845583051007,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament, Ornament > Baby, Ornament > Baby > Baby Girl (Pink)",Ornament > Baby,,,,,unavailable,Physical good,,,,Y,,Y,Y,18.99,,Y,,N,,N,,,Y,0,,,,,Y,0,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
UGBH5FBVSFORTCTBQNTSIGCO,BABY - BABY CARRIAGE BLUE (OR1643-B),Regular,,659839707330,"This festive and thoughtful ornament is perfect for adding to any tree! Each ornament is personalized for free with names, years, and sometimes additional writing. Please specify precisely where you’d like each name to go. Otherwise our talented artists always use their best judgement to make your ornament special. The ornaments are personalized with permanent ink by hand.
[Disclaimer] It is your responsibility to ensure the spelling you give us is correct. Double check all spelling because if an issue occurs, we will not be able to replace it. If you’d like to forgo personalization, just write “No Personalization” in the box.
Please also note, the color scheme, design, and all that you see in the first image for the ornament cannot be altered. They come pre made that way.
Orders with confusing or unclear instructions may be delayed until we are able to reconnect with you to verify the desired personalization. If we cannot reach you in a timely manner, we will send the ornament with our best judgement or without personalization and we will not refund for this case either.
Thank you!","Ornament, Ornament > Baby > Baby Boy (Blue), Ornament > Baby",Ornament > Baby > Baby Boy (Blue),,,,,visible,Physical good,,,,Y,,Y,Y,18.99,,N,,N,,N,,,Y,5,,,,,Y,1,,,,,Y,,,,,,Y,0,,,,,N,Y,Y
