Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Staff tip,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Marketing fees (for historical reference only) | (all discounts and fees),Marketing fee tax (for historical reference only) | (taxes on any applicable marketing fees),Ad fee (for historical reference only),Ad fee tax (for historical reference only),Error charges,Adjustments,Adjustments (for historical reference only),Net total,Net total (for historical reference only),Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,DoorDash funded subtotal discount amount | (for historical reference only),Merchant funded subtotal discount amount | (for historical reference only),Payout ID,Payout status
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-15,USD,Marketplace,998.93,54.99,8.81,-125.51,0.00,-42.61,-84.45,-12.00,0.00,12.00,0.00,-93.36,0.00,-33.70,0.00,0.00,0.00,0.00,810.16,810.16,916.46,0.00,12.00,84.45,545787657,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-14,USD,Marketplace,222.94,12.56,0.00,-31.43,0.00,-12.52,-14.42,-4.00,0.00,4.00,0.00,-15.41,0.00,-11.53,0.00,-14.29,0.00,0.00,162.84,162.84,209.51,0.00,4.00,14.42,545153774,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-13,USD,Marketplace,663.09,37.37,0.00,-90.35,0.00,-41.11,-42.97,-29.00,0.00,29.00,0.00,-44.95,0.00,-39.13,0.00,0.00,0.00,0.00,526.03,526.03,623.09,0.00,29.00,42.97,545073810,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-12,USD,Marketplace,804.21,45.52,0.00,-110.94,0.00,-48.71,-48.72,-21.00,0.00,21.00,0.00,-50.70,0.00,-46.73,0.00,-23.48,62.68,62.68,680.56,680.56,758.46,0.00,21.00,48.72,544886220,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-09,USD,Marketplace,173.54,9.81,0.00,-24.53,0.00,-0.99,-10.99,-3.00,0.00,3.00,0.00,-11.98,0.00,0.00,0.00,0.00,0.00,0.00,146.84,146.84,163.54,0.00,3.00,10.99,543924212,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-08,USD,Marketplace,695.87,38.55,2.00,-90.07,0.00,-27.36,-53.45,-14.97,0.00,14.97,0.00,-57.41,0.00,-23.40,0.00,0.00,0.00,0.00,565.54,565.54,642.42,0.00,14.97,53.45,543888805,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-07,USD,Marketplace,621.33,34.25,0.00,-85.58,0.00,-61.23,-53.82,-18.00,0.00,18.00,0.00,-61.74,0.00,-53.31,0.00,0.00,0.00,0.00,454.95,454.95,570.48,0.00,18.00,53.82,543286884,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-06,USD,Marketplace,700.00,39.00,2.49,-96.53,0.00,-51.78,-50.99,-12.00,0.00,12.00,0.00,-53.96,0.00,-48.81,0.00,0.00,0.00,0.00,542.19,542.19,650.00,0.00,12.00,50.99,543186972,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-05,USD,Marketplace,2271.20,127.15,2.00,-306.10,0.00,-109.58,-158.64,-62.00,-8.80,62.00,8.80,-170.52,0.00,-97.70,0.00,-24.19,0.00,0.00,1801.84,1801.84,2118.50,0.00,70.80,158.64,542983168,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-02,USD,Marketplace,393.61,21.45,0.00,-50.43,0.00,-35.17,-35.95,-10.00,0.00,10.00,0.00,-39.91,0.00,-31.21,0.00,0.00,0.00,0.00,293.51,293.51,357.66,0.00,10.00,35.95,542108489,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2026-01-01,USD,Marketplace,662.22,37.15,0.00,-91.44,0.00,-49.99,-46.21,-20.00,0.00,20.00,0.00,-52.15,0.00,-44.05,0.00,-6.85,0.00,0.00,504.88,504.88,618.98,0.00,20.00,46.21,541528929,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-31,USD,Marketplace,859.01,48.05,4.07,-106.30,0.00,-62.67,-58.07,0.00,0.00,0.00,0.00,-62.03,0.00,-58.71,0.00,-31.64,0.00,0.00,652.45,652.45,800.94,0.00,0.00,58.07,541427338,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-30,USD,Marketplace,705.28,38.73,16.52,-86.78,0.00,-13.02,-59.80,0.00,0.00,0.00,0.00,-62.77,0.00,-10.05,0.00,0.00,0.00,0.00,600.93,600.93,645.48,0.00,0.00,59.80,541408803,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-29,USD,Marketplace,1144.90,63.67,0.00,-159.15,0.00,-23.05,-86.00,-14.00,-9.74,14.00,9.74,-87.98,0.00,-21.07,0.00,0.00,0.00,0.00,940.37,940.37,1060.88,0.00,23.74,86.00,541221215,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-26,USD,Marketplace,450.72,24.65,1.00,-58.54,0.00,-0.99,-40.99,-4.00,0.00,4.00,0.00,-41.98,0.00,0.00,0.00,0.00,10.00,10.00,385.85,385.85,410.72,0.00,4.00,40.99,540349304,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-25,USD,Marketplace,279.90,14.89,0.00,-37.23,0.00,-22.13,-31.69,0.00,0.00,0.00,0.00,-34.66,0.00,-19.16,0.00,0.00,0.00,0.00,203.74,203.74,248.21,0.00,0.00,31.69,540260652,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-24,USD,Marketplace,658.77,37.52,0.00,-90.19,0.00,-35.25,-34.59,-32.00,0.00,32.00,0.00,-37.56,0.00,-32.28,0.00,0.00,0.00,0.00,536.26,536.26,625.17,0.00,32.00,34.59,539643566,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-23,USD,Marketplace,1021.47,57.33,0.00,-134.50,0.00,-33.78,-69.12,-10.00,0.00,10.00,0.00,-72.09,0.00,-30.81,0.00,0.00,0.00,0.00,841.40,841.40,955.32,0.00,10.00,69.12,539591563,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-22,USD,Marketplace,1209.80,67.24,0.00,-168.03,0.00,-76.57,-94.64,-38.00,0.00,38.00,0.00,-99.59,0.00,-71.62,0.00,-5.00,0.00,0.00,932.80,932.80,1120.11,0.00,38.00,94.64,539413722,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-19,USD,Marketplace,697.85,38.47,0.00,-91.72,0.00,-61.75,-58.63,-10.00,0.00,10.00,0.00,-65.56,0.00,-54.82,0.00,0.00,0.00,0.00,524.22,524.22,641.20,0.00,10.00,58.63,538477491,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-18,USD,Marketplace,557.28,30.56,0.00,-73.57,0.00,-34.16,-48.71,-7.00,0.00,7.00,0.00,-51.68,0.00,-31.19,0.00,-18.09,34.94,34.94,448.25,448.25,509.56,0.00,7.00,48.71,538435987,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-17,USD,Marketplace,1106.27,62.18,3.77,-150.80,0.00,-16.89,-70.93,-6.00,0.00,6.00,0.00,-76.87,0.00,-10.95,0.00,0.00,0.00,0.00,933.60,933.60,1036.33,0.00,6.00,70.93,537807746,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-16,USD,Marketplace,656.53,35.14,0.00,-82.26,0.00,-10.93,-71.12,-5.00,0.00,5.00,0.00,-75.08,0.00,-6.97,0.00,0.00,0.00,0.00,527.36,527.36,585.41,0.00,5.00,71.12,537775691,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-16,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.64,-11.64,-11.64,-11.64,0.00,0.00,0.00,0.00,537775691,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-15,USD,Marketplace,1622.00,89.93,0.00,-224.76,0.00,-124.15,-126.53,-18.00,0.00,18.00,0.00,-139.40,0.00,-111.28,0.00,-57.54,0.00,0.00,1178.95,1178.95,1498.44,0.00,18.00,126.53,537591345,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-12,USD,Marketplace,151.07,8.17,0.00,-20.42,0.00,0.00,-15.99,-7.00,0.00,7.00,0.00,-15.99,0.00,0.00,0.00,0.00,0.00,0.00,122.83,122.83,136.07,0.00,7.00,15.99,536699881,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-11,USD,Marketplace,844.12,46.13,5.82,-106.76,0.00,-41.30,-77.61,-32.00,0.00,32.00,0.00,-87.51,0.00,-31.40,0.00,-18.88,0.00,0.00,651.52,651.52,768.49,0.00,32.00,77.61,536621833,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-10,USD,Marketplace,946.86,52.03,0.00,-125.14,0.00,-53.53,-82.89,-28.00,0.00,28.00,0.00,-86.85,0.00,-49.57,0.00,0.00,0.00,0.00,737.33,737.33,866.94,0.00,28.00,82.89,536008945,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-09,USD,Marketplace,735.31,40.27,1.90,-99.54,0.00,-35.07,-65.54,-8.00,0.00,8.00,0.00,-71.48,0.00,-29.13,0.00,0.00,0.00,0.00,577.33,577.33,670.76,0.00,8.00,65.54,535973752,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-08,USD,Marketplace,981.57,52.60,3.45,-120.09,0.00,-98.77,-107.39,-29.92,0.00,29.92,0.00,-119.27,0.00,-86.89,0.00,-5.00,0.00,0.00,706.37,706.37,876.16,0.00,29.92,107.39,535778553,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-05,USD,Marketplace,435.27,24.63,0.00,-61.55,0.00,-12.65,-25.00,0.00,0.00,0.00,0.00,-25.99,0.00,-11.66,0.00,0.00,0.00,0.00,360.70,360.70,410.27,0.00,0.00,25.00,534884068,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-04,USD,Marketplace,808.67,45.24,0.00,-108.60,0.00,-49.72,-56.87,-21.69,0.00,21.69,0.00,-61.82,0.00,-44.77,0.00,-42.27,0.00,0.00,596.45,596.45,753.78,0.00,21.69,56.87,534856350,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-03,USD,Marketplace,947.85,53.74,0.00,-134.30,0.00,-43.65,-54.34,-18.00,0.00,18.00,0.00,-61.27,0.00,-36.72,0.00,-0.90,0.00,0.00,768.40,768.40,895.49,0.00,18.00,54.34,534204345,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-02,USD,Marketplace,419.96,23.70,0.00,-55.34,0.00,0.00,-27.97,-32.00,0.00,32.00,0.00,-27.97,0.00,0.00,0.00,0.00,0.00,0.00,360.35,360.35,394.96,0.00,32.00,27.97,534150254,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-12-01,USD,Marketplace,1123.69,61.34,2.00,-148.34,0.00,-36.40,-102.57,-15.15,0.00,15.15,0.00,-107.52,0.00,-31.45,0.00,-9.61,29.65,29.65,919.76,919.76,1021.94,0.00,15.15,102.57,533980131,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-28,USD,Marketplace,436.72,24.16,0.00,-57.25,0.00,-41.01,-35.04,-6.00,0.00,6.00,0.00,-39.99,0.00,-36.06,0.00,0.00,0.00,0.00,327.58,327.58,402.67,0.00,6.00,35.04,533136260,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-27,USD,Marketplace,518.10,29.59,0.00,-73.97,0.00,0.00,-27.97,-12.00,0.00,12.00,0.00,-27.97,0.00,0.00,0.00,-26.29,17.99,17.99,437.45,437.45,493.10,0.00,12.00,27.97,533104838,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-26,USD,Marketplace,964.77,54.19,0.00,-132.64,0.00,-68.42,-62.92,-5.00,0.00,5.00,0.00,-71.83,0.00,-59.51,0.00,0.00,0.00,0.00,754.98,754.98,902.84,0.00,5.00,62.92,532489023,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-25,USD,Marketplace,675.82,38.81,5.59,-88.54,0.00,-10.78,-33.16,-24.00,0.00,24.00,0.00,-35.14,0.00,-8.80,0.00,-6.72,0.00,0.00,581.02,581.02,646.62,0.00,24.00,33.16,532405096,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-24,USD,Marketplace,1322.15,71.88,2.31,-171.09,0.00,-58.54,-128.48,-21.00,0.00,21.00,0.00,-136.40,0.00,-50.62,0.00,-28.10,0.00,0.00,1010.13,1010.13,1197.63,0.00,21.00,128.48,532238590,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-21,USD,Marketplace,632.21,33.43,0.00,-77.64,0.00,-24.19,-76.30,-7.47,0.00,7.47,0.00,-82.24,0.00,-18.25,0.00,-2.39,0.00,0.00,485.12,485.12,556.90,0.00,21.25,76.30,531327247,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-20,USD,Marketplace,601.40,34.29,0.00,-85.72,0.00,-30.41,-31.98,-39.57,0.00,39.57,0.00,-31.98,0.00,-30.41,0.00,0.00,0.00,0.00,487.58,487.58,571.40,0.00,39.57,31.98,531307412,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-19,USD,Marketplace,765.92,42.32,0.00,-99.01,0.00,-30.63,-66.02,-28.41,0.00,28.41,0.00,-69.98,0.00,-26.67,0.00,-6.04,0.00,0.00,606.54,606.54,704.85,0.00,34.01,66.02,530682674,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-18,USD,Marketplace,1253.03,69.15,0.00,-169.00,0.00,-69.99,-103.92,-9.00,0.00,9.00,0.00,-109.86,0.00,-64.05,0.00,0.00,0.00,0.00,979.27,979.27,1152.08,0.00,9.00,103.92,530633574,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-17,USD,Marketplace,1794.96,100.32,0.00,-246.00,0.00,-53.55,-131.33,-60.95,0.00,60.95,0.00,-136.28,0.00,-48.60,0.00,0.00,35.05,35.05,1499.45,1499.45,1671.55,0.00,60.95,131.33,530426591,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-14,USD,Marketplace,361.49,20.04,0.00,-48.91,0.00,-20.06,-29.34,-7.00,0.00,7.00,0.00,-31.32,0.00,-18.08,0.00,0.00,0.00,0.00,283.22,283.22,334.13,0.00,7.00,29.34,529574871,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-13,USD,Marketplace,1047.70,58.46,0.00,-146.11,0.00,-59.44,-75.80,-35.00,0.00,35.00,0.00,-77.78,0.00,-57.46,0.00,0.00,0.00,0.00,824.81,824.81,973.88,0.00,35.00,75.80,529481700,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-12,USD,Marketplace,1380.34,77.23,3.60,-191.02,0.00,-63.74,-97.31,-26.89,0.00,26.89,0.00,-105.23,0.00,-55.82,0.00,-11.01,0.00,0.00,1098.09,1098.09,1286.99,0.00,43.29,97.31,528917498,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-11,USD,Marketplace,596.30,34.00,2.38,-83.60,0.00,0.00,-31.98,-15.00,0.00,15.00,0.00,-31.98,0.00,0.00,0.00,-24.23,0.00,0.00,492.87,492.87,566.30,0.00,15.00,31.98,528811797,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-10,USD,Marketplace,1255.50,68.53,6.46,-159.71,0.00,-93.35,-116.81,-37.20,0.00,37.20,0.00,-127.70,0.00,-82.46,0.00,-3.95,0.00,0.00,956.67,956.67,1141.66,0.00,37.20,116.81,528648904,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-07,USD,Marketplace,185.73,10.36,0.00,-25.89,0.00,-25.04,-14.16,-11.00,0.00,11.00,0.00,-16.14,0.00,-23.06,0.00,-6.87,0.00,0.00,124.13,124.13,172.56,0.00,11.00,14.16,527764667,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-06,USD,Marketplace,793.33,42.92,0.00,-96.42,0.00,-52.65,-82.14,-18.43,0.00,18.43,0.00,-88.08,0.00,-46.71,0.00,-15.82,0.00,0.00,589.22,589.22,715.15,0.00,30.43,82.14,527667337,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-05,USD,Marketplace,862.14,48.49,5.34,-117.67,0.00,-41.96,-56.47,-9.51,0.00,9.51,0.00,-59.44,0.00,-38.99,0.00,-22.13,0.00,0.00,677.74,677.74,807.65,0.00,15.51,56.47,527087933,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-04,USD,Marketplace,2477.34,140.79,4.43,-327.47,0.00,-3.96,-135.18,-31.00,0.00,31.00,0.00,-139.14,0.00,0.00,0.00,0.00,0.00,0.00,2155.95,2155.95,2346.12,0.00,31.00,135.18,527053303,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-11-03,USD,Marketplace,1316.25,74.22,0.00,-184.14,0.00,-50.41,-85.68,-33.00,0.00,33.00,0.00,-94.59,0.00,-41.50,0.00,-12.47,0.00,0.00,1057.77,1057.77,1236.51,0.00,33.00,85.68,526831099,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-10-31,USD,Marketplace,419.27,23.11,5.00,-53.84,0.00,-21.41,-35.11,-2.00,0.00,2.00,0.00,-38.08,0.00,-18.44,0.00,-66.08,0.00,0.00,270.94,270.94,385.15,0.00,2.00,35.11,525957896,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-10-30,USD,Marketplace,600.35,32.84,0.00,-82.11,0.00,-23.75,-56.04,-18.03,0.00,18.03,0.00,-59.01,0.00,-20.78,0.00,-11.88,0.00,0.00,459.41,459.41,547.28,0.00,28.13,56.04,525593732,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-10-29,USD,Marketplace,798.46,44.43,0.00,-111.06,0.00,-19.76,-60.05,-11.00,0.00,11.00,0.00,-62.03,0.00,-17.78,0.00,-12.67,0.00,0.00,639.35,639.35,740.39,0.00,11.00,60.05,525311251,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-10-28,USD,Marketplace,652.70,36.52,2.89,-86.06,0.00,-52.18,-44.30,0.00,0.00,0.00,0.00,-48.26,0.00,-48.22,0.00,0.00,0.00,0.00,509.57,509.57,608.40,0.00,0.00,44.30,525226539,PAID
223895,Aroma Pizza & Pasta,486867,Aroma Pizza & Pasta,NULL,2025-10-27,USD,Marketplace,1199.84,66.47,0.00,-164.76,0.00,-103.18,-95.44,-16.99,0.00,16.99,0.00,-106.33,0.00,-92.29,0.00,-29.45,0.00,0.00,873.48,873.48,1107.37,0.00,16.99,95.44,525068743,PAID
