"Delivery Date","Order #",Location,"Food Total",Period,"Check Date"
10/09/2023,1761364,"Ameci - Lake Forest",253.22,2023-22,10/27/2023
10/05/2023,1752952,"Aroma Pizza & Pasta",101.92,2023-22,10/27/2023
10/03/2023,1751990,"Aroma Pizza & Pasta",320.47,2023-22,10/27/2023
10/03/2023,1752121,"Ameci - Lake Forest",91.43,2023-22,10/27/2023
09/28/2023,1747829,"Aroma Pizza & Pasta",123.88,2023-21,10/13/2023
09/27/2023,1746807,"Ameci - Lake Forest",207.27,2023-21,10/13/2023
09/26/2023,1746796,"Aroma Pizza & Pasta",308.96,2023-21,10/13/2023
09/25/2023,1746865,"Ameci - Lake Forest",232.51,2023-21,10/13/2023
09/20/2023,1742642,"Ameci - Lake Forest",191.22,2023-21,10/13/2023
09/19/2023,1741450,"Aroma Pizza & Pasta",267.41,2023-21,10/13/2023
09/18/2023,1741399,"Aroma Pizza & Pasta",390.16,2023-21,10/13/2023
09/13/2023,1743045,"Ameci - Lake Forest",269.99,2023-20,09/29/2023
09/13/2023,1737000,"Aroma Pizza & Pasta",215.30,2023-20,09/29/2023
09/13/2023,1736048,"Ameci - Lake Forest",235.71,2023-20,09/29/2023
09/12/2023,1737060,"Ameci - Lake Forest",276.00,2023-20,09/29/2023
09/06/2023,1732863,"Aroma Pizza & Pasta",108.85,2023-20,09/29/2023
09/05/2023,1731956,"Aroma Pizza & Pasta",311.46,2023-20,09/29/2023
09/01/2023,1726775,"Aroma Pizza & Pasta",427.64,2023-19,09/15/2023
08/31/2023,1727821,"Aroma Pizza & Pasta",164.12,2023-19,09/15/2023
08/30/2023,1726758,"Ameci - Lake Forest",362.44,2023-19,09/15/2023
08/29/2023,1726747,"Aroma Pizza & Pasta",278.78,2023-19,09/15/2023
08/28/2023,1726816,"Ameci - Lake Forest",252.68,2023-19,09/15/2023
08/24/2023,1722680,"Aroma Pizza & Pasta",95.91,2023-19,09/15/2023
08/22/2023,1721776,"Aroma Pizza & Pasta",353.42,2023-19,09/15/2023
08/21/2023,1721725,"Aroma Pizza & Pasta",410.51,2023-19,09/15/2023
08/21/2023,1725146,"Ameci - Lake Forest",159.99,2023-19,09/15/2023
08/17/2023,1717663,"Aroma Pizza & Pasta",184.83,2023-18,09/01/2023
08/16/2023,1723705,"Ameci - Lake Forest",448.05,2023-18,09/01/2023
08/16/2023,1717749,"Aroma Pizza & Pasta",170.86,2023-18,09/01/2023
08/16/2023,1716788,"Ameci - Lake Forest",330.50,2023-18,09/01/2023
08/15/2023,1717813,"Ameci - Lake Forest",286.63,2023-18,09/01/2023
08/10/2023,1711981,"Ameci - Lake Forest",272.41,2023-18,09/01/2023
08/08/2023,1711994,"Aroma Pizza & Pasta",326.47,2023-18,09/01/2023
08/04/2023,1707273,"Aroma Pizza & Pasta",404.44,2023-17,08/18/2023
08/03/2023,1708286,"Aroma Pizza & Pasta",219.06,2023-17,08/18/2023
08/02/2023,1707256,"Ameci - Lake Forest",310.08,2023-17,08/18/2023
08/02/2023,1708227,"Aroma Pizza & Pasta",247.28,2023-17,08/18/2023
08/01/2023,1707246,"Aroma Pizza & Pasta",138.12,2023-17,08/18/2023
07/31/2023,1707314,"Ameci - Lake Forest",350.70,2023-17,08/18/2023
07/27/2023,1703386,"Aroma Pizza & Pasta",108.86,2023-17,08/18/2023
07/25/2023,1702478,"Aroma Pizza & Pasta",362.93,2023-17,08/18/2023
07/24/2023,1702427,"Aroma Pizza & Pasta",400.39,2023-17,08/18/2023
07/20/2023,1698316,"Aroma Pizza & Pasta",146.62,2023-16,08/04/2023
07/19/2023,1698395,"Aroma Pizza & Pasta",267.50,2023-16,08/04/2023
07/19/2023,1697411,"Ameci - Lake Forest",227.14,2023-16,08/04/2023
07/13/2023,1693027,"Ameci - Lake Forest",197.22,2023-16,08/04/2023
07/12/2023,1699202,"Ameci - Lake Forest",480.91,2023-16,08/04/2023
07/12/2023,1699190,"Aroma Pizza & Pasta",207.85,2023-16,08/04/2023
07/11/2023,1693040,"Aroma Pizza & Pasta",355.22,2023-16,08/04/2023
07/07/2023,1689339,"Aroma Pizza & Pasta",356.80,2023-15,07/21/2023
07/06/2023,1690244,"Aroma Pizza & Pasta",207.08,2023-15,07/21/2023
07/05/2023,1689328,"Ameci - Lake Forest",313.46,2023-15,07/21/2023
06/29/2023,1685385,"Aroma Pizza & Pasta",134.48,2023-15,07/21/2023
06/27/2023,1684384,"Aroma Pizza & Pasta",289.78,2023-15,07/21/2023
06/26/2023,1684333,"Aroma Pizza & Pasta",408.68,2023-15,07/21/2023
06/22/2023,1680710,"Aroma Pizza & Pasta",215.28,2023-14,07/07/2023
06/21/2023,1686179,"Aroma Pizza & Pasta",326.16,2023-14,07/07/2023
06/21/2023,1680765,"Aroma Pizza & Pasta",206.31,2023-14,07/07/2023
06/21/2023,1679720,"Ameci - Lake Forest",147.57,2023-14,07/07/2023
06/20/2023,1679027,"Ameci - Lake Forest",582.93,2023-14,07/07/2023
06/15/2023,1674617,"Ameci - Lake Forest",164.56,2023-14,07/07/2023
06/15/2023,1675723,"Aroma Pizza & Pasta",112.74,2023-14,07/07/2023
06/13/2023,1674630,"Aroma Pizza & Pasta",257.06,2023-14,07/07/2023
06/09/2023,1669491,"Aroma Pizza & Pasta",402.68,2023-13,06/23/2023
06/08/2023,1670633,"Aroma Pizza & Pasta",180.83,2023-13,06/23/2023
06/08/2023,1677513,"Ameci - Lake Forest",260.93,2023-13,06/23/2023
06/07/2023,1669474,"Ameci - Lake Forest",270.41,2023-13,06/23/2023
06/06/2023,1669463,"Aroma Pizza & Pasta",222.48,2023-13,06/23/2023
06/05/2023,1672997,"Ameci - Lake Forest",105.74,2023-13,06/23/2023
06/05/2023,1669536,"Ameci - Lake Forest",290.36,2023-13,06/23/2023
06/02/2023,1672503,"Ameci - Lake Forest",394.94,2023-13,06/23/2023
05/31/2023,1668712,"Aroma Pizza & Pasta",74.69,2023-13,06/23/2023
05/30/2023,1669143,"Ameci - Lake Forest",407.17,2023-13,06/23/2023
05/30/2023,1665328,"Aroma Pizza & Pasta",209.31,2023-13,06/23/2023
05/26/2023,1660121,"Ameci - Lake Forest",97.11,2023-12,06/09/2023
05/24/2023,1661248,"Aroma Pizza & Pasta",219.09,2023-12,06/09/2023
05/22/2023,1664231,"Ameci - Lake Forest",144.90,2023-12,06/09/2023
05/22/2023,1660199,"Aroma Pizza & Pasta",36.96,2023-12,06/09/2023
05/18/2023,1654523,"Ameci - Lake Forest",187.04,2023-12,06/09/2023
05/18/2023,1655714,"Aroma Pizza & Pasta",174.83,2023-12,06/09/2023
05/18/2023,1662719,"Ameci - Lake Forest",195.85,2023-12,06/09/2023
05/16/2023,1654536,"Aroma Pizza & Pasta",342.58,2023-12,06/09/2023
