"ID","Restaurant","Type","Description","Date","Time","Subtotal","Delivery","Service","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax"
"O-419016661826206","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/5/21","7:30 PM","14.99","0.00","0","1.16","0","16.15","-1.87","-1.50","-0.79","0"
"O-927516891012865","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/29/21","4:08 PM","35.96","2.99","0","3.02","6.30","48.27","-4.87","0","-1.77","0"
"O-913516687997403","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/7/21","7:55 PM","15.98","0.00","0","1.24","0","17.22","-2.00","0","-0.83","0"
"O-579716638378547","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/2/21","7:20 PM","79.93","2.99","0","6.42","13.40","102.74","-10.37","0","-3.43","0"
"O-937116914932796","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/30/21","9:28 PM","21.73","2.99","0","1.91","3.51","30.14","-3.09","0","-1.22","0"
"W-496216913732372","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/31/21","4:30 PM","109.74","0.00","0","8.50","11.76","130.00","0","0","-4.27","0"
"O-824116720320840","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/11/21","7:47 PM","29.35","0.00","0","2.27","0","31.62","-3.67","-2.94","-1.26","0"
"O-742616794667667","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/18/21","5:59 PM","11.74","0.00","0","0.91","2.52","15.17","-1.47","0","-0.76","0"
"O-751016817603778","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/21/21","11:15 AM","260.87","7.99","0","20.84","72.43","362.13","-47.05","0","-11.34","0"
"W-824116680374209","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/8/21","4:50 PM","16.98","2.99","0","1.55","4.30","25.82","0","0","-1.09","0"
"O-963916671801300","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/6/21","6:53 PM","49.45","2.99","0","4.06","8.48","64.98","-6.56","0","-2.28","0"
"W-696516755541875","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/15/21","12:18 PM","19.74","2.99","0","1.76","2.00","26.49","0","0","-1.11","0"
"O-504116702123890","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/10/21","1:51 PM","46.92","0.00","0","3.64","0","50.56","-5.87","-4.69","-1.84","0"
"O-504116642179504","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/4/21","12:19 PM","45.88","4.99","0","3.95","10.96","65.78","-6.36","0","-2.31","0"
"O-373116901100273","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/30/21","1:14 PM","66.95","2.99","0","5.42","4.00","79.36","-8.74","0","-2.72","0"
"O-046016704719919","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/10/21","1:00 PM","28.95","2.99","0","2.47","0","34.41","-3.99","0","-1.35","0"
"O-801316908975339","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/30/21","5:02 PM","20.96","0.00","0","1.62","0","22.58","-2.62","0","-0.99","0"
"O-616316900662191","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/29/21","8:55 PM","70.70","4.99","0","5.87","15.24","96.80","-9.46","0","-3.25","0"
"O-043816734762558","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/13/21","4:47 PM","22.98","2.99","0","2.01","8.39","36.37","-3.25","0","-1.41","0"
"O-738716649321983","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/3/21","7:42 PM","29.98","2.99","0","2.55","3.55","39.07","-4.12","0","-1.49","0"
"O-742616704692647","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/10/21","12:43 PM","86.91","2.99","0","6.97","9.69","106.56","-11.24","0","-3.55","0"
"O-112616778201941","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/16/21","7:05 PM","30.98","2.99","0","2.63","7.32","43.92","-4.25","0","-1.64","0"
"O-571216800812483","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/19/21","6:07 PM","51.95","2.99","0","4.26","14.80","74.00","-6.87","0","-2.56","0"
"W-349216913250866","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/31/21","5:00 PM","97.54","2.99","0","7.79","16.25","124.57","0","0","-4.10","0"
"W-294916616105960","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/1/21","1:02 PM","10.99","0.00","0","0.85","1.78","13.62","0","0","-0.72","0"
"O-937116924939221","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/31/21","6:51 PM","19.98","2.99","0","1.78","2.48","27.23","-2.87","0","-1.13","0"
"O-675016883861399","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/27/21","9:29 PM","29.98","0.00","0","2.32","0","32.30","-3.75","0","-1.29","0"
"O-294916646180548","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/3/21","6:24 PM","57.19","4.99","0","4.82","16.75","83.75","-7.77","0","-2.85","0"
"O-824116640311775","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/4/21","6:30 PM","67.74","4.99","0","5.64","10.95","89.32","-9.09","0","-3.02","0"
"O-937116884933857","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/27/21","7:08 PM","22.98","2.99","0","2.01","4.50","32.48","-3.25","0","-1.29","0"
"O-738716759322907","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-738716759322907","Tip increased by diner via self-service - Tip updated by diner via help interaction","10/14/21","9:16 PM","0","0.00","0","0.00","0","0.00","0","0","0","0"
"W-043816664771952","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/5/21","6:33 PM","54.45","2.99","0","4.45","9.28","71.17","0","0","-2.47","0"
"O-422416627597734","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/2/21","5:07 PM","45.25","0.00","0","3.51","0","48.76","-5.66","-4.53","-1.79","0"
"O-541216776390024","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/17/21","5:13 PM","18.99","2.99","0","1.70","4.00","27.68","-2.75","0","-1.14","0"
"O-937116844931737","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/23/21","8:08 PM","17.47","0.00","0","1.35","0","18.82","-2.18","0","-0.87","0"
"O-519616718847052","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/11/21","12:30 PM","21.98","0.00","0","1.70","0","23.68","-2.75","0","-1.02","0"
"W-913516777901221","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/17/21","3:22 PM","25.76","0.00","0","2.00","0","27.76","0","-2.58","-1.15","0"
"O-927516881080937","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-927516881080937","Tip increased by diner via self-service - Tip updated by diner via help interaction","10/27/21","9:35 PM","0","0.00","0","0.00","0","0.00","0","0","0","0"
"O-419016771829656","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/16/21","8:40 PM","15.98","0.00","0","1.24","0","17.22","-2.00","0","-0.83","0"
"O-696516745515577","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/13/21","6:59 PM","37.71","0.00","0","2.92","0","40.63","-4.71","0","-1.54","0"
"O-214216653607430","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/5/21","3:25 PM","10.99","0.00","0","0.85","0","11.84","-1.37","0","-0.66","0"
"O-824116770324495","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/16/21","5:57 PM","18.57","0.00","0","1.44","0","20.01","-2.32","0","-0.91","0"
"O-579716648377359","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/3/21","6:01 PM","22.98","2.99","0","2.01","4.19","32.17","-3.25","0","-1.28","0"
"O-742616724665710","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/11/21","8:45 PM","22.98","0.00","0","1.78","3.71","28.47","-2.87","0","-1.17","0"
"W-963916741855195","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/14/21","4:34 PM","68.41","0.00","0","5.30","11.06","84.77","0","0","-2.89","0"
"O-845416620510250","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-845416620510250","Tip increased by diner via self-service - Tip updated by diner via help interaction","10/1/21","6:22 PM","0","0.00","0","0.00","0","0.00","0","0","0","0"
"O-336816844853924","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/23/21","7:30 PM","37.46","2.99","0","3.13","6.05","49.63","-5.06","0","-1.81","0"
"O-043816724718399","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/12/21","12:20 PM","65.97","2.99","0","5.34","10.00","84.30","-8.62","0","-2.87","0"
"O-043816794778771","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/18/21","9:05 PM","45.93","4.99","0","3.95","8.23","63.10","-6.37","0","-2.22","0"
"O-051716834065465","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/22/21","8:10 PM","15.47","2.99","0","1.43","3.98","23.87","-2.31","0","-1.03","0"
"O-742616694692003","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/9/21","11:56 AM","31.97","0.00","0","2.48","3.00","37.45","-4.00","0","-1.44","0"
"O-824116770328163","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/16/21","8:26 PM","33.54","2.99","0","2.83","7.23","46.59","-4.57","0","-1.72","0"
"O-845416740516199","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-845416740516199","Change of plans","10/13/21","7:02 PM","-37.71","0.00","0","-2.92","0","-40.63","4.71","0","1.54","0"
"O-901816926822633","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/31/21","6:30 PM","22.47","2.99","0","1.97","4.11","31.54","-3.18","0","-1.26","0"
"O-051716914006395","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/31/21","4:28 PM","10.74","0.00","0","0.83","0","11.57","-1.34","0","-0.65","0"
"W-824116760324729","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/15/21","5:53 PM","11.99","0.00","0","0.93","1.94","14.86","0","0","-0.75","0"
"O-090716634191757","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/2/21","8:59 PM","36.98","0.00","0","2.87","0","39.85","-4.62","-3.70","-1.52","0"
"O-910516697552885","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/9/21","11:45 AM","26.97","0.00","0","2.09","0","29.06","-3.37","-2.70","-1.19","0"
"W-927516821086267","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/21/21","5:37 PM","18.99","0.00","0","1.47","3.07","23.53","0","0","-1.02","0"
"O-294916626184327","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/1/21","7:06 PM","73.93","2.99","0","5.96","24.86","107.74","-9.62","0","-3.59","0"
"O-349216853286462","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/24/21","6:36 PM","28.96","2.99","0","2.47","5.00","39.42","-3.99","0","-1.50","0"
"O-751016897618422","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/28/21","6:31 PM","22.98","2.99","0","2.01","5.60","33.58","-3.25","0","-1.32","0"
"O-927516881080937","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/27/21","9:35 PM","36.11","0.00","0","2.80","0","38.91","-4.51","0","-1.49","0"
"O-735116804283037","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/19/21","9:55 PM","16.98","0.00","0","1.32","0","18.30","-2.12","0","-0.86","0"
"O-675016843800744","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/24/21","5:02 PM","36.56","2.99","0","3.06","5.91","48.52","-4.94","0","-1.78","0"
"W-043816624771543","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/1/21","6:57 PM","31.98","2.99","0","2.71","4.00","41.68","0","0","-1.57","0"
"O-294916766185353","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/15/21","6:38 PM","33.98","2.99","0","2.86","5.97","45.80","-4.62","0","-1.70","0"
"W-900516888167140","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/27/21","7:26 PM","16.98","2.99","0","1.55","3.23","24.75","0","0","-1.05","0"
"W-824616876183466","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/28/21","12:00 PM","108.71","2.99","0","8.66","7.50","127.86","0","0","-4.20","0"
"O-675016893859582","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/29/21","12:10 PM","42.13","2.99","0","3.50","7.29","55.91","-5.64","0","-2.01","0"
"O-696516735543141","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/13/21","12:00 PM","24.97","2.99","0","2.17","4.51","34.64","-3.50","0","-1.36","0"
"O-884416811633954","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/20/21","6:45 PM","13.97","0.00","0","1.08","0","15.05","-1.75","0","-0.76","0"
"O-398716777969619","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/16/21","7:59 PM","21.27","2.99","0","1.88","4.58","30.72","-3.03","0","-1.24","0"
"O-398716657938706","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/5/21","4:48 PM","40.45","4.99","0","3.52","6.54","55.50","-5.68","0","-1.99","0"
"O-503316749358046","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/13/21","8:13 PM","50.45","0.00","0","3.91","0","54.36","-6.31","-5.05","-1.96","0"
"O-845416660589769","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/6/21","12:10 PM","27.37","0.00","0","2.12","0","29.49","-3.42","-2.74","-1.20","0"
"O-913516777903769","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/17/21","3:42 PM","35.96","2.99","0","3.02","6.30","48.27","-4.87","0","-1.77","0"
"W-503316689329319","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/8/21","4:14 PM","11.99","0.00","0","0.93","1.94","14.86","0","0","-0.75","0"
"O-845416620510250","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/1/21","6:22 PM","42.96","0.00","0","3.33","0","46.29","-5.37","-4.30","-1.71","0"
"O-824616906199452","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/30/21","5:22 PM","41.96","2.99","0","3.48","7.26","55.69","-5.62","0","-2.00","0"
"O-250416791505730","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/18/21","6:47 PM","65.93","2.99","0","5.34","14.85","89.11","-8.62","0","-3.02","0"
"O-496216843736401","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/24/21","1:39 PM","35.69","0.00","0","2.77","0","38.46","-4.46","0","-1.47","0"
"W-824116620326736","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/1/21","6:09 PM","52.47","2.99","0","4.30","6.00","65.76","0","0","-2.31","0"
"W-937116864930584","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/25/21","8:17 PM","21.31","2.99","0","1.88","3.93","30.11","0","0","-1.22","0"
"T-AwEAAAAAAATV6Rhax6AtMhHsrkHXjxve5_M","Ameci Pizza & Pasta - Trabuco Rd","Account Adjustment","845416740516199 CS","10/14/21","2:02 PM","0","0.00","0","0.00","0","37.71","0","0","0","0"
"O-250416621506552","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/1/21","7:01 PM","32.85","2.99","0","2.78","5.31","43.93","-4.48","0","-1.64","0"
"W-571216900813633","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/29/21","7:39 PM","47.65","0.00","0","3.69","0","51.34","0","0","-1.87","0"
"W-628116864895543","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/25/21","6:56 PM","50.95","2.99","0","4.18","3.00","61.12","0","0","-2.16","0"
"O-900516858163406","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/24/21","8:14 PM","31.37","0.00","0","2.43","0","33.80","-3.92","0","-1.33","0"
"O-742616624669216","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/1/21","8:16 PM","33.96","2.99","0","2.86","5.97","45.78","-4.62","0","-1.70","0"
"O-373116921180661","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/31/21","6:47 PM","32.95","2.99","0","2.78","5.80","44.52","-4.49","0","-1.66","0"
"O-738716759322907","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/14/21","9:15 PM","22.98","0.00","0","1.78","0","24.76","-2.87","-2.30","-1.06","0"
"W-496216843758166","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/24/21","5:45 PM","31.98","2.99","0","2.71","0","37.68","0","0","-1.45","0"
"O-675016853866360","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/24/21","7:21 PM","22.72","0.00","0","1.76","3.67","28.15","-2.84","0","-1.16","0"
"W-628116834897862","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/22/21","6:51 PM","32.31","2.99","0","2.73","9.51","47.54","0","0","-1.75","0"
"O-824616846198227","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/24/21","4:20 PM","20.98","2.99","0","1.86","5.17","31.00","-3.00","0","-1.25","0"
"O-090716634135445","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/3/21","1:24 PM","30.56","0.00","0","2.37","0","32.93","-3.82","-3.06","-1.30","0"
"W-751016897611006","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/28/21","6:30 PM","33.97","0.00","0","2.63","0","36.60","0","0","-1.42","0"
"W-337016634959874","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/2/21","7:17 PM","54.55","2.99","0","4.46","4.00","66.00","0","0","-2.31","0"
"O-696516645598324","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/4/21","5:00 PM","90.42","0.00","0","7.01","14.61","112.04","-11.30","0","-3.72","0"
"W-937116834938064","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/22/21","5:29 PM","25.98","0.00","0","2.01","2.00","29.99","0","0","-1.21","0"
"T-AwEAAAAAAATV6RFXlVAtMhHsrkHXjxve5_M","Ameci Pizza & Pasta - Trabuco Rd","Account Adjustment","696516745515577 CS","10/14/21","2:02 PM","0","0.00","0","0.00","0","37.71","0","0","0","0"
"W-398716767960534","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/15/21","7:28 PM","57.18","0.00","0","4.43","3.08","64.69","0","0","-2.27","0"
"O-628116834893001","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/22/21","7:14 PM","18.99","2.99","0","1.70","2.05","25.73","-2.75","0","-1.08","0"
"O-735116804283037","Ameci Pizza & Pasta - Trabuco Rd","Adjustment of O-735116804283037","Tip increased by diner via self-service - Tip updated by diner via help interaction","10/19/21","9:55 PM","0","0.00","0","0.00","0","0.00","0","0","0","0"
"O-844916884794981","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/27/21","6:56 PM","23.98","0.00","0","1.86","0","25.84","-3.00","0","-1.09","0"
"O-504116692187085","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/8/21","7:27 PM","28.77","0.00","0","2.23","0","31.00","-3.60","0","-1.25","0"
"W-422416667584574","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/5/21","6:30 PM","61.17","0.00","0","4.74","0","65.91","0","0","-2.31","0"
"O-250416651576250","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/5/21","5:00 PM","28.94","0.00","0","2.24","0","31.18","-3.62","-2.89","-1.25","0"
"O-503316649300140","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/4/21","5:45 PM","44.71","0.00","0","3.47","0","48.18","-5.59","-4.47","-1.77","0"
"O-395616832935068","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/22/21","7:10 PM","46.97","0.00","0","3.64","0","50.61","-5.87","0","-1.84","0"
"W-046016644711665","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/5/21","12:00 PM","123.54","2.99","0","9.80","10.00","146.33","0","0","-4.76","0"
"O-398716737968214","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/12/21","9:38 PM","28.77","0.00","0","2.23","0","31.00","-3.60","-2.88","-1.25","0"
"O-913516707905557","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/10/21","4:06 PM","36.56","2.99","0","3.06","5.00","47.61","-4.94","0","-1.75","0"
"O-419016781823285","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/17/21","8:42 PM","37.93","4.99","0","3.33","9.25","55.50","-5.37","0","-1.99","0"
"W-845416700548803","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/10/21","5:33 PM","36.95","2.99","0","3.09","8.61","51.64","0","0","-1.88","0"
"O-801316868900120","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/26/21","12:10 PM","12.97","0.00","0","1.01","0","13.98","-1.62","0","-0.73","0"
"O-477516866067198","Ameci Pizza & Pasta - Trabuco Rd","Prepaid Order",,"10/25/21","6:47 PM","61.12","2.99","0","4.97","20.72","89.80","-8.01","0","-3.04","0"
