"Feb 13, 2021
Saturday
4:24pm",41457169,Credit,Delivery,$32.57,$2.99,$0.00,$2.84,$6.51,$44.91,-$2.25,-$1.80
"Feb 13, 2021
Saturday
6:30pm",41469189,Credit,Delivery,$22.98,$4.99,$0.00,$2.24,$3.45,$33.73,-$2.25,-$1.35
"Feb 13, 2021
Saturday
7:11pm",41470845,Credit,Delivery,$41.23,$4.99,$0.00,$3.70,$6.18,$56.10,-$2.25,-$2.24
"Feb 14, 2021
Sunday
5:47pm",41525605,Credit,Pickup,$16.58,$0.00,$0.00,$1.33,$0.00,$17.98,-$2.25,-$0.72
"Feb 15, 2021
Monday
6:07pm",41562076,Credit,Pickup,$25.48,$0.00,$0.00,$2.04,$2.55,$30.07,-$2.25,-$1.20
"Feb 16, 2021
Tuesday
1:57pm",41577300,Credit,Delivery,$35.97,$4.99,$0.00,$3.28,$5.40,$49.71,-$2.25,-$1.99
"Feb 17, 2021
Wednesday
10:18am",41605198,Credit,Pickup,$21.99,$0.00,$0.00,$1.76,$0.00,$23.83,-$2.25,-$0.95
"Feb 17, 2021
Wednesday
4:19pm",41632635,Credit,Delivery,$19.98,$4.99,$1.49,$2.12,$4.00,$32.65,-$2.25,-$1.30
"Feb 17, 2021
Wednesday
6:39pm",41640167,Credit,Pickup,$26.54,$0.00,$0.00,$2.12,$5.31,$33.97,-$2.25,-$1.36
"Feb 18, 2021
Thursday
5:40pm",41679528,Credit,Delivery,$49.72,$2.99,$0.00,$4.22,$4.97,$61.90,-$2.25,-$2.48
"Feb 18, 2021
Thursday
5:43pm",41679677,Credit,Pickup,$53.96,$0.00,$0.00,$4.32,$8.09,$66.44,-$2.25,-$2.66
"Feb 18, 2021
Thursday
6:25pm",41681380,Credit,Delivery,$32.34,$2.99,$0.00,$2.83,$6.47,$44.63,-$2.25,-$1.79

"Feb 19, 2021
Friday
11:39am",41695871,Credit,Delivery,$55.44,$2.99,$0.00,$4.67,$8.32,$71.50,-$2.25,-$2.66
"Feb 19, 2021
Friday
4:15pm",41752991,Credit,Delivery,$45.85,$2.99,$0.00,$3.91,$7.00,$59.82,-$2.25,-$2.39
"Feb 19, 2021
Friday
4:56pm",41760332,Credit,Delivery,$26.98,$6.99,$0.00,$2.72,$4.05,$40.74,-$2.25,-$1.63
"Feb 19, 2021
Friday
5:25pm",41764228,Credit,Delivery,$51.04,$2.99,$0.00,$4.32,$7.66,$66.09,-$2.25,-$2.64
"Feb 19, 2021
Friday
5:42pm",41765928,Credit,Delivery,$33.98,$2.99,$0.00,$2.96,$5.10,$45.10,-$2.25,-$1.80
"Feb 19, 2021
Friday
6:02pm",41767800,Credit,Delivery,$40.99,$1.99,-$0.01,$3.44,$6.15,$52.56,-$2.25,-$2.10
"Feb 19, 2021
Friday
6:13pm",41768684,Credit,Pickup,$26.99,$0.00,$0.00,$2.16,$0.00,$29.15,-$2.25,-$1.17
"Feb 19, 2021
Friday
6:18pm",41768990,Credit,Pickup,$39.41,$0.00,$0.00,$3.15,$0.00,$42.56,-$2.25,-$1.70
"Feb 19, 2021
Friday
6:41pm",41770304,Credit,Delivery,$27.75,$4.99,$0.00,$2.62,$5.55,$40.99,-$2.25,-$1.64
"Feb 19, 2021
Friday
6:44pm",41770425,Credit,Pickup,$44.99,$0.00,-$0.01,$3.60,$4.50,$53.08,-$2.25,-$2.12
"Feb 19, 2021
Friday
7:01pm",41771190,Credit,Pickup,$44.76,$0.00,$0.00,$3.58,$0.00,$48.42,-$2.25,-$1.74
"Feb 21, 2021
Sunday
12:25pm",41854248,Credit,Pickup,$42.75,$0.00,$0.00,$3.42,$6.41,$52.66,-$2.25,-$2.11
"Feb 21, 2021
Sunday
5:27pm",41886281,Credit,Delivery,$60.26,$2.99,$0.00,$5.06,$6.03,$74.42,-$2.25,-$2.98
"Feb 21, 2021
Sunday
5:41pm",41887016,Credit,Delivery,$30.00,$1.99,-$0.01,$2.56,$0.00,$34.54,-$2.25,-$1.18
"Feb 21, 2021
Sunday
6:33pm",41888865,Credit,Delivery,$29.73,$2.99,$0.00,$2.62,$5.95,$41.29,-$2.25,-$1.65
"Feb 22, 2021
Monday
5:10pm",11930125,Phone,-,-,-,-,-,-,-,-$2.25,-
"Feb 23, 2021
Tuesday
4:58pm",41953580,Credit,Delivery,$21.99,$1.99,$0.00,$1.92,$3.30,$29.20,-$2.25,-$0.89

"Feb 23, 2021
Tuesday
5:05pm",41953966,Credit,Delivery,$64.68,$2.99,$0.00,$5.41,$16.17,$89.33,-$2.25,-$3.57
"Feb 24, 2021
Wednesday
2:48pm",41980276,Credit,Pickup,$10.99,$0.00,$0.00,$0.88,$0.00,$11.95,-$2.25,-$0.48
"Feb 25, 2021
Thursday
4:04pm",42037702,Credit,Delivery,$27.99,$2.99,-$0.01,$2.48,$4.20,$37.72,-$2.25,-$1.51
"Feb 25, 2021
Thursday
6:37pm",42049135,Credit,Delivery,$18.95,$1.99,$0.00,$1.68,$5.00,$27.69,-$2.25,-$1.11
"Feb 26, 2021
Friday
1:11pm",42069977,Credit,Delivery,$21.48,$1.99,$0.00,$1.88,$3.22,$28.57,-$2.25,-$1.14
"Feb 26, 2021
Friday
5:19pm",42134835,Credit,Pickup,$28.46,$0.00,$0.00,$2.28,$4.27,$35.08,-$2.25,-$1.00
"Feb 26, 2021
Friday
6:26pm",42141645,Credit,Delivery,$25.95,$2.99,$0.00,$2.32,$5.19,$36.45,-$2.25,-$1.46
"Feb 26, 2021
Friday
6:39pm",42142529,Credit,Delivery,$37.96,$2.99,$0.00,$3.28,$3.80,$48.10,-$2.25,-$1.72
"Feb 26, 2021
Friday
7:08pm",42144084,Credit,Delivery,$37.98,$2.99,$0.00,$3.28,$5.70,$49.95,-$2.25,-$2.00
"Feb 27, 2021
Saturday
1:30pm",42165920,Credit,Delivery,$129.36,$6.99,$0.00,$10.91,$10.00,$157.33,-$2.25,-$6.29
"Feb 27, 2021
Saturday
6:46pm",42217436,Credit,Delivery,$45.46,$1.99,$0.00,$3.80,$6.82,$58.07,-$2.25,-$2.32
"Feb 28, 2021
Sunday
4:41pm",42267271,Credit,Delivery,$53.73,$2.99,-$0.01,$4.54,$8.06,$69.38,-$2.25,-$2.78
"Feb 28, 2021
Sunday
4:48pm",42267837,Credit,Pickup,$33.56,$0.00,$0.00,$2.68,$0.00,$36.32,-$2.25,-$1.45
"Feb 28, 2021
Sunday
6:19pm",42273185,Credit,Delivery,$26.45,$1.99,$0.00,$2.28,$3.97,$34.76,-$2.25,-$1.39
"Feb 28, 2021
Sunday
6:52pm",42274097,Credit,Delivery,$20.36,$4.99,$0.00,$2.03,$3.05,$30.43,-$2.25,-$0.82
"Feb 28, 2021",,,,,,,,,,,
Sunday,11969492,Phone,-,-,-,-,-,-,-,-$2.25,-
6:57pm,,,,,,,,,,,
Adjustments,,,,,,,,,,,

Date & Time,Order ID,Adjustment Value,Description
"Feb 19, 2021
Friday
11:39am",41695871,$5.00,Credit Slice Promo Code
"Feb 19, 2021
Friday
7:01pm",41771190,$5.00,Credit Slice Promo Code
"Feb 21, 2021
Sunday
5:41pm",41887016,$5.00,Credit Slice Promo Code
"Feb 23, 2021
Tuesday
4:58pm",41953580,$7.00,Credit Slice Promo Code
"Feb 26, 2021
Friday
5:19pm",42134835,$10.00,Credit Slice Promo Code
"Feb 26, 2021
Friday
6:39pm",42142529,$5.00,Credit Slice Promo Code
"Feb 28, 2021
Sunday
6:52pm",42274097,$10.00,Credit Slice Promo Code

"902 Broadway New York, NY 10010",Ameci Pizza & Pasta
"Activity Period: Mon Feb 1, 2021 to Sun","25431 Trabuco Rd, Lake Forest CA, 92630"
"Feb 28, 2021",Account ID: 3057
FAQ,Questions? Feedback?
How is the Slice Partnership Fee Charged?,We’re here to help! Call us at 855-237-4992
The Slice Partnership Fee is a per order charge and is,or email us at Partner@SliceLife.com
charged on the pre-tax amount of the total product sold.,
When is payment authorized for each order?,
Payment is authorized at the time the order is accepted,
"and set with a prep time. If the order cannot be confirmed,",
we will not authorize payment for it.,
Have you checked your Pizzeria Score?,Want an extra $250?
,Connect w ith your Account Manager today.
"Find your Pizzeria Score, plus tips on how to improve it, in",
"your Owner's Portal. Remember, the higher your score, the",Our referral program is back. Refer pizzerias to us and earn
more orders you can expect.,$250 for every shop that signs up. Email
,ShopReferrals@SliceLife.com. Together we can keep local
,pizzerias thriving.
