Store Name,Store ID,Order ID,Dining Mode,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Promo Spend on Delivery,Tax on Promo Spend on Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Dispatch Fee,Tax on Dispatch Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date
Ameci Pizza & Pasta - Lake Forest,,#184C3,Delivery - Partner Using Uber App,Completed,2020-10-07,18:49,23.97,1.86,25.83,0,0,0,0,0,0,0,0,25.83,-7.19,0,0,0,0,0,,0,0,0,18.64,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#58121,Delivery - Partner Using Uber App,Completed,2020-10-07,18:52,23.73,1.84,25.57,0,0,0,0,0,0,0,0,25.57,-7.12,0,0,0,0,0,,0,0,0,18.45,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#1A7AE,Pickup,Completed,2020-10-07,19:25,28.69,2.22,30.91,0,0,0,0,0,0,0,0,30.91,0,0,0,0,0,0,,0,0,0,30.91,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#8B80E,Delivery - Partner Using Uber App,Completed,2020-10-07,20:03,20.98,1.63,22.61,0,0,0,0,0,0,0,0,22.61,-6.29,0,0,0,0,0,,0,0,0,16.32,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#6EA12,Delivery - Partner Using Uber App,Completed,2020-10-07,20:29,47.45,3.68,51.13,0,0,0,0,0,0,0,0,51.13,-14.24,0,0,0,0,0,,0,0,0,36.89,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#6C910,Delivery - Partner Using Uber App,Completed,2020-10-08,11:37,53.42,4.14,57.56,0,0,0,0,0,0,0,0,57.56,-16.03,0,0,0,0,0,,0,0,0,41.53,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#6C910,,Refund,2020-10-08,11:37,-9.74,-0.76,-10.5,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-10.5,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#7E50E,Delivery - Partner Using Uber App,Completed,2020-10-08,12:05,11.48,0.89,12.37,0,0,0,0,0,0,0,0,12.37,-3.44,0,0,0,0,0,,0,0,0,8.93,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#AFC6F,Delivery - Partner Using Uber App,Completed,2020-10-08,16:15,17.97,1.39,19.36,0,0,0,0,0,0,0,0,19.36,-5.39,0,0,0,0,0,,0,0,0,13.97,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#2367A,Delivery - Partner Using Uber App,Completed,2020-10-08,18:54,22.97,1.78,24.75,0,0,0,0,0,0,0,0,24.75,-6.89,0,0,0,0,0,,0,0,0,17.86,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#ADAC7,Delivery - Partner Using Uber App,Completed,2020-10-08,19:00,37.48,2.9,40.38,0,0,0,0,0,0,0,0,40.38,-11.24,0,0,0,0,0,,0,0,0,29.14,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#FDB38,Delivery - Partner Using Uber App,Completed,2020-10-08,19:11,29.47,2.28,31.75,0,0,0,0,0,0,0,0,31.75,-8.84,0,0,0,0,0,,0,0,0,22.91,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#3601D,Delivery - Partner Using Uber App,Completed,2020-10-09,11:24,153.31,11.88,165.19,0,0,0,0,0,0,0,0,165.19,-45.99,0,0,0,0,0,,0,0,0,119.2,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#3601D,,Refund,2020-10-09,11:24,-13.99,-1.08,-15.07,0,0,0,0,0,0,0,,0,0,,,0,0,0,,0,0,0,-15.07,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#03457,Delivery - Partner Using Uber App,Completed,2020-10-09,12:28,14.74,1.14,15.88,0,0,0,0,0,0,0,0,15.88,-4.42,0,0,0,0,0,,0,0,0,11.46,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#AD409,Delivery - Partner Using Uber App,Completed,2020-10-09,15:17,95.41,7.39,102.8,0,0,0,0,0,0,0,0,102.8,-28.62,0,0,0,0,0,,0,0,0,74.18,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#29603,Delivery - Partner Using Uber App,Completed,2020-10-09,17:28,26.98,2.09,29.07,0,0,0,0,0,0,0,0,29.07,-8.09,0,0,0,0,0,,0,0,0,20.98,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#46061,Pickup,Completed,2020-10-09,18:50,30.98,2.4,33.38,0,0,0,0,0,0,0,0,33.38,0,0,0,0,0,0,,0,0,0,33.38,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#6149C,Delivery - Partner Using Uber App,Completed,2020-10-09,19:40,26.74,2.07,28.81,0,0,0,0,0,0,0,0,28.81,-8.02,0,0,0,0,0,,0,0,0,20.79,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#31B51,Delivery - Partner Using Uber App,Completed,2020-10-09,20:10,24.46,1.9,26.36,0,0,0,0,0,0,0,0,26.36,-7.34,0,0,0,0,0,,0,0,0,19.02,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#7EFCF,Delivery - Partner Using Uber App,Completed,2020-10-09,21:52,29.97,2.32,32.29,0,0,0,0,0,0,0,0,32.29,-8.99,0,0,0,0,0,,0,0,0,23.3,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#EF2C1,Delivery - Partner Using Uber App,Completed,2020-10-10,13:00,36.23,2.81,39.04,0,0,0,0,0,0,0,0,39.04,-10.87,0,0,0,0,0,,0,0,0,28.17,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#75146,Delivery - Partner Using Uber App,Completed,2020-10-10,13:08,23.97,1.86,25.83,0,0,0,0,0,0,0,0,25.83,-7.19,0,0,0,0,0,,0,0,0,18.64,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#08BE1,Delivery - Partner Using Uber App,Completed,2020-10-10,13:39,25.98,2.01,27.99,0,0,0,0,0,0,0,0,27.99,-7.79,0,0,0,0,0,,0,0,0,20.2,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#4F41B,Delivery - Partner Using Uber App,Completed,2020-10-10,14:05,23.97,1.86,25.83,0,0,0,0,0,0,0,0,25.83,-7.19,0,0,0,0,0,,0,0,0,18.64,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#00870,Delivery - Partner Using Uber App,Completed,2020-10-10,17:48,25.97,2.01,27.98,0,0,0,0,0,0,0,0,27.98,-7.79,0,0,0,0,0,,0,0,0,20.19,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#C9578,Delivery - Partner Using Uber App,Completed,2020-10-10,17:56,24.73,1.92,26.65,0,0,0,0,0,0,0,0,26.65,-7.42,0,0,0,0,0,,0,0,0,19.23,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#D9AC7,Delivery - Partner Using Uber App,Completed,2020-10-10,18:41,47.71,3.7,51.41,0,0,0,0,0,0,0,0,51.41,-14.31,0,0,0,0,0,,0,0,0,37.1,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#1F309,Delivery - Partner Using Uber App,Completed,2020-10-10,21:13,70.95,5.5,76.45,0,0,0,0,0,0,0,0,76.45,-21.29,0,0,0,0,0,,0,0,0,55.16,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#F3C29,Delivery - Partner Using Uber App,Completed,2020-10-11,13:13,53.69,4.16,57.85,0,0,0,0,0,0,0,0,57.85,-16.11,0,0,0,0,0,,0,0,0,41.74,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#77609,Delivery - Partner Using Uber App,Completed,2020-10-11,17:37,42.98,3.33,46.31,0,0,0,0,0,0,0,0,46.31,-12.89,0,0,0,0,0,,0,0,0,33.42,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#44375,Delivery - Partner Using Uber App,Completed,2020-10-11,18:12,57.93,4.49,62.42,0,0,0,0,0,0,0,0,62.42,-17.38,0,0,0,0,0,,0,0,0,45.04,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#83E99,Pickup,Completed,2020-10-11,18:27,29.48,2.28,31.76,0,0,0,0,0,0,0,0,31.76,0,0,0,0,0,0,,0,0,0,31.76,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#90C37,Delivery - Partner Using Uber App,Completed,2020-10-11,19:01,27.45,2.13,29.58,0,0,0,0,0,0,0,0,29.58,-8.24,0,0,0,0,0,,0,0,0,21.34,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#4641E,Delivery - Partner Using Uber App,Completed,2020-10-11,19:05,46.52,3.61,50.13,0,0,0,0,0,0,0,0,50.13,-13.96,0,0,0,0,0,,0,0,0,36.17,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#BE15F,Delivery - Partner Using Uber App,Completed,2020-10-11,20:53,15.96,1.24,17.2,0,0,0,0,0,0,0,0,17.2,-4.79,0,0,0,0,0,,0,0,0,12.41,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#EA79B,Delivery - Partner Using Uber App,Completed,2020-10-11,21:02,89.99,6.97,96.96,0,0,0,0,0,0,0,0,96.96,-27,0,0,0,0,0,,0,0,0,69.96,2020-10-12
Ameci Pizza & Pasta - Lake Forest,,#E2EAD,Delivery - Partner Using Uber App,Completed,2020-10-12,13:27,28.97,2.25,31.22,0,0,0,0,0,0,0,0,31.22,-8.69,0,0,0,0,0,,0,0,0,22.53,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#1A10D,Delivery - Partner Using Uber App,Completed,2020-10-12,18:23,21.27,1.65,22.92,0,0,0,0,0,0,0,0,22.92,-6.38,0,0,0,0,0,,0,0,0,16.54,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#6B0B1,Delivery - Partner Using Uber App,Completed,2020-10-13,11:27,20.99,1.63,22.62,0,0,0,0,0,0,0,0,22.62,-6.3,0,0,0,0,0,,0,0,0,16.32,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#A0E85,Delivery - Partner Using Uber App,Completed,2020-10-13,15:08,38.93,3.02,41.95,0,0,0,0,0,0,0,0,41.95,-11.68,0,0,0,0,0,,0,0,0,30.27,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#4B0EE,Delivery - Partner Using Uber App,Completed,2020-10-13,18:14,23.73,1.84,25.57,0,0,0,0,0,0,0,0,25.57,-7.12,0,0,0,0,0,,0,0,0,18.45,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#BC808,Pickup,Completed,2020-10-13,18:22,23.49,1.82,25.31,0,0,0,0,0,0,0,0,25.31,0,0,0,0,0,0,,0,0,0,25.31,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#02EF6,Delivery - Partner Using Uber App,Completed,2020-10-14,18:36,17.99,1.39,19.38,0,0,0,0,0,0,0,0,19.38,-5.4,0,0,0,0,0,,0,0,0,13.98,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#7C6BB,Delivery - Partner Using Uber App,Completed,2020-10-14,18:58,28.16,2.18,30.34,0,0,0,0,0,0,0,0,30.34,-8.45,0,0,0,0,0,,0,0,0,21.89,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#41F5C,Delivery - Partner Using Uber App,Completed,2020-10-14,19:08,31.95,2.48,34.43,0,0,0,0,0,0,0,0,34.43,-9.59,0,0,0,0,0,,0,0,0,24.84,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#FCB8D,Delivery - Partner Using Uber App,Completed,2020-10-14,19:47,100.59,7.8,108.39,0,0,0,0,0,0,0,0,108.39,-30.18,0,0,0,0,0,,0,0,0,78.21,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#FCE91,Delivery - Partner Using Uber App,Completed,2020-10-14,20:13,38.19,2.96,41.15,0,0,0,0,0,0,0,0,41.15,-11.46,0,0,0,0,0,,0,0,0,29.69,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#35A24,Delivery - Partner Using Uber App,Completed,2020-10-14,21:04,28.49,2.21,30.7,0,0,0,0,0,0,0,0,30.7,-8.55,0,0,0,0,0,,0,0,0,22.15,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#4BC58,Delivery - Partner Using Uber App,Completed,2020-10-14,21:21,30.73,2.38,33.11,0,0,0,0,0,0,0,0,33.11,-9.22,0,0,0,0,0,,0,0,0,23.89,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#ABA78,Delivery - Partner Using Uber App,Completed,2020-10-15,15:56,14.73,1.14,15.87,0,0,0,0,0,0,0,0,15.87,-4.42,0,0,0,0,0,,0,0,0,11.45,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#66D4B,Delivery - Partner Using Uber App,Completed,2020-10-15,18:02,28.21,2.19,30.4,0,0,0,0,0,0,0,0,30.4,-8.46,0,0,0,0,0,,0,0,0,21.94,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#EA389,Delivery - Partner Using Uber App,Completed,2020-10-15,19:00,21.32,1.65,22.97,0,0,0,0,0,0,0,0,22.97,-6.4,0,0,0,0,0,,0,0,0,16.57,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#7AE42,Delivery - Partner Using Uber App,Completed,2020-10-15,20:20,20.99,1.63,22.62,0,0,0,0,0,0,0,0,22.62,-6.3,0,0,0,0,0,,0,0,0,16.32,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#B2F5B,Delivery - Partner Using Uber App,Completed,2020-10-15,21:20,18.97,1.47,20.44,0,0,0,0,0,0,0,0,20.44,-5.69,0,0,0,0,0,,0,0,0,14.75,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#89BE7,Delivery - Partner Using Uber App,Completed,2020-10-16,14:40,27.97,2.17,30.14,0,0,0,0,0,0,0,0,30.14,-8.39,0,0,0,0,0,,0,0,0,21.75,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#A63BA,Delivery - Partner Using Uber App,Completed,2020-10-16,16:11,31.95,2.48,34.43,0,0,0,0,0,0,0,0,34.43,-9.59,0,0,0,0,0,,0,0,0,24.84,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#B641D,Delivery - Partner Using Uber App,Completed,2020-10-16,17:35,15.74,1.22,16.96,0,0,0,0,0,0,0,0,16.96,-4.72,0,0,0,0,0,,0,0,0,12.24,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#64A72,Delivery - Partner Using Uber App,Completed,2020-10-16,18:15,25.69,1.99,27.68,0,0,0,0,0,0,0,0,27.68,-7.71,0,0,0,0,0,,0,0,0,19.97,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#3D71C,Delivery - Partner Using Uber App,Completed,2020-10-16,20:11,34.94,2.71,37.65,0,0,0,0,0,0,0,0,37.65,-10.48,0,0,0,0,0,,0,0,0,27.17,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#E7BB4,Delivery - Partner Using Uber App,Completed,2020-10-16,20:41,28.97,2.25,31.22,0,0,0,0,0,0,0,0,31.22,-8.69,0,0,0,0,0,,0,0,0,22.53,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#67C72,Delivery - Partner Using Uber App,Completed,2020-10-16,21:28,20.99,1.63,22.62,0,0,0,0,0,0,0,0,22.62,-6.3,0,0,0,0,0,,0,0,0,16.32,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#03210,Delivery - Partner Using Uber App,Completed,2020-10-17,12:17,49.93,3.87,53.8,0,0,0,0,0,0,0,0,53.8,-14.98,0,0,0,0,0,,0,0,0,38.82,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#D7DCD,Delivery - Partner Using Uber App,Completed,2020-10-17,18:48,59.97,4.65,64.62,0,0,0,0,0,0,0,0,64.62,-17.99,0,0,0,0,0,,0,0,0,46.63,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#982B2,Delivery - Partner Using Uber App,Completed,2020-10-17,19:07,37.71,2.92,40.63,0,0,0,0,0,0,0,0,40.63,-11.31,0,0,0,0,0,,0,0,0,29.32,2020-10-19
Ameci Pizza & Pasta - Lake Forest,,#AF5B0,Delivery - Partner Using Uber App,Completed,2020-10-17,21:10,39.96,3.1,43.06,0,0,0,0,0,0,0,0,43.06,-11.99,0,0,0,0,0,,0,0,0,31.07,2020-10-19
