order_id,platform,provider,order_datetime,order_type,payment_type,subtotal,tax,tax_withheld,tip,delivery_fee,total,processing_fee,commission_fee,adjustments,marketing_fee,misc_fee,payout,expected_payout,customer_name,company_name,phone,email,address,address_formatted,lat,lng,restaurant_name,items,item_count,errors,notes
4ca98db2,NEXTBITE,AMECI,2022-04-18T00:00:00,pickup,credit,46.96,3.64,0.00,0.00,0.00,50.60,0.00,-21.12,0.00,0.00,,25.84,29.48,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=3.64
#74D93,NEXTBITE,AMECI,2022-04-19T00:00:00,pickup,credit,27.98,0.00,2.17,0.00,0.00,27.98,0.00,-12.59,0.00,0.00,,31.01,15.39,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
#BE29B,NEXTBITE,AMECI,2022-04-19T00:00:00,pickup,credit,56.49,0.00,4.38,0.00,0.00,56.49,0.00,-25.42,0.00,0.00,,46.69,31.07,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
#B737C,NEXTBITE,AMECI,2022-04-19T00:00:00,pickup,credit,24.98,0.00,1.94,0.00,0.00,24.98,0.00,-11.24,0.00,0.00,,13.74,13.74,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#F74DE,NEXTBITE,AMECI,2022-04-20T00:00:00,pickup,credit,40.98,0.00,3.18,0.00,0.00,40.98,0.00,-18.44,0.00,0.00,,22.54,22.54,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#89EFE,NEXTBITE,AMECI,2022-04-20T00:00:00,pickup,credit,27.98,0.00,2.17,0.00,0.00,27.98,0.00,-12.59,0.00,0.00,,15.39,15.39,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#6DFB9,NEXTBITE,AMECI,2022-04-20T00:00:00,pickup,credit,15.49,0.00,1.20,0.00,0.00,15.49,0.00,-6.97,0.00,0.00,,8.52,8.52,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
a716ec82,NEXTBITE,AMECI,2022-04-21T00:00:00,pickup,credit,13.99,1.08,0.00,0.00,0.00,15.07,0.00,-6.30,0.00,0.00,,7.69,8.77,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=1.08
09add589,NEXTBITE,AMECI,2022-04-21T00:00:00,pickup,credit,27.98,2.17,0.00,0.00,0.00,30.15,0.00,-12.59,0.00,0.00,,15.39,17.56,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=2.17
a85e0157,NEXTBITE,AMECI,2022-04-22T00:00:00,pickup,credit,38.96,3.02,0.00,0.00,0.00,41.98,0.00,-17.53,0.00,0.00,,21.43,24.45,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=3.02
3875f8c5,NEXTBITE,AMECI,2022-04-22T00:00:00,pickup,credit,24.99,1.94,0.00,0.00,0.00,26.93,0.00,-11.25,0.00,0.00,,13.74,15.68,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=1.94
#6A81F,NEXTBITE,AMECI,2022-04-22T00:00:00,pickup,credit,20.98,0.00,1.63,0.00,0.00,20.98,0.00,-9.44,0.00,0.00,,11.54,11.54,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#693E6,NEXTBITE,AMECI,2022-04-23T00:00:00,pickup,credit,27.98,0.00,2.17,0.00,0.00,27.98,0.00,-12.59,0.00,0.00,,31.01,15.39,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
#66AC1,NEXTBITE,AMECI,2022-04-23T00:00:00,pickup,credit,13.99,0.00,1.08,0.00,0.00,13.99,0.00,-6.30,0.00,0.00,,7.69,7.69,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#8C5A8,NEXTBITE,AMECI,2022-04-23T00:00:00,pickup,credit,29.48,0.00,2.28,0.00,0.00,29.48,0.00,-13.27,0.00,0.00,,16.21,16.21,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
O-862718660184639,NEXTBITE,AMECI,2022-04-24T00:00:00,pickup,credit,38.97,3.02,0.00,0.00,0.00,41.99,0.00,-17.53,3.50,0.00,,24.94,27.96,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.30 | savings=3.50 | platform=grubhub | collapsed_records=2 | tax_not_paid_in_payout=3.02
#3F25C__UBEREATS_20220430,NEXTBITE,AMECI,2022-04-24T00:00:00,pickup,credit,-24.97,0.00,-1.94,0.00,0.00,-24.97,0.00,0.00,0.00,0.00,,-24.97,-24.97,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.00 | platform=ubereats | original_order_id=#3F25C
#3F25C__POSTMATES_20220430,NEXTBITE,AMECI,2022-04-24T00:00:00,pickup,credit,24.97,0.00,1.94,0.00,0.00,24.97,0.00,-11.24,0.00,0.00,,13.73,13.73,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates | original_order_id=#3F25C
#3F968,NEXTBITE,AMECI,2022-04-24T00:00:00,pickup,credit,27.98,0.00,2.17,0.00,0.00,27.98,0.00,-12.59,0.00,0.00,,15.39,15.39,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
28eb5d10,NEXTBITE,AMECI,2022-04-25T00:00:00,pickup,credit,32.97,2.56,0.00,0.00,0.00,35.53,0.00,-14.84,0.00,0.00,,18.13,20.69,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=2.56
O-636818693827288,NEXTBITE,AMECI,2022-04-27T00:00:00,pickup,credit,29.48,2.28,0.00,0.00,0.00,31.76,0.00,-13.27,2.65,0.00,,18.86,21.14,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.30 | savings=2.65 | platform=grubhub | tax_not_paid_in_payout=2.28
#3F617,NEXTBITE,AMECI,2022-04-27T00:00:00,pickup,credit,42.96,0.00,3.33,0.00,0.00,42.96,0.00,-19.33,0.00,0.00,,39.25,23.63,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
#38258,NEXTBITE,AMECI,2022-04-27T00:00:00,pickup,credit,27.98,0.00,2.17,0.00,0.00,27.98,0.00,-12.59,0.00,0.00,,15.39,15.39,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#BA2DA,NEXTBITE,AMECI,2022-04-30T00:00:00,pickup,credit,19.98,0.00,1.55,0.00,0.00,19.98,0.00,-8.99,0.00,0.00,,10.99,10.99,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
f3a9875c,NEXTBITE,AMECI,2022-05-01T00:00:00,pickup,credit,32.48,2.52,0.00,0.00,0.00,35.00,0.00,-14.62,0.00,0.00,,17.86,20.38,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=2.52
f483baa4,NEXTBITE,AMECI,2022-05-02T00:00:00,pickup,credit,13.99,1.08,0.00,0.00,0.00,15.07,0.00,-6.30,0.00,0.00,,7.69,8.77,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=1.08
#5C356,NEXTBITE,AMECI,2022-05-02T00:00:00,pickup,credit,34.98,0.00,2.71,0.00,0.00,34.98,0.00,-15.74,0.00,0.00,,19.24,19.24,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
ec447a6e,NEXTBITE,AMECI,2022-05-03T00:00:00,pickup,credit,33.48,2.59,0.00,0.00,0.00,36.07,0.00,-15.07,0.00,0.00,,18.41,21.00,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=2.59
#74AE2,NEXTBITE,AMECI,2022-05-03T00:00:00,pickup,credit,13.99,0.00,1.08,0.00,0.00,13.99,0.00,-6.30,0.00,0.00,,7.69,7.69,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
d2fc0ddc,NEXTBITE,AMECI,2022-05-06T00:00:00,pickup,credit,34.99,2.71,0.00,0.00,0.00,37.70,0.00,-15.74,0.00,0.00,,19.25,21.96,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=2.71
9d8b1375,NEXTBITE,AMECI,2022-05-07T00:00:00,pickup,credit,34.47,2.67,0.00,0.00,0.00,37.14,0.00,-15.50,0.00,0.00,,18.97,21.64,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=2.67
57b92dfd,NEXTBITE,AMECI,2022-05-07T00:00:00,pickup,credit,20.99,1.63,0.00,0.00,0.00,22.62,0.00,-9.45,0.00,0.00,,11.54,13.17,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=1.63
O-968218825939245,NEXTBITE,AMECI,2022-05-10T00:00:00,pickup,credit,27.98,2.17,0.00,0.00,0.00,30.15,0.00,-12.59,2.51,0.00,,17.90,20.07,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.30 | savings=2.51 | platform=grubhub | collapsed_records=2 | tax_not_paid_in_payout=2.17
#BB786,NEXTBITE,AMECI,2022-05-12T00:00:00,pickup,credit,34.97,0.00,2.71,0.00,0.00,34.97,0.00,-15.74,0.00,0.00,,19.23,19.23,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=ubereats
3b30669d,NEXTBITE,AMECI,2022-05-13T00:00:00,pickup,credit,31.98,2.48,0.00,0.00,0.00,34.46,0.00,-14.39,0.00,0.00,,17.59,20.07,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=2.48
#8C357,NEXTBITE,AMECI,2022-05-13T00:00:00,pickup,credit,31.98,0.00,2.48,0.00,0.00,31.98,0.00,-14.39,0.00,0.00,,17.59,17.59,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=ubereats
bede41c7,NEXTBITE,AMECI,2022-05-15T00:00:00,pickup,credit,44.97,3.10,0.00,0.00,0.00,48.07,0.00,-20.24,-10.56,0.00,,26.08,17.27,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | adjustment=-11.91 | savings=1.35 | platform=doordash | collapsed_records=3
be6db33d,NEXTBITE,AMECI,2022-05-16T00:00:00,pickup,credit,27.98,1.78,0.00,0.00,0.00,29.76,0.00,-12.59,1.35,0.00,,16.74,18.52,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | savings=1.35 | platform=doordash | collapsed_records=2 | tax_not_paid_in_payout=1.78
#1A808,NEXTBITE,AMECI,2022-05-17T00:00:00,pickup,credit,54.99,0.00,4.26,0.00,0.00,54.99,0.00,-24.74,0.00,0.00,,37.24,30.25,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
#E43CA,NEXTBITE,AMECI,2022-05-18T00:00:00,pickup,credit,34.99,0.00,2.71,0.00,0.00,34.99,0.00,-15.75,0.00,0.00,,26.24,19.24,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
#747FB,NEXTBITE,AMECI,2022-05-19T00:00:00,pickup,credit,18.48,0.00,1.43,0.00,0.00,18.48,0.00,-8.32,0.00,0.00,,17.16,10.16,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
08bad604,NEXTBITE,AMECI,2022-05-20T00:00:00,pickup,credit,18.98,1.47,0.00,0.00,0.00,20.45,0.00,-8.54,0.00,0.00,,10.44,11.91,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=1.47
#D1574,NEXTBITE,AMECI,2022-05-21T00:00:00,pickup,credit,44.97,0.00,3.49,0.00,0.00,44.97,0.00,-20.23,0.00,0.00,,31.73,24.74,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
e14df04b,NEXTBITE,AMECI,2022-05-23T00:00:00,pickup,credit,27.98,1.78,0.00,0.00,0.00,29.76,0.00,-12.59,1.35,0.00,,16.74,18.52,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | savings=1.35 | platform=doordash | collapsed_records=2 | tax_not_paid_in_payout=1.78
7887f1ec,NEXTBITE,AMECI,2022-05-24T00:00:00,pickup,credit,78.93,5.73,0.00,0.00,0.00,84.66,0.00,-35.52,1.35,0.00,,44.76,50.49,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | savings=1.35 | platform=doordash | collapsed_records=2 | tax_not_paid_in_payout=5.73
O-301618970520434,NEXTBITE,AMECI,2022-05-25T00:00:00,pickup,credit,33.47,2.59,0.00,0.00,0.00,36.06,0.00,-15.06,3.01,0.00,,21.42,24.01,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.30 | savings=3.01 | platform=grubhub | collapsed_records=2 | tax_not_paid_in_payout=2.59
O-226418990223058,NEXTBITE,AMECI,2022-05-26T00:00:00,pickup,credit,26.98,2.09,0.00,0.00,0.00,29.07,0.00,-12.14,2.42,0.00,,17.26,19.35,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.30 | savings=2.42 | platform=grubhub | collapsed_records=2 | tax_not_paid_in_payout=2.09
3b40aa06,NEXTBITE,AMECI,2022-05-28T00:00:00,pickup,credit,18.99,1.47,0.00,0.00,0.00,20.46,0.00,-8.55,0.00,0.00,,10.44,11.91,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=1.47
#C252B__UBEREATS_20220531,NEXTBITE,AMECI,2022-05-28T00:00:00,pickup,credit,-41.97,0.00,-3.26,0.00,0.00,-41.97,0.00,0.00,0.00,0.00,,-41.97,-41.97,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.00 | platform=ubereats | original_order_id=#C252B
#C252B__POSTMATES_20220531,NEXTBITE,AMECI,2022-05-28T00:00:00,pickup,credit,55.96,0.00,4.34,0.00,0.00,55.96,0.00,-25.17,0.00,0.00,,30.79,30.79,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates | original_order_id=#C252B
74efe047,NEXTBITE,AMECI,2022-05-29T00:00:00,pickup,credit,55.96,3.95,0.00,0.00,0.00,59.91,0.00,-25.18,1.35,0.00,,32.13,36.08,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | savings=1.35 | platform=doordash | collapsed_records=2 | tax_not_paid_in_payout=3.95
#4CD6E,NEXTBITE,AMECI,2022-05-29T00:00:00,pickup,credit,41.97,0.00,3.25,0.00,0.00,41.97,0.00,-18.88,0.00,0.00,,30.08,23.09,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
O-932819027526650,NEXTBITE,AMECI,2022-05-30T00:00:00,pickup,credit,27.98,2.17,0.00,0.00,0.00,30.15,0.00,-12.59,2.51,0.00,,17.90,20.07,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.30 | savings=2.51 | platform=grubhub | collapsed_records=2 | tax_not_paid_in_payout=2.17
O-301619030523022,NEXTBITE,AMECI,2022-05-30T00:00:00,pickup,credit,30.97,2.40,0.00,0.00,0.00,33.37,0.00,-13.94,2.78,0.00,,19.81,22.21,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.30 | savings=2.78 | platform=grubhub | collapsed_records=2 | tax_not_paid_in_payout=2.40
68316020,NEXTBITE,AMECI,2022-05-30T00:00:00,pickup,credit,20.49,1.59,0.00,0.00,0.00,22.08,0.00,-9.22,0.00,0.00,,11.27,12.86,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=1.59
d5c6e31a,NEXTBITE,AMECI,2022-05-30T00:00:00,pickup,credit,27.98,1.78,0.00,0.00,0.00,29.76,0.00,-12.59,1.35,0.00,,16.74,18.52,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | savings=1.35 | platform=doordash | collapsed_records=2 | tax_not_paid_in_payout=1.78
5eebff15,NEXTBITE,AMECI,2022-05-30T00:00:00,pickup,credit,30.98,2.01,0.00,0.00,0.00,32.99,0.00,-13.94,1.35,0.00,,18.39,20.40,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | savings=1.35 | platform=doordash | collapsed_records=2 | tax_not_paid_in_payout=2.01
#8324A,NEXTBITE,AMECI,2022-05-31T00:00:00,pickup,credit,13.99,0.00,1.08,0.00,0.00,13.99,0.00,-6.30,0.00,0.00,,14.69,7.69,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.24 | platform=ubereats
#EDD7B,NEXTBITE,AMECI,2022-05-31T00:00:00,pickup,credit,16.99,0.00,1.32,0.00,0.00,16.99,0.00,-7.65,0.00,0.00,,9.34,9.34,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#19C1C,NEXTBITE,AMECI,2022-06-04T00:00:00,pickup,credit,19.98,0.00,1.55,0.00,0.00,19.98,0.00,-8.99,0.00,0.00,,10.99,10.99,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#DBD53,NEXTBITE,AMECI,2022-06-04T00:00:00,pickup,credit,41.97,0.00,3.25,0.00,0.00,41.97,0.00,-18.89,0.00,0.00,,23.08,23.08,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
O-051419098110808,NEXTBITE,AMECI,2022-06-05T00:00:00,pickup,credit,27.98,2.17,0.00,0.00,0.00,30.15,0.00,-12.59,2.51,0.00,,17.90,20.07,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.30 | savings=2.51 | platform=grubhub | collapsed_records=2 | tax_not_paid_in_payout=2.17
ff6b079a,NEXTBITE,AMECI,2022-06-06T00:00:00,pickup,credit,13.99,1.08,0.00,0.00,0.00,15.07,0.00,-6.30,0.00,0.00,,7.69,8.77,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.27 | platform=doordash | tax_not_paid_in_payout=1.08
#A27D0,NEXTBITE,AMECI,2022-06-06T00:00:00,pickup,credit,47.46,0.00,3.68,0.00,0.00,47.46,0.00,-21.36,0.00,0.00,,26.10,26.10,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
O-542819112552711,NEXTBITE,AMECI,2022-06-07T00:00:00,pickup,credit,49.97,3.87,0.00,0.00,0.00,53.84,0.00,-22.49,4.49,0.00,,31.97,35.84,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.30 | savings=4.49 | platform=grubhub | collapsed_records=2 | tax_not_paid_in_payout=3.87
O-001719108327998,NEXTBITE,AMECI,2022-06-07T00:00:00,pickup,credit,67.95,5.27,0.00,0.00,0.00,73.22,0.00,-30.57,6.12,0.00,,43.50,48.77,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.30 | savings=6.12 | platform=grubhub | collapsed_records=2 | tax_not_paid_in_payout=5.27
O-190019122585693,NEXTBITE,AMECI,2022-06-09T00:00:00,pickup,credit,41.97,3.25,0.00,0.00,0.00,45.22,0.00,-18.89,3.77,0.00,,26.85,30.10,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,payout_expected_mismatch,commission_rate=0.30 | savings=3.77 | platform=grubhub | tax_not_paid_in_payout=3.25
#DD9F1,NEXTBITE,AMECI,2022-06-09T00:00:00,pickup,credit,27.98,0.00,2.17,0.00,0.00,27.98,0.00,-12.59,0.00,0.00,,15.39,15.39,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,,commission_rate=0.24 | platform=postmates
#798F4__UBEREATS_20220615,NEXTBITE,AMECI,2022-06-11T00:00:00,pickup,credit,-4.90,0.00,0.00,0.00,0.00,-4.90,0.00,0.00,0.00,0.00,,-4.90,-4.90,,,,,,,,,Firebelly Wings 25431 Trabuco Road,,,tax_tax_withheld_needs_review,commission_rate=0.00 | platform=ubereats | original_order_id=#798F4
