Order ID,Store Name,Date (Reportable),Commission Rate,email_date,source_file,source_member,period_dsp,pay_period_ending,pay_period_start,pay_period_end,Transaction Type,source_sheet,Subtotal,Gross Tax,Tax Remitted,Total Commissions,Total Promotions,Total Adjustments,Savings,fulfilled_order_count,delivery_fulfilled_orders,refunds,gross_sales_tax_collected,sales_tax_remitted,total_gross_sales,nextbite_total_commission,nextbite_base_payout,nextbite_true_payout,nextbite_total_commission_reconciled,nextbite_base_payout_reconciled,nextbite_true_payout_reconciled,collapsed_records
O-222819342206257,Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,grubhub,13.99,1.08,0.00,-2.94,0.00,0.00,0.00,1,13.99,0.00,1.08,0.00,13.99,6.30,7.69,7.69,6.30,7.69,7.69,1
O-925619350701632,Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Adjustments | Fulfilled Orders,grubhub,16.99,1.32,0.00,-3.57,0.00,0.00,0.00,1,16.99,0.00,1.32,0.00,16.99,7.65,9.34,9.34,7.65,9.34,9.34,2
O-290819351792597,Firebelly Wings 25431 Trabuco Road,2022-07-02 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Adjustments | Fulfilled Orders,grubhub,36.96,2.86,0.00,-7.77,0.00,0.00,0.00,1,36.96,0.00,2.86,0.00,36.96,16.63,20.33,20.33,16.63,20.33,20.33,2
O-315219403474041,Firebelly Wings 25431 Trabuco Road,2022-07-07 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,grubhub,13.99,1.08,0.00,-2.94,0.00,0.00,0.00,1,13.99,0.00,1.08,0.00,13.99,6.30,7.69,7.69,6.30,7.69,7.69,1
O-156219424594491,Firebelly Wings 25431 Trabuco Road,2022-07-08 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Adjustments | Fulfilled Orders,grubhub,27.98,2.17,0.00,-5.88,0.00,0.00,0.00,1,27.98,0.00,2.17,0.00,27.98,12.59,15.39,15.39,12.59,15.39,15.39,2
O-220819442248039,Firebelly Wings 25431 Trabuco Road,2022-07-10 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Adjustments | Fulfilled Orders,grubhub,27.98,2.17,0.00,-5.88,0.00,0.00,0.00,1,27.98,0.00,2.17,0.00,27.98,12.59,15.39,15.39,12.59,15.39,15.39,2
O-190919459328049,Firebelly Wings 25431 Trabuco Road,2022-07-12 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Adjustments | Fulfilled Orders,grubhub,13.99,1.08,0.00,-2.94,0.00,-13.99,0.00,1,13.99,0.00,1.08,0.00,13.99,6.30,7.69,7.69,6.30,7.69,7.69,2
O-262019466430966,Firebelly Wings 25431 Trabuco Road,2022-07-12 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Adjustments | Fulfilled Orders,grubhub,22.99,1.78,0.00,-4.83,0.00,-6.00,0.00,1,22.99,0.00,1.78,0.00,22.99,10.35,12.64,12.64,10.35,12.64,12.64,2
O-530119466917352,Firebelly Wings 25431 Trabuco Road,2022-07-12 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Adjustments | Fulfilled Orders,grubhub,33.97,2.63,0.00,-7.14,0.00,0.00,0.00,1,33.97,0.00,2.63,0.00,33.97,15.29,18.68,18.68,15.29,18.68,18.68,2
O-404819479782429,Firebelly Wings 25431 Trabuco Road,2022-07-15 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,grubhub,195.86,15.18,0.00,-41.13,0.00,0.00,0.00,1,195.86,0.00,15.18,0.00,195.86,88.14,107.72,107.72,88.13,107.73,107.73,1
O-812719473946990,Firebelly Wings 25431 Trabuco Road,2022-07-15 00:00:00,0.3,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-15,2022-07-01,2022-07-15,Adjustments | Fulfilled Orders,grubhub,79.80,6.18,0.00,-16.76,0.00,0.00,0.00,1,79.80,0.00,6.18,0.00,79.80,35.91,43.89,43.89,35.90,43.90,43.90,2
d44bfc76,Firebelly Wings 25431 Trabuco Road,2022-07-02 00:00:00,0.27,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,doordash,38.99,3.02,0.00,-10.53,0.00,0.00,0.00,1,38.99,0.00,3.02,0.00,38.99,17.55,21.44,21.44,17.54,21.45,21.45,1
4517c4ae,Firebelly Wings 25431 Trabuco Road,2022-07-07 00:00:00,0.27,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,doordash,13.99,1.08,0.00,-3.78,0.00,0.00,0.00,1,13.99,0.00,1.08,0.00,13.99,6.30,7.69,7.69,6.30,7.69,7.69,1
#5ECCF,Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,0.24,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,ubereats,18.99,1.47,1.47,-4.56,0.00,0.00,0.00,1,18.99,0.00,1.47,1.47,18.99,8.55,10.44,10.44,8.55,10.44,10.44,1
#8ABAE,Firebelly Wings 25431 Trabuco Road,2022-07-03 00:00:00,0.24,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,ubereats,27.98,2.17,2.17,-6.72,0.00,0.00,0.00,1,27.98,0.00,2.17,2.17,27.98,12.59,15.39,15.39,12.58,15.40,15.40,1
#AE2C6,Firebelly Wings 25431 Trabuco Road,2022-07-04 00:00:00,0.24,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,ubereats,17.99,1.39,1.39,-4.32,0.00,0.00,0.00,1,17.99,0.00,1.39,1.39,17.99,8.10,9.89,9.89,8.10,9.89,9.89,1
#E8E02,Firebelly Wings 25431 Trabuco Road,2022-07-05 00:00:00,0.24,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,ubereats,49.97,3.87,3.87,-11.99,0.00,0.00,0.00,1,49.97,0.00,3.87,3.87,49.97,22.49,27.48,27.48,22.48,27.49,27.49,1
#17F62,Firebelly Wings 25431 Trabuco Road,2022-07-15 00:00:00,0.24,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,ubereats,13.99,1.08,1.08,-3.36,0.00,0.00,0.00,1,13.99,0.00,1.08,1.08,13.99,6.30,7.69,7.69,6.30,7.69,7.69,1
#65390,Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,0.24,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,postmates,27.98,2.17,2.17,-6.72,0.00,0.00,0.00,1,27.98,0.00,2.17,2.17,27.98,12.59,15.39,15.39,12.59,15.39,15.39,1
#8F3C0,Firebelly Wings 25431 Trabuco Road,2022-07-05 00:00:00,0.24,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,postmates,39.99,3.10,3.10,-9.60,0.00,0.00,0.00,1,39.99,0.00,3.10,3.10,39.99,18.00,21.99,21.99,17.99,22.00,22.00,1
#A92DE,Firebelly Wings 25431 Trabuco Road,2022-07-09 00:00:00,0.24,2022-07-23T19:43:39+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,2022-07-15,2022-07-01,2022-07-15,Fulfilled Orders,postmates,38.97,3.02,3.02,-9.35,0.00,0.00,0.00,1,38.97,0.00,3.02,3.02,38.97,17.54,21.43,21.43,17.54,21.43,21.43,1
O-210519550454975,Firebelly Wings 25431 Trabuco Road,2022-07-22 00:00:00,0.3,2022-08-06T21:02:52+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-31,2022-07-16,2022-07-31,Fulfilled Orders,grubhub,13.99,1.08,0.00,-2.94,0.00,0.00,0.00,1,13.99,0.00,1.08,0.00,13.99,6.30,7.69,7.69,6.30,7.69,7.69,1
O-627819593985038,Firebelly Wings 25431 Trabuco Road,2022-07-26 00:00:00,0.3,2022-08-06T21:02:52+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-31,2022-07-16,2022-07-31,Adjustments | Fulfilled Orders,grubhub,13.99,1.08,0.00,-2.94,0.00,-13.99,0.00,1,13.99,0.00,1.08,0.00,13.99,6.30,7.69,7.69,6.30,7.69,7.69,2
O-798819608883184,Firebelly Wings 25431 Trabuco Road,2022-07-27 00:00:00,0.3,2022-08-06T21:02:52+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-31,2022-07-16,2022-07-31,Fulfilled Orders,grubhub,29.98,2.32,0.00,-6.30,0.00,0.00,0.00,1,29.98,0.00,2.32,0.00,29.98,13.49,16.49,16.49,13.49,16.49,16.49,1
O-066019610162198,Firebelly Wings 25431 Trabuco Road,2022-07-27 00:00:00,0.3,2022-08-06T21:02:52+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-31,2022-07-16,2022-07-31,Adjustments | Fulfilled Orders,grubhub,44.48,3.45,0.00,-9.34,0.00,0.00,0.00,1,44.48,0.00,3.45,0.00,44.48,20.02,24.46,24.46,20.01,24.47,24.47,2
O-857819623741608,Firebelly Wings 25431 Trabuco Road,2022-07-28 00:00:00,0.3,2022-08-06T21:02:52+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-31,2022-07-16,2022-07-31,Fulfilled Orders,grubhub,34.48,2.67,0.00,-7.24,0.00,0.00,0.00,1,34.48,0.00,2.67,0.00,34.48,15.52,18.96,18.96,15.51,18.97,18.97,1
#6A73D,Firebelly Wings 25431 Trabuco Road,2022-07-23 00:00:00,0.24,2022-08-06T21:02:52+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-07-31,2022-07-16,2022-07-31,Fulfilled Orders,ubereats,22.99,1.78,1.78,-5.52,0.00,0.00,0.00,1,22.99,0.00,1.78,1.78,22.99,10.35,12.64,12.64,10.35,12.64,12.64,1
FNPFB,Firebelly Wings 25431 Trabuco Road,2022-07-27 00:00:00,0,2022-08-06T21:02:52+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,whitelabel,2022-07-31,2022-07-16,2022-07-31,Fulfilled Orders,whitelabel,29.50,1.20,1.20,0.00,0.00,0.00,0.00,1,29.50,0.00,1.20,1.20,29.50,13.28,16.23,16.23,0.00,16.22,16.22,1
b41d0d91,Firebelly Wings 25431 Trabuco Road,2022-12-01 00:00:00,0.27,2022-12-22T17:25:23+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,2022-12-15,2022-12-01,2022-12-15,Fulfilled Orders,doordash,27.98,2.17,0.00,-7.55,0.00,0.00,0.00,1,27.98,0.00,2.17,0.00,27.98,12.59,15.39,15.39,12.59,15.39,15.39,1
0250cd75,Firebelly Wings 25431 Trabuco Road,2022-12-02 00:00:00,0.27,2022-12-22T17:25:23+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,2022-12-15,2022-12-01,2022-12-15,Fulfilled Orders,doordash,36.49,2.83,0.00,-9.85,0.00,0.00,0.00,1,36.49,0.00,2.83,0.00,36.49,16.42,20.07,20.07,16.42,20.07,20.07,1
#DBEEA,Firebelly Wings 25431 Trabuco Road,2022-12-01 00:00:00,0.24,2022-12-22T17:25:23+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-15,2022-12-01,2022-12-15,Fulfilled Orders,ubereats,27.98,2.17,2.17,-6.72,0.00,0.00,0.00,1,27.98,0.00,2.17,2.17,27.98,12.59,15.39,15.39,12.59,16.89,16.89,1
#CD88D,Firebelly Wings 25431 Trabuco Road,2022-12-07 00:00:00,0.24,2022-12-22T17:25:23+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-15,2022-12-01,2022-12-15,Fulfilled Orders | Refunds,ubereats,13.99,1.09,1.09,-4.80,0.00,0.00,0.00,1,19.98,-5.99,1.09,1.09,13.99,6.30,7.69,7.69,8.99,6.50,6.50,2
#08672,Firebelly Wings 25431 Trabuco Road,2022-12-11 00:00:00,0.24,2022-12-22T17:25:23+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-15,2022-12-01,2022-12-15,Fulfilled Orders,ubereats,39.99,3.10,3.10,-9.60,0.00,0.00,0.00,1,39.99,0.00,3.10,3.10,39.99,18.00,21.99,21.99,17.99,23.49,23.49,1
#663CC,Firebelly Wings 25431 Trabuco Road,2022-12-13 00:00:00,0.24,2022-12-22T17:25:23+00:00,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-15,2022-12-01,2022-12-15,Fulfilled Orders,ubereats,23.97,1.86,1.86,-6.23,0.00,0.00,0.00,1,23.97,0.00,1.86,1.86,23.97,10.79,13.18,13.18,10.79,14.68,14.68,1
O-968218825939245,Firebelly Wings 25431 Trabuco Road,2022-05-10 00:00:00,0.3,2022-05-20T16:50:36+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-05-15,2022-05-01,2022-05-15,Adjustments | Fulfilled Orders,grubhub,27.98,2.17,0.00,-5.88,0.00,0.00,2.51,1,27.98,0.00,2.17,0.00,27.98,12.59,15.39,17.90,12.59,15.39,17.90,2
f3a9875c,Firebelly Wings 25431 Trabuco Road,2022-05-01 00:00:00,0.27,2022-05-20T16:50:36+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,2022-05-15,2022-05-01,2022-05-14,Fulfilled Orders,doordash,32.48,2.52,0.00,-8.77,0.00,0.00,0.00,1,32.48,0.00,2.52,0.00,32.48,14.62,17.86,17.86,14.62,17.86,17.86,1
f483baa4,Firebelly Wings 25431 Trabuco Road,2022-05-02 00:00:00,0.27,2022-05-20T16:50:36+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,2022-05-15,2022-05-01,2022-05-14,Fulfilled Orders,doordash,13.99,1.08,0.00,-3.78,0.00,0.00,0.00,1,13.99,0.00,1.08,0.00,13.99,6.30,7.69,7.69,6.30,7.69,7.69,1
ec447a6e,Firebelly Wings 25431 Trabuco Road,2022-05-03 00:00:00,0.27,2022-05-20T16:50:36+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,2022-05-15,2022-05-01,2022-05-14,Fulfilled Orders,doordash,33.48,2.59,0.00,-9.04,0.00,0.00,0.00,1,33.48,0.00,2.59,0.00,33.48,15.07,18.41,18.41,15.07,18.41,18.41,1
d2fc0ddc,Firebelly Wings 25431 Trabuco Road,2022-05-06 00:00:00,0.27,2022-05-20T16:50:36+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,2022-05-15,2022-05-01,2022-05-14,Fulfilled Orders,doordash,34.99,2.71,0.00,-9.45,0.00,0.00,0.00,1,34.99,0.00,2.71,0.00,34.99,15.75,19.24,19.24,15.74,19.25,19.25,1
9d8b1375,Firebelly Wings 25431 Trabuco Road,2022-05-07 00:00:00,0.27,2022-05-20T16:50:36+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,2022-05-15,2022-05-01,2022-05-14,Fulfilled Orders,doordash,34.47,2.67,0.00,-9.31,0.00,0.00,0.00,1,34.47,0.00,2.67,0.00,34.47,15.51,18.96,18.96,15.50,18.97,18.97,1
57b92dfd,Firebelly Wings 25431 Trabuco Road,2022-05-07 00:00:00,0.27,2022-05-20T16:50:36+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,2022-05-15,2022-05-01,2022-05-14,Fulfilled Orders,doordash,20.99,1.63,0.00,-5.67,0.00,0.00,0.00,1,20.99,0.00,1.63,0.00,20.99,9.45,11.54,11.54,9.45,11.54,11.54,1
3b30669d,Firebelly Wings 25431 Trabuco Road,2022-05-13 00:00:00,0.27,2022-05-20T16:50:36+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,2022-05-15,2022-05-01,2022-05-14,Fulfilled Orders,doordash,31.98,2.48,0.00,-8.63,0.00,0.00,0.00,1,31.98,0.00,2.48,0.00,31.98,14.39,17.59,17.59,14.39,17.59,17.59,1
#BB786,Firebelly Wings 25431 Trabuco Road,2022-05-12 00:00:00,0.24,2022-05-20T16:50:36+00:00,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-05-15,2022-05-01,2022-05-15,Fulfilled Orders,ubereats,34.97,2.71,2.71,-8.39,0.00,0.00,0.00,1,34.97,0.00,2.71,2.71,34.97,15.74,19.23,19.23,15.74,19.23,19.23,1
