Store Name,Date (Reportable),Order ID,Transaction Type,Commission Rate,Subtotal,Gross Tax,Tax Remitted,Total Commissions,Total Promotions,Total Adjustments,Commission %,Savings,provider,source_file,source_member,source_sheet,email_date,added_at,__is_unfulfilled,__is_count_fulfilled,__is_refund,__num_subtotal,__num_gross_tax,__num_tax_remitted,__num_savings,__num_total_commissions,__nextbite_total_commission,__nextbite_base_payout,__nextbite_true_payout,nextbite_total_commission_reconciled,nextbite_base_payout_reconciled,nextbite_true_payout_reconciled,period_dsp,pay_period_ending,pay_period_start,pay_period_end
Firebelly Wings 25431 Trabuco Road,2022-11-17 00:00:00,#663C4,Fulfilled Orders,0.24,52.98,4.11,-4.11,-12.72,0,0,0.2400906002265006,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,52.98,4.11,4.11,0,-12.72,23.8410,29.1390,29.1390,23.84,33.14,33.14,ubereats,2022-11-30,2022-11-16,2022-11-30
Firebelly Wings 25431 Trabuco Road,2022-11-03 00:00:00,#227DF,Refunds,0,-38.99,-3.02,-3.02,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,False,True,-38.99,-3.02,-3.02,0,0.00,-17.5455,-21.4445,-21.4445,0.00,-38.99,-38.99,ubereats,2022-11-15,2022-11-01,2022-11-15
Firebelly Wings 25431 Trabuco Road,2022-11-17 00:00:00,#663C4,Refunds,0,-4,-0.31,-0.31,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,False,True,-4.00,-0.31,-0.31,0,0.00,-1.8000,-2.2000,-2.2000,0.00,-4.00,-4.00,ubereats,2022-11-30,2022-11-16,2022-11-30
Firebelly Wings 25431 Trabuco Road,2022-11-09 00:00:00,#36B9A,Fulfilled Orders,0.24,20.98,1.39,-1.39,-5.04,0,0,0.2402287893231649,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,2022-12-08T16:42:19+00:00,2026-02-28T20:02:49.022278,False,True,False,20.98,1.39,1.39,0,-5.04,9.4410,11.5390,11.5390,9.44,11.54,11.54,postmates,2022-11-15,2022-11-01,2022-11-15
Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,O-235719349342955,Fulfilled Orders,0.3,20.49,1.59,0,-4.3,0,0,0.209858467545144,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,20.49,1.59,0,0,-4.30,9.2205,11.2695,11.2695,9.22,11.27,11.27,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,O-222819342206257,Fulfilled Orders,0.3,13.99,1.08,0,-2.94,0,0,0.2101501072194425,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,13.99,1.08,0,0,-2.94,6.2955,7.6945,7.6945,6.30,7.69,7.69,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,O-925619350701632,Fulfilled Orders,0.3,16.99,1.32,0,-3.57,0,0,0.2101236021188935,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,16.99,1.32,0,0,-3.57,7.6455,9.3445,9.3445,7.65,9.34,9.34,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-02 00:00:00,O-290819351792597,Fulfilled Orders,0.3,36.96,2.86,0,-7.77,0,0,0.2102272727272727,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,36.96,2.86,0,0,-7.77,16.6320,20.3280,20.3280,16.63,20.33,20.33,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-07 00:00:00,O-315219403474041,Fulfilled Orders,0.3,13.99,1.08,0,-2.94,0,0,0.2101501072194425,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,13.99,1.08,0,0,-2.94,6.2955,7.6945,7.6945,6.30,7.69,7.69,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-08 00:00:00,O-156219424594491,Fulfilled Orders,0.3,27.98,2.17,0,-5.88,0,0,0.2101501072194425,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,27.98,2.17,0,0,-5.88,12.5910,15.3890,15.3890,12.59,15.39,15.39,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-10 00:00:00,O-220819442248039,Fulfilled Orders,0.3,27.98,2.17,0,-5.88,0,0,0.2101501072194425,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,27.98,2.17,0,0,-5.88,12.5910,15.3890,15.3890,12.59,15.39,15.39,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-12 00:00:00,O-190919459328049,Fulfilled Orders,0.3,13.99,1.08,0,-2.94,0,0,0.2101501072194425,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,13.99,1.08,0,0,-2.94,6.2955,7.6945,7.6945,6.30,7.69,7.69,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-12 00:00:00,O-262019466430966,Fulfilled Orders,0.3,22.99,1.78,0,-4.83,0,0,0.2100913440626359,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,22.99,1.78,0,0,-4.83,10.3455,12.6445,12.6445,10.35,12.64,12.64,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-12 00:00:00,O-530119466917352,Fulfilled Orders,0.3,33.97,2.63,0,-7.14,0,0,0.2101854577568443,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,33.97,2.63,0,0,-7.14,15.2865,18.6835,18.6835,15.29,18.68,18.68,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-15 00:00:00,O-404819479782429,Fulfilled Orders,0.3,195.86,15.18,0,-41.13,0,0,0.2099969365873583,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,195.86,15.18,0,0,-41.13,88.1370,107.7230,107.7230,88.13,107.73,107.73,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-15 00:00:00,O-812719473946990,Fulfilled Orders,0.3,79.8,6.18,0,-16.76,0,0,0.2100250626566416,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,79.80,6.18,0,0,-16.76,35.9100,43.8900,43.8900,35.90,43.90,43.90,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,O-925619350701632,Adjustments,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,0.00,0.00,0,0,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,O-235719349342955,Adjustments,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,0.00,0.00,0,0,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-02 00:00:00,O-290819351792597,Adjustments,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,0.00,0.00,0,0,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-08 00:00:00,O-156219424594491,Adjustments,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,0.00,0.00,0,0,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-10 00:00:00,O-220819442248039,Adjustments,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,0.00,0.00,0,0,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-12 00:00:00,O-530119466917352,Adjustments,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,0.00,0.00,0,0,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-12 00:00:00,O-262019466430966,Adjustments,0,0,0,0,0,0,-6,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,0.00,0.00,0,0,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-12 00:00:00,O-190919459328049,Adjustments,0,0,0,0,0,0,-13.99,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,0.00,0.00,0,0,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-15 00:00:00,O-812719473946990,Adjustments,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,0.00,0.00,0,0,0.00,0.0000,0.0000,0.0000,0.00,0.00,0.00,grubhub,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-02 00:00:00,d44bfc76,Fulfilled Orders,0.27,38.99,3.02,0,-10.53,0,0,0.2700692485252629,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,38.99,3.02,0,0,-10.53,17.5455,21.4445,21.4445,17.54,21.45,21.45,doordash,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-07 00:00:00,4517c4ae,Fulfilled Orders,0.27,13.99,1.08,0,-3.78,0,0,0.270192994996426,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,13.99,1.08,0,0,-3.78,6.2955,7.6945,7.6945,6.30,7.69,7.69,doordash,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,#5ECCF,Fulfilled Orders,0.24,18.99,1.47,-1.47,-4.56,0,0,0.2401263823064771,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,18.99,1.47,1.47,0,-4.56,8.5455,10.4445,10.4445,8.55,10.44,10.44,ubereats,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-03 00:00:00,#8ABAE,Fulfilled Orders,0.24,27.98,2.17,-2.17,-6.72,0,0,0.2401715511079342,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,27.98,2.17,2.17,0,-6.72,12.5910,15.3890,15.3890,12.58,15.40,15.40,ubereats,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-04 00:00:00,#AE2C6,Fulfilled Orders,0.24,17.99,1.39,-1.39,-4.32,0,0,0.2401334074485826,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,17.99,1.39,1.39,0,-4.32,8.0955,9.8945,9.8945,8.10,9.89,9.89,ubereats,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-05 00:00:00,#E8E02,Fulfilled Orders,0.24,49.97,3.87,-3.87,-11.99,0,0,0.2399439663798279,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,49.97,3.87,3.87,0,-11.99,22.4865,27.4835,27.4835,22.48,27.49,27.49,ubereats,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-15 00:00:00,#17F62,Fulfilled Orders,0.24,13.99,1.08,-1.08,-3.36,0,0,0.2401715511079342,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,13.99,1.08,1.08,0,-3.36,6.2955,7.6945,7.6945,6.30,7.69,7.69,ubereats,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-01 00:00:00,#65390,Fulfilled Orders,0.24,27.98,2.17,-2.17,-6.72,0,0,0.2401715511079342,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,27.98,2.17,2.17,0,-6.72,12.5910,15.3890,15.3890,12.59,15.39,15.39,postmates,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-05 00:00:00,#8F3C0,Fulfilled Orders,0.24,39.99,3.1,-3.1,-9.6,0,0,0.2400600150037509,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,39.99,3.10,3.10,0,-9.60,17.9955,21.9945,21.9945,17.99,22.00,22.00,postmates,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-09 00:00:00,#A92DE,Fulfilled Orders,0.24,38.97,3.02,-3.02,-9.35,0,0,0.2399281498588658,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,2022-07-23T19:43:39+00:00,2026-02-28T20:02:49.022278,False,True,False,38.97,3.02,3.02,0,-9.35,17.5365,21.4335,21.4335,17.54,21.43,21.43,postmates,2022-07-15,2022-07-01,2022-07-15
Firebelly Wings 25431 Trabuco Road,2022-07-22 00:00:00,O-210519550454975,Fulfilled Orders,0.3,13.99,1.08,0,-2.94,0,0,0.2101501072194425,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-08-06T21:02:52+00:00,2026-02-28T20:02:49.022278,False,True,False,13.99,1.08,0,0,-2.94,6.2955,7.6945,7.6945,6.30,7.69,7.69,grubhub,2022-07-31,2022-07-16,2022-07-31
Firebelly Wings 25431 Trabuco Road,2022-07-26 00:00:00,O-627819593985038,Fulfilled Orders,0.3,13.99,1.08,0,-2.94,0,0,0.2101501072194425,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-08-06T21:02:52+00:00,2026-02-28T20:02:49.022278,False,True,False,13.99,1.08,0,0,-2.94,6.2955,7.6945,7.6945,6.30,7.69,7.69,grubhub,2022-07-31,2022-07-16,2022-07-31
Firebelly Wings 25431 Trabuco Road,2022-07-27 00:00:00,O-798819608883184,Fulfilled Orders,0.3,29.98,2.32,0,-6.3,0,0,0.2101400933955971,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-08-06T21:02:52+00:00,2026-02-28T20:02:49.022278,False,True,False,29.98,2.32,0,0,-6.30,13.4910,16.4890,16.4890,13.49,16.49,16.49,grubhub,2022-07-31,2022-07-16,2022-07-31
Firebelly Wings 25431 Trabuco Road,2022-07-27 00:00:00,O-066019610162198,Fulfilled Orders,0.3,44.48,3.45,0,-9.34,0,0,0.2099820143884892,,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,2022-08-06T21:02:52+00:00,2026-02-28T20:02:49.022278,False,True,False,44.48,3.45,0,0,-9.34,20.0160,24.4640,24.4640,20.01,24.47,24.47,grubhub,2022-07-31,2022-07-16,2022-07-31
