Pay Period Ending,Store Name,Location,DSP,Concept,Number of Orders Fulfilled,Delivery Fulfilled Orders,Delivery Cancelled Orders,Delivery Unfulfilled Orders,Pickup Fulfilled Orders,Pickup Cancelled Orders,Pickup Unfulfilled Orders,Refunds,Adjustments,Gross Sales Tax (Collected by DSP),Sales Tax (Remitted by DSP),Total Gross Sales,Total FP Payout,Delivery Contract Rate Payout,Pickup Contract Rate Payout,Commission Cap Savings,provider,source_file,source_member,source_sheet,summary_sheet,email_date,added_at
2022-6-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,1,13.99,0,0,0,0,0,0,0,1.08,0,13.99,7.69,7.69,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,Summary,2022-07-10T00:50:24+00:00,2026-02-28T20:02:49.026243
2022-6-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,2,40.47,0,0,0,0,0,-4.9,0,3.14,3.14,40.47,22.26,22.26,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,Summary,2022-07-10T00:50:24+00:00,2026-02-28T20:02:49.026243
2022-6-15,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,5,187.38,0,0,0,0,0,0,0,14.52,14.52,187.38,103.06,103.06,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,Summary,2022-07-10T00:50:24+00:00,2026-02-28T20:02:49.026243
2022-6-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,5,161.89,0,0,0,0,0,0,0,12.54,0,161.89,103.59,89.04,0,14.55,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,grubhub,Summary,2022-07-10T00:50:24+00:00,2026-02-28T20:02:49.026243
2022-6-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,1,17.99,0,0,0,0,0,0,0,1.39,0,17.99,9.9,9.9,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,doordash,Summary,2022-07-10T00:50:24+00:00,2026-02-28T20:02:49.026243
2022-6-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,10,443.7,0,0,0,0,0,-18.99,0,34.39,31.66,443.7,252.43,244.03,0,8.4,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,Summary,2022-07-10T00:50:24+00:00,2026-02-28T20:02:49.026243
2022-6-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,6,162.9,0,0,0,0,0,0,0,12.63,11.85,162.9,91.99,89.59,0,2.4,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,Summary,2022-07-10T00:50:24+00:00,2026-02-28T20:02:49.026243
2022-9-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,grubhub,Firebelly Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,grubhub,Summary,2022-10-10T18:20:16+00:00,2026-02-28T20:02:49.026243
2022-9-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,Summary,2022-10-10T18:20:16+00:00,2026-02-28T20:02:49.026243
2022-9-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,4,114.93,0,0,0,0,0,-33.98,0,8.91,8.91,114.93,63.21,63.21,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,Summary,2022-10-10T18:20:16+00:00,2026-02-28T20:02:49.026243
2022-9-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,postmates,Summary,2022-10-10T18:20:16+00:00,2026-02-28T20:02:49.026243
2022-9-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,whitelabel,Firebelly Wings,1,28,0,0,0,0,0,0,0,2.2,2.2,28,15.4,15.4,0,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,whitelabel,Summary,2022-10-10T18:20:16+00:00,2026-02-28T20:02:49.026243
2022-12-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,doordash,Firebelly Wings,1,20.49,0,0,0,0,0,0,0,1.59,0,20.49,11.27,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,doordash,Summary,2023-01-10T18:15:07+00:00,2026-02-28T20:02:49.026243
2022-12-31,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,NEXTBITE,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,0014W00002LxZaaQAF/SahaPizzaInc.xlsx,ubereats,Summary,2023-01-10T18:15:07+00:00,2026-02-28T20:02:49.026243
2022-4-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,ubereats,Firebelly Wings,8,299.34,0,0,0,0,0,-124.97,0,23.2,23.2,299.34,164.64,164.64,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,ubereats,Summary,2022-11-22T00:06:24-08:00,2026-02-28T20:02:49.026243
2022-4-30,"Ameci Pizza & Pasta - Lake Forest, CA",25431 Trabuco Road,postmates,Firebelly Wings,19,569.24,0,0,0,0,0,0,0,44.14,44.14,569.24,313.08,313.08,0,0,NEXTBITE,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,0014W00002LxZaaQAF/AmeciPizzaPastaLakeForest.xlsx,postmates,Summary,2022-11-22T00:06:24-08:00,2026-02-28T20:02:49.026243
