dsp,pay_period_ending,pay_period_start,pay_period_end,orders_in_period,orders_count_fulfilled,summary_count_fulfilled,delta_count_fulfilled,match_count_fulfilled,orders_delivery_fulfilled,summary_delivery_fulfilled,delta_delivery_fulfilled,match_delivery_fulfilled,orders_refunds,summary_refunds,delta_refunds,match_refunds,orders_gross_sales_tax,summary_gross_sales_tax,delta_gross_sales_tax,match_gross_sales_tax,orders_sales_tax_remitted,summary_sales_tax_remitted,delta_sales_tax_remitted,match_sales_tax_remitted,orders_total_gross_sales,summary_total_gross_sales,delta_total_gross_sales,match_total_gross_sales,orders_savings,summary_commission_cap_savings,delta_savings,match_savings,orders_total_fp_payout,summary_total_fp_payout,delta_total_fp_payout,match_total_fp_payout,orders_nextbite_total_commission,orders_nextbite_base_payout,summary_delivery_contract_rate_payout,summary_pickup_contract_rate_payout,summary_55pct_of_total_gross_sales,summary_55pct_plus_savings,delta_summary_fp_vs_55pct_plus_savings,all_key_metrics_match
grubhub,2022-06-15,2022-06-01,2022-06-15,10,6,6,0,True,257.82,257.82,0.00,True,0.00,0.00,0.00,True,19.98,19.98,0.00,True,0.00,0.00,0.00,True,257.82,257.82,0.00,True,23.18,23.18,0.00,True,164.98,164.98,0.00,True,116.02,141.80,141.80,0.00,141.80,164.98,-0.00,True
grubhub,2022-06-30,2022-06-16,2022-06-30,7,5,5,0,True,161.89,161.89,0.00,True,0.00,0.00,0.00,True,12.54,12.54,0.00,True,0.00,0.00,0.00,True,161.89,161.89,0.00,True,14.55,14.55,0.00,True,103.59,103.59,0.00,True,72.85,89.04,89.04,0.00,89.04,103.59,0.00,True
grubhub,2022-07-15,2022-07-01,2022-07-15,21,12,12,0,True,504.99,504.99,0.00,True,0.00,0.00,0.00,True,39.12,39.12,0.00,True,0.00,0.00,0.00,True,504.99,504.99,0.00,True,0.00,0.00,0.00,True,277.74,277.74,0.00,True,227.25,277.74,277.74,0.00,277.74,277.74,-0.00,True
grubhub,2022-07-31,2022-07-16,2022-07-31,7,5,5,0,True,136.92,136.92,0.00,True,0.00,0.00,0.00,True,10.60,10.60,0.00,True,0.00,0.00,0.00,True,136.92,136.92,0.00,True,0.00,0.00,0.00,True,75.31,75.31,0.00,True,61.61,75.31,75.31,0.00,75.31,75.31,0.00,True
grubhub,2022-08-15,2022-08-01,2022-08-15,10,5,5,0,True,162.88,162.88,0.00,True,0.00,0.00,0.00,True,12.63,12.63,0.00,True,0.00,0.00,0.00,True,162.88,162.88,0.00,True,0.00,0.00,0.00,True,89.58,89.58,0.00,True,73.30,89.58,89.58,0.00,89.58,89.58,-0.00,True
grubhub,2022-08-31,2022-08-16,2022-08-31,6,5,5,0,True,133.93,133.93,0.00,True,0.00,0.00,0.00,True,10.37,10.37,0.00,True,0.00,0.00,0.00,True,133.93,133.93,0.00,True,0.00,0.00,0.00,True,73.67,73.67,0.00,True,60.26,73.67,73.67,0.00,73.66,73.66,0.01,True
grubhub,2022-09-15,2022-09-01,2022-09-15,4,2,2,0,True,70.46,70.46,0.00,True,0.00,0.00,0.00,True,5.46,5.46,0.00,True,0.00,0.00,0.00,True,70.46,70.46,0.00,True,0.00,0.00,0.00,True,38.75,38.75,0.00,True,31.71,38.75,38.75,0.00,38.75,38.75,-0.00,True
grubhub,2022-09-30,2022-09-16,2022-09-30,0,0,0,0,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,0.00,0.00,0.00,0.00,True
grubhub,2022-10-15,2022-10-01,2022-10-15,9,6,6,0,True,132.42,132.42,0.00,True,0.00,0.00,0.00,True,10.25,10.25,0.00,True,0.00,0.00,0.00,True,132.42,132.42,0.00,True,0.00,0.00,0.00,True,72.83,72.83,0.00,True,59.59,72.83,0.00,0.00,72.83,72.83,-0.00,True
grubhub,2022-10-31,2022-10-16,2022-10-31,4,3,3,0,True,80.96,80.96,0.00,True,0.00,0.00,0.00,True,6.27,6.27,0.00,True,0.00,0.00,0.00,True,80.96,80.96,0.00,True,0.00,0.00,0.00,True,44.53,44.53,0.00,True,36.43,44.53,0.00,0.00,44.53,44.53,0.00,True
grubhub,2022-11-15,2022-11-01,2022-11-15,4,2,2,0,True,56.47,56.47,0.00,True,0.00,0.00,0.00,True,4.38,4.38,0.00,True,0.00,0.00,0.00,True,56.47,56.47,0.00,True,0.00,0.00,0.00,True,31.06,31.06,0.00,True,25.41,31.06,0.00,0.00,31.06,31.06,0.00,True
grubhub,2022-11-30,2022-11-16,2022-11-30,0,0,0,0,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,0.00,0.00,0.00,0.00,True
grubhub,2023-01-31,2023-01-16,2023-01-31,1,1,1,0,True,31.97,31.97,0.00,True,0.00,0.00,0.00,True,2.48,2.48,0.00,True,0.00,0.00,0.00,True,31.97,31.97,0.00,True,0.00,0.00,0.00,True,17.58,17.58,0.00,True,14.39,17.58,0.00,0.00,17.58,17.58,-0.00,True
postmates,2022-04-30,2022-04-01,2022-04-30,19,19,19,0,True,569.24,569.24,0.00,True,0.00,0.00,0.00,True,44.14,44.14,0.00,True,44.14,44.14,0.00,True,569.24,569.24,0.00,True,0.00,0.00,0.00,True,313.08,313.08,0.00,True,256.16,313.08,313.08,0.00,313.08,313.08,-0.00,True
postmates,2022-05-15,2022-05-01,2022-05-15,2,2,2,0,True,48.97,48.97,0.00,True,0.00,0.00,0.00,True,3.79,3.79,0.00,True,3.79,3.79,0.00,True,48.97,48.97,0.00,True,0.00,0.00,0.00,True,26.93,26.93,0.00,True,22.04,26.93,26.93,0.00,26.93,26.93,-0.00,True
postmates,2022-05-31,2022-05-16,2022-05-31,2,2,2,0,True,72.95,72.95,0.00,True,0.00,0.00,0.00,True,5.66,5.66,0.00,True,5.66,5.66,0.00,True,72.95,72.95,0.00,True,0.00,0.00,0.00,True,40.13,40.13,0.00,True,32.82,40.13,40.13,0.00,40.12,40.12,0.01,True
postmates,2022-06-15,2022-06-01,2022-06-15,5,5,5,0,True,187.38,187.38,0.00,True,0.00,0.00,0.00,True,14.52,14.52,0.00,True,14.52,14.52,0.00,True,187.38,187.38,0.00,True,0.00,0.00,0.00,True,103.06,103.06,0.00,True,84.32,103.06,103.06,0.00,103.06,103.06,0.00,True
postmates,2022-06-30,2022-06-16,2022-06-30,6,6,6,0,True,162.90,162.90,0.00,True,0.00,0.00,0.00,True,12.63,12.63,0.00,True,11.85,11.85,0.00,True,162.90,162.90,0.00,True,2.40,2.40,0.00,True,91.99,91.99,0.00,True,73.31,89.59,89.59,0.00,89.60,92.00,-0.01,True
postmates,2022-07-15,2022-07-01,2022-07-15,3,3,3,0,True,106.94,106.94,0.00,True,0.00,0.00,0.00,True,8.29,8.29,0.00,True,8.29,8.29,0.00,True,106.94,106.94,0.00,True,0.00,0.00,0.00,True,58.82,58.82,0.00,True,48.12,58.82,58.82,0.00,58.82,58.82,0.00,True
postmates,2022-07-31,2022-07-16,2022-07-31,0,0,0,0,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,0.00,0.00,0.00,0.00,True
postmates,2022-08-15,2022-08-01,2022-08-15,1,1,1,0,True,13.99,13.99,0.00,True,0.00,0.00,0.00,True,1.08,1.08,0.00,True,1.08,1.08,0.00,True,13.99,13.99,0.00,True,0.00,0.00,0.00,True,7.69,7.69,0.00,True,6.30,7.69,7.69,0.00,7.69,7.69,-0.00,True
postmates,2022-08-31,2022-08-16,2022-08-31,5,5,5,0,True,112.93,112.93,0.00,True,0.00,0.00,0.00,True,8.74,8.74,0.00,True,8.74,8.74,0.00,True,112.93,112.93,0.00,True,0.00,0.00,0.00,True,62.12,62.12,0.00,True,50.81,62.12,62.12,0.00,62.11,62.11,0.01,True
postmates,2022-09-15,2022-09-01,2022-09-15,2,2,2,0,True,41.97,41.97,0.00,True,0.00,0.00,0.00,True,3.25,3.25,0.00,True,3.25,3.25,0.00,True,41.97,41.97,0.00,True,0.00,0.00,0.00,True,23.08,23.08,0.00,True,18.89,23.08,23.08,0.00,23.08,23.08,-0.00,True
postmates,2022-09-30,2022-09-16,2022-09-30,0,0,0,0,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,0.00,0.00,0.00,0.00,True
postmates,2022-10-15,2022-10-01,2022-10-15,2,2,2,0,True,56.97,56.97,0.00,True,0.00,0.00,0.00,True,4.42,4.42,0.00,True,4.03,4.03,0.00,True,56.97,56.97,0.00,True,0.00,0.00,0.00,True,31.33,31.33,0.00,True,25.64,31.33,0.00,0.00,31.33,31.33,-0.00,True
postmates,2022-10-31,2022-10-16,2022-10-31,1,1,1,0,True,48.98,48.98,0.00,True,0.00,0.00,0.00,True,3.80,3.80,0.00,True,3.80,3.80,0.00,True,48.98,48.98,0.00,True,0.00,0.00,0.00,True,26.94,26.94,0.00,True,22.04,26.94,0.00,0.00,26.94,26.94,0.00,True
postmates,2022-11-15,2022-11-01,2022-11-15,1,1,1,0,True,20.98,20.98,0.00,True,0.00,0.00,0.00,True,1.39,1.39,0.00,True,1.39,1.39,0.00,True,20.98,20.98,0.00,True,0.00,0.00,0.00,True,11.54,11.54,0.00,True,9.44,11.54,0.00,0.00,11.54,11.54,0.00,True
postmates,2022-11-30,2022-11-16,2022-11-30,0,0,0,0,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,0.00,0.00,0.00,0.00,True
postmates,2023-01-15,2023-01-01,2023-01-15,1,1,1,0,True,32.98,32.98,0.00,True,0.00,0.00,0.00,True,2.56,2.56,0.00,True,2.56,2.56,0.00,True,32.98,32.98,0.00,True,0.00,0.00,0.00,True,18.14,18.14,0.00,True,14.84,18.14,0.00,0.00,18.14,18.14,0.00,True
postmates,2023-01-31,2023-01-16,2023-01-31,0,0,0,0,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,0.00,0.00,0.00,0.00,True
ubereats,2022-04-30,2022-04-01,2022-04-30,13,8,8,0,True,299.34,299.34,0.00,True,-124.97,-124.97,0.00,True,23.20,23.20,0.00,True,23.20,23.20,0.00,True,299.34,299.34,0.00,True,0.00,0.00,0.00,True,164.64,164.64,0.00,True,134.70,164.64,164.64,0.00,164.64,164.64,0.00,True
ubereats,2022-05-15,2022-05-01,2022-05-15,2,2,2,0,True,66.95,66.95,0.00,True,0.00,0.00,0.00,True,5.19,5.19,0.00,True,5.19,5.19,0.00,True,66.95,66.95,0.00,True,0.00,0.00,0.00,True,36.82,36.82,0.00,True,30.13,36.82,36.82,0.00,36.82,36.82,-0.00,True
ubereats,2022-05-31,2022-05-16,2022-05-31,7,6,6,0,True,209.39,209.39,0.00,True,-41.97,-41.97,0.00,True,16.22,16.22,0.00,True,16.22,16.22,0.00,True,209.39,209.39,0.00,True,0.00,0.00,0.00,True,115.17,115.17,0.00,True,94.22,115.17,115.17,0.00,115.16,115.16,0.01,True
ubereats,2022-06-15,2022-06-01,2022-06-15,3,2,2,0,True,40.47,40.47,0.00,True,-4.90,-4.90,0.00,True,3.14,3.14,0.00,True,3.14,3.14,0.00,True,40.47,40.47,0.00,True,0.00,0.00,0.00,True,22.26,22.26,0.00,True,18.21,22.26,22.26,0.00,22.26,22.26,0.00,True
ubereats,2022-06-30,2022-06-16,2022-06-30,11,10,10,0,True,443.70,443.70,0.00,True,-18.99,-18.99,0.00,True,34.39,34.39,0.00,True,31.66,31.66,0.00,True,443.70,443.70,0.00,True,8.40,8.40,0.00,True,252.43,252.43,0.00,True,199.67,244.03,244.03,0.00,244.04,252.44,-0.01,True
ubereats,2022-07-15,2022-07-01,2022-07-15,5,5,5,0,True,128.92,128.92,0.00,True,0.00,0.00,0.00,True,9.98,9.98,0.00,True,9.98,9.98,0.00,True,128.92,128.92,0.00,True,0.00,0.00,0.00,True,70.91,70.91,0.00,True,58.01,70.91,70.91,0.00,70.91,70.91,0.00,True
ubereats,2022-07-31,2022-07-16,2022-07-31,1,1,1,0,True,22.99,22.99,0.00,True,0.00,0.00,0.00,True,1.78,1.78,0.00,True,1.78,1.78,0.00,True,22.99,22.99,0.00,True,0.00,0.00,0.00,True,12.64,12.64,0.00,True,10.35,12.64,12.64,0.00,12.64,12.64,-0.00,True
ubereats,2022-08-31,2022-08-16,2022-08-31,5,5,5,0,True,172.41,172.41,0.00,True,0.00,0.00,0.00,True,13.36,13.36,0.00,True,13.36,13.36,0.00,True,172.41,172.41,0.00,True,0.00,0.00,0.00,True,94.83,94.83,0.00,True,77.58,94.83,94.83,0.00,94.83,94.83,0.00,True
ubereats,2022-09-15,2022-09-01,2022-09-15,5,4,4,0,True,103.95,103.95,0.00,True,-39.99,-39.99,0.00,True,9.14,9.14,0.00,True,9.14,9.14,0.00,True,117.94,117.94,0.00,True,0.00,0.00,0.00,True,64.87,64.87,0.00,True,53.07,64.87,64.87,0.00,64.87,64.87,0.00,True
ubereats,2022-09-30,2022-09-16,2022-09-30,6,4,4,0,True,114.93,114.93,0.00,True,-33.98,-33.98,0.00,True,8.91,8.91,0.00,True,8.91,8.91,0.00,True,114.93,114.93,0.00,True,0.00,0.00,0.00,True,63.21,63.21,0.00,True,51.72,63.21,63.21,0.00,63.21,63.21,-0.00,True
ubereats,2022-10-15,2022-10-01,2022-10-15,1,1,1,0,True,41.97,41.97,0.00,True,0.00,0.00,0.00,True,3.25,3.25,0.00,True,3.25,3.25,0.00,True,41.97,41.97,0.00,True,0.00,0.00,0.00,True,23.08,23.08,0.00,True,18.89,23.08,0.00,0.00,23.08,23.08,-0.00,True
ubereats,2022-10-31,2022-10-16,2022-10-31,2,2,2,0,True,45.96,45.96,0.00,True,0.00,0.00,0.00,True,3.56,3.56,0.00,True,3.56,3.56,0.00,True,45.96,45.96,0.00,True,0.00,0.00,0.00,True,25.28,25.28,0.00,True,20.68,25.28,0.00,0.00,25.28,25.28,0.00,True
ubereats,2022-11-15,2022-11-01,2022-11-15,4,3,3,0,True,163.95,163.95,0.00,True,-38.99,-38.99,0.00,True,12.71,12.71,0.00,True,12.71,12.71,0.00,True,163.95,163.95,0.00,True,0.00,0.00,0.00,True,90.17,90.17,0.00,True,73.78,90.17,0.00,0.00,90.17,90.17,-0.00,True
ubereats,2022-11-30,2022-11-16,2022-11-30,2,1,1,0,True,52.98,52.98,0.00,True,-4.00,-4.00,0.00,True,4.11,4.11,0.00,True,4.11,4.11,0.00,True,52.98,52.98,0.00,True,0.00,0.00,0.00,True,29.14,29.14,0.00,True,23.84,29.14,0.00,0.00,29.14,29.14,0.00,True
ubereats,2022-12-15,2022-12-01,2022-12-15,5,4,4,0,True,111.92,111.92,0.00,True,-5.99,-5.99,0.00,True,8.68,8.68,0.00,True,8.68,8.68,0.00,True,111.92,111.92,0.00,True,0.00,0.00,0.00,True,61.56,61.56,0.00,True,50.36,61.56,0.00,0.00,61.56,61.56,0.00,True
ubereats,2022-12-31,2022-12-16,2022-12-31,0,0,0,0,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,True,0.00,0.00,0.00,0.00,0.00,0.00,0.00,True
ubereats,2023-01-15,2023-01-01,2023-01-15,4,3,3,0,True,146.95,146.95,0.00,True,-5.00,-5.00,0.00,True,11.39,11.39,0.00,True,11.39,11.39,0.00,True,146.95,146.95,0.00,True,0.00,0.00,0.00,True,80.82,80.82,0.00,True,66.13,80.82,0.00,0.00,80.82,80.82,-0.00,True
ubereats,2023-01-31,2023-01-16,2023-01-31,4,4,4,0,True,69.95,69.95,0.00,True,0.00,0.00,0.00,True,9.22,9.22,0.00,True,9.22,9.22,0.00,True,118.93,118.93,0.00,True,0.00,0.00,0.00,True,65.41,65.41,0.00,True,53.52,65.41,0.00,0.00,65.41,65.41,-0.00,True
whitelabel,2022-07-31,2022-07-16,2022-07-31,1,1,1,0,True,29.50,29.50,0.00,True,0.00,0.00,0.00,True,1.20,1.20,0.00,True,1.20,1.20,0.00,True,29.50,29.50,0.00,True,0.00,0.00,0.00,True,16.22,16.22,0.00,True,0.00,16.22,16.22,0.00,16.23,16.23,-0.01,True
whitelabel,2022-09-30,2022-09-16,2022-09-30,1,1,1,0,True,28.00,28.00,0.00,True,0.00,0.00,0.00,True,2.20,2.20,0.00,True,2.20,2.20,0.00,True,28.00,28.00,0.00,True,0.00,0.00,0.00,True,15.40,15.40,0.00,True,0.00,15.40,15.40,0.00,15.40,15.40,0.00,True
