Transaction Type,Date,Order Number,Store,Location,Delivery Platform,Subtotal,Commission,Discounts,Adjustments,Taxes,Tip,Other,You earned,Notes
Delivery,11/29/21,#64bcdfc3,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.95,-$7.98,$0.00,$0.00,$1.55,,,$13.52,
Delivery,11/29/21,#551C9,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.99,-$5.20,$0.00,$0.00,$0.00,,,$7.79,
Delivery,11/29/21,#49396968,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.99,-$8.80,$0.00,$0.00,$1.70,,,$14.89,
Delivery,11/29/21,#63bd1dbc,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$140.19,-$47.78,-$8.00,$0.00,$10.24,,,$94.65,
Delivery,11/28/21,#c56fb93f,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.95,-$6.38,$0.00,$0.00,$1.24,,,$10.81,
Delivery,11/28/21,#ede4d3d9,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$32.00,-$12.80,$0.00,$0.00,$2.48,,,$21.68,
Delivery,11/28/21,#A4666,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$38.00,-$12.20,-$3.00,$0.00,$0.00,,,$22.80,
Delivery,11/28/21,#322A1,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$24.99,-$7.00,-$3.00,$0.00,$0.00,,,$14.99,
Delivery,11/28/21,#b0216acd,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.99,-$8.80,$0.00,$0.00,$1.70,,,$14.89,
Delivery,11/28/21,#a5b7ea3b,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$31.97,-$6.99,-$5.79,$0.00,$2.11,,,$21.30,
Delivery,11/28/21,#A485D,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$27.99,-$8.20,-$3.00,$0.00,$0.00,,,$16.79,
Delivery,11/28/21,#D088E,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$50.00,-$17.00,-$3.00,$0.00,$0.00,,,$30.00,
Delivery,11/28/21,#ebb30e95,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$44.48,-$17.79,$0.00,$0.00,$3.45,,,$30.14,
Delivery,11/28/21,#7a4da4ac,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.74,-$10.29,$0.00,$0.00,$1.99,,,$17.44,
Delivery,11/28/21,#513517200715014,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$18.95,-$2.43,-$5.00,$0.00,$1.08,,,$12.60,
Delivery,11/28/21,#1ad2ce91,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$38.98,-$9.44,-$5.85,$0.00,$2.57,,,$26.26,
Delivery,11/28/21,#B51B9,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$18.98,-$4.59,-$3.00,$0.00,$0.00,,,$11.39,
Delivery,11/28/21,#755817204970693,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$54.48,-$16.64,-$5.00,$0.00,$3.83,,,$36.67,
Delivery,11/28/21,#2d623be6,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$40.99,-$9.94,-$6.15,$0.00,$2.70,,,$27.60,
Delivery,11/28/21,#119BD,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$48.95,-$19.58,$0.00,$0.00,$0.00,,,$29.37,
Delivery,11/28/21,#ABE12,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$22.98,-$6.19,-$3.00,$0.00,$0.00,,,$13.79,
Delivery,11/28/21,#075a9aec,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.00,-$5.20,$0.00,$0.00,$1.01,,,$8.81,
Delivery,11/27/21,#9c3cf8b9,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.48,-$9.39,$0.00,$0.00,$1.82,,,$15.91,
Delivery,11/27/21,#15a20ead,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$15.49,-$6.20,$0.00,$0.00,$1.20,,,$10.49,
Delivery,11/27/21,#94a49571,Cupid's Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.95,-$7.98,$0.00,$0.00,$1.55,,,$13.52,
Delivery,11/27/21,#84b76fe1,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.95,-$5.18,$0.00,$0.00,$1.00,,,$8.77,
Delivery,11/27/21,#98CAF,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$20.48,-$8.19,$0.00,$0.00,$0.00,,,$12.29,
Delivery,11/27/21,#536217199680897,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$20.99,-$3.25,-$5.00,$0.00,$1.24,,,$13.98,
Delivery,11/27/21,#C9916,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$21.48,-$5.59,-$3.00,$0.00,$0.00,,,$12.89,
Delivery,11/27/21,#5e55aba4,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$36.00,-$14.40,$0.00,$0.00,$2.79,,,$24.39,
Delivery,11/27/21,#c8a0f520,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.95,-$5.58,$0.00,$0.00,$1.08,,,$9.45,
Delivery,11/27/21,#1f4513ef,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.97,-$11.59,$0.00,$0.00,$2.25,,,$19.63,
Delivery,11/27/21,#A9D54,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$62.98,-$22.19,-$3.00,$0.00,$0.00,,,$37.79,
Delivery,11/27/21,#ec51067c,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$32.73,-$13.09,$0.00,$0.00,$2.54,,,$22.18,
Delivery,11/27/21,#BD6F1,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$18.98,-$4.59,-$3.00,$0.00,$0.00,,,$11.39,
Delivery,11/27/21,#252AA,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$7.39,-$3.00,$0.00,$0.00,,,$15.59,
Delivery,11/27/21,#67338cf2,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$14.95,-$5.98,$0.00,$0.00,$1.16,,,$10.13,
Delivery,11/27/21,#3d3633f0,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$32.15,-$7.74,-$4.82,$0.00,$2.12,,,$21.71,
Delivery,11/26/21,#6056f86a,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$27.90,-$11.16,$0.00,$0.00,$2.16,,,$18.90,
Delivery,11/26/21,#6528C,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$20.99,-$5.40,-$3.00,$0.00,$0.00,,,$12.59,
Delivery,11/26/21,#31C87,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$28.00,-$11.20,$0.00,$0.00,$0.00,,,$16.80,
Delivery,11/26/21,#9A5F3,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.99,-$3.40,-$3.00,$0.00,$0.00,,,$9.59,
Delivery,11/26/21,#55a53aaf,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.49,-$5.00,$0.00,$0.00,$0.97,,,$8.46,
Delivery,11/26/21,#71A30,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$23.00,-$9.20,$0.00,$0.00,$0.00,,,$13.80,
Delivery,11/26/21,#0ae90a66,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$12.99,-$5.20,$0.00,$0.00,$1.01,,,$8.80,
Delivery,11/26/21,#d4d6c2d8,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.00,-$11.20,$0.00,$0.00,$2.17,,,$18.97,
Delivery,11/26/21,#30376,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$26.00,-$7.40,-$3.00,$0.00,$0.00,,,$15.60,
Delivery,11/26/21,#06f2cf57,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$36.98,-$14.79,$0.00,$0.00,$2.87,,,$25.06,
Delivery,11/26/21,#a266342c,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$28.90,-$11.56,$0.00,$0.00,$2.24,,,$19.58,
Delivery,11/26/21,#b201489e,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$32.40,-$7.80,-$4.86,$0.00,$2.13,,,$21.87,
Delivery,11/26/21,#ef01dedf,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$14.95,-$5.98,$0.00,$0.00,$1.16,,,$10.13,
Delivery,11/26/21,#c29464f9,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$44.96,-$10.95,-$6.74,$0.00,$2.96,,,$30.23,
Delivery,11/26/21,#252D9,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$36.00,-$11.40,-$3.00,$0.00,$0.00,,,$21.60,
Delivery,11/26/21,#94b9ef19,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.99,-$5.60,$0.00,$0.00,$1.08,,,$9.47,
Delivery,11/24/21,#1bb7997e,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.48,-$8.59,$0.00,$0.00,$1.66,,,$14.55,
Delivery,11/24/21,#80d14d32,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$25.74,-$10.29,$0.00,$0.00,$1.99,,,$17.44,
Delivery,11/24/21,#bbfc8e42,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$21.99,-$8.80,$0.00,$0.00,$1.70,,,$14.89,
Delivery,11/24/21,#b64b72e9,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.00,-$9.20,$0.00,$0.00,$1.78,,,$15.58,
Delivery,11/24/21,#173B1,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$44.98,-$14.99,-$3.00,$0.00,$0.00,,,$26.99,
Delivery,11/24/21,#48f1b93b,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$18.98,-$7.59,$0.00,$0.00,$1.47,,,$12.86,
Delivery,11/24/21,#E5658,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$54.97,-$18.99,-$3.00,$0.00,$0.00,,,$32.98,
Delivery,11/24/21,#89d3ce8f,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$16.20,-$6.48,$0.00,$0.00,$1.26,,,$10.98,
Delivery,11/24/21,#174617164935769,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$17.99,-$2.05,-$5.00,$0.00,$1.01,,,$11.95,
Delivery,11/24/21,#922ae5f8,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$60.95,-$16.09,-$8.00,$0.00,$4.10,,,$40.97,
Delivery,11/24/21,#96F3B,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$20.99,-$5.40,-$3.00,$0.00,$0.00,,,$12.59,
Delivery,11/24/21,#2b741631,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.74,-$7.89,$0.00,$0.00,$1.53,,,$13.38,
Delivery,11/24/21,#9973e5bf,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$39.97,-$8.99,-$6.99,$0.00,$2.63,,,$26.62,
Delivery,11/24/21,#94b82f51,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$61.96,-$24.78,$0.00,$0.00,$4.80,,,$41.98,
Delivery,11/24/21,#6644d8b0,The Hot Italian,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$23.98,-$9.59,$0.00,$0.00,$1.86,,,$16.25,
Delivery,11/24/21,#503717162198187,Killer Wings,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$25.99,-$7.31,-$3.00,$0.00,$1.78,,,$17.46,
Delivery,11/24/21,#5fb83fb2,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$70.98,-$23.72,$0.00,-$11.67,$5.50,,,$41.09,
Delivery,11/24/21,#ed0feb74,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$46.72,-$18.69,$0.00,$0.00,$3.62,,,$31.65,
Delivery,11/24/21,#5dd5f2b3,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$68.00,-$27.20,$0.00,$0.00,$5.27,,,$46.07,
Delivery,11/23/21,#bfea0ebc,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$52.22,-$20.89,$0.00,$0.00,$4.05,,,$35.38,
Delivery,11/23/21,#E692B,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$38.47,-$12.39,-$3.00,$0.00,$0.00,,,$23.08,
Delivery,11/23/21,#54763,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$5.00,-$3.00,$0.00,$0.00,,,$11.99,
Delivery,11/23/21,#27FF3,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$15.00,-$6.00,$0.00,$0.00,$0.00,,,$9.00,
Delivery,11/23/21,#825e72aa,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$26.90,-$10.76,$0.00,$0.00,$2.08,,,$18.22,
Delivery,11/23/21,#4A158,Just Wing It.,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$16.99,-$3.80,-$3.00,$0.00,$0.00,,,$10.19,
Delivery,11/23/21,#38735,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.95,-$4.18,-$3.00,$0.00,$0.00,,,$10.77,
Delivery,11/23/21,#102C6,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$26.90,-$7.76,-$3.00,$0.00,$0.00,,,$16.14,
Delivery,11/23/21,#13c94ecb,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$11.99,-$4.80,$0.00,$0.00,$0.93,,,$8.12,
Delivery,11/23/21,#280917153918453,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Grubhub,$48.00,-$14.04,-$5.00,$0.00,$3.33,,,$32.29,
Delivery,11/23/21,#F690B,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$20.48,-$5.19,-$3.00,$0.00,$0.00,,,$12.29,
Delivery,11/23/21,#D6F39,Ma's Meatballs,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$19.99,-$5.00,-$3.00,$0.00,$0.00,,,$11.99,
Delivery,11/23/21,#6B85A,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$25.98,-$7.39,-$3.00,$0.00,$0.00,,,$15.59,
Delivery,11/23/21,#D53FD,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.45,-$3.98,-$3.00,$0.00,$0.00,,,$10.47,
Delivery,11/23/21,#DCB15,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.99,-$7.20,$0.00,$0.00,$0.00,,,$10.79,
Delivery,11/23/21,#b37fafd0,The United Pepperonis of Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$20.99,-$8.40,$0.00,$0.00,$1.63,,,$14.22,
Delivery,11/23/21,#8ce81100,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$73.00,-$29.20,$0.00,$0.00,$5.66,,,$49.46,
Delivery,11/23/21,#7eee0fe9,Pasta Pirozzi,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$22.48,-$8.99,$0.00,$0.00,$1.74,,,$15.23,
Delivery,11/22/21,#8C41E,Philly Fresh Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$17.98,-$7.19,$0.00,$0.00,$0.00,,,$10.79,
Delivery,11/22/21,#34866,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.95,-$5.18,$0.00,$0.00,$0.00,,,$7.77,
Delivery,11/22/21,#8649D,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$28.48,-$8.39,-$3.00,$0.00,$0.00,,,$17.09,
Delivery,11/22/21,#388b6765,Cheeky's Cheesesteaks,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$19.48,-$7.79,$0.00,$0.00,$1.51,,,$13.20,
Delivery,11/22/21,#B4FD8,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$12.95,-$5.18,$0.00,$0.00,$0.00,,,$7.77,
Delivery,11/22/21,#C5528,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$31.90,-$12.76,$0.00,$0.00,$0.00,,,$19.14,
Delivery,11/22/21,#682b87b8,Mothership Pizza,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$13.00,-$5.20,$0.00,$0.00,$1.01,,,$8.81,
Delivery,11/22/21,#054eb9d5,Fusilli Fusilli,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",DoorDash,$48.46,-$11.12,-$8.26,$0.00,$3.19,,,$32.27,
Delivery,11/22/21,#3468C,Brooklyn Calzones,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$34.40,-$10.76,-$3.00,$0.00,$0.00,,,$20.64,
Delivery,11/22/21,#84D2E,F*CKING GOOD PIZZA,"20491 Alton Pkwy, Suite B, Lake Forest, CA 92630",Uber Eats,$53.46,-$21.38,$0.00,$0.00,$0.00,,,$32.08,
