Statement Date:,,,11/30/21,,,Merchant ID:,4445028946467,,
11/13/2021,,11/11/2021 9:46 PM,,,68.31,0.00,1.79,66.52,
,,11/12/2021 4:17 AM,,,68.74,0.00,1.96,66.78,
11/14/2021,,11/12/2021 9:47 PM,,,"1,253.95",0.00,35.18,"1,218.77",
,,11/12/2021 9:47 PM,,,592.81,0.00,16.86,575.95,
,,11/13/2021 4:22 AM,,,287.45,0.00,7.06,280.39,
11/15/2021,,11/13/2021 9:46 PM,,,451.68,0.00,12.49,439.19,
,,11/13/2021 9:46 PM,,,788.58,0.00,22.69,765.89,
11/16/2021,,11/14/2021 9:52 PM,,,110.69,0.00,3.26,107.43,
,,11/14/2021 9:52 PM,,,853.57,0.00,23.09,830.48,
,,11/15/2021 4:17 AM,,,28.00,0.00,0.82,27.18,
,,11/16/2021 4:13 AM,,,13.49,0.00,0.47,13.02,
11/17/2021,,11/16/2021 4:13 AM,,,811.96,0.00,21.27,790.69,
11/18/2021,,11/16/2021 9:38 PM,,,141.23,0.00,4.15,137.08,
,,11/16/2021 9:38 PM,,,593.07,0.00,15.59,577.48,

,11/17/2021 4:13 AM,140.79,0.00,4.13,136.66
11/19/2021,11/17/2021 9:23 PM,372.45,0.00,11.41,361.04
,11/17/2021 9:23 PM,41.58,0.00,1.30,40.28
,11/18/2021 4:18 AM,56.77,0.00,1.67,55.10
11/20/2021,11/18/2021 9:42 PM,854.36,0.00,23.03,831.33
,11/18/2021 9:42 PM,79.22,0.00,2.20,77.02
,11/19/2021 4:19 AM,93.40,0.00,2.69,90.71
,11/19/2021 9:38 PM,370.97,0.00,11.48,359.49
11/21/2021,11/19/2021 9:38 PM,"1,327.66",0.00,36.94,"1,290.72"
,11/20/2021 9:43 PM,"1,315.11",0.00,34.15,"1,280.96"
11/22/2021,11/20/2021 9:43 PM,167.62,0.00,5.05,162.57
11/23/2021,11/21/2021 9:42 PM,703.73,0.00,18.60,685.13
,11/21/2021 9:42 PM,21.53,0.00,0.67,20.86
,11/22/2021 4:20 AM,132.37,0.00,3.78,128.59
,11/22/2021 4:20 AM,64.64,0.00,1.45,63.19
11/24/2021,11/22/2021 9:35 PM,99.93,0.00,3.20,96.73
,11/22/2021 9:35 PM,"1,043.22",0.00,28.76,"1,014.46"
11/25/2021,11/23/2021 9:33 PM,844.91,0.00,23.51,821.40
,11/24/2021 4:13 AM,100.00,0.00,2.55,97.45
11/26/2021,11/24/2021 9:05 PM,840.42,100.00,25.24,815.18
,11/24/2021 9:05 PM,62.12,0.00,1.64,60.48
11/28/2021,11/26/2021 9:35 PM,"1,033.62",0.00,27.14,"1,006.48"
,11/26/2021 9:35 PM,244.36,0.00,7.13,237.23
,11/27/2021 4:18 AM,16.15,0.00,0.54,15.61
11/29/2021,11/28/2021 4:21 AM,764.72,0.00,19.27,745.45
,11/28/2021 4:21 AM,214.36,0.00,5.90,208.46
11/30/2021,11/29/2021 4:16 AM,869.08,0.00,23.01,846.07
,11/29/2021 4:16 AM,317.27,0.00,8.82,308.45
,Total,"30,763.19",100.00,840.48,"29,822.71"

Summary,
Previous Credit Card Balance,0.16
Monthly Adjustments,0.05
Refund Adjustments,1.75
Payments,0.00
Credit Card Balance,1.96
