"Delivery Date","Order #",Location,"Food Total",Period,"Check Date"
06/12/2025,2191610,"Ameci - Lake Forest",219.97,2025-14,07/04/2025
06/04/2025,2186126,"Ameci - Lake Forest",159.99,2025-13,06/20/2025
05/30/2025,2176200,"Ameci - Lake Forest",271.64,2025-13,06/20/2025
05/29/2025,2181091,"Ameci - Lake Forest",915.62,2025-13,06/20/2025
05/29/2025,2181113,"Ameci - Lake Forest",743.00,2025-13,06/20/2025
05/27/2025,2179958,"Aroma Pizza & Pasta",51.46,2025-13,06/20/2025
05/24/2025,2178382,"Ameci - Lake Forest",377.91,2025-12,06/06/2025
05/24/2025,2178391,"Ameci - Lake Forest",198.94,2025-12,06/06/2025
05/23/2025,2170290,"Aroma Pizza & Pasta",121.40,2025-12,06/06/2025
05/22/2025,2170696,"Ameci - Lake Forest",236.09,2025-12,06/06/2025
05/20/2025,2174139,"Aroma Pizza & Pasta",51.46,2025-12,06/06/2025
05/16/2025,2172878,"Ameci - Lake Forest",399.98,2025-12,06/06/2025
05/12/2025,2168978,"Ameci - Lake Forest",402.95,2025-12,06/06/2025
05/09/2025,2166944,"Ameci - Lake Forest",149.88,2025-11,05/23/2025
05/07/2025,2166414,"Ameci - Lake Forest",159.99,2025-11,05/23/2025
05/01/2025,2160479,"Ameci - Lake Forest","2,394.48",2025-11,05/23/2025
05/01/2025,2161107,"Ameci - Lake Forest",37.98,2025-11,05/23/2025
04/21/2025,2148732,"Aroma Pizza & Pasta",296.66,2025-10,05/09/2025
04/21/2025,2151488,"Ameci - Lake Forest",119.20,2025-10,05/09/2025
04/18/2025,2143395,"Aroma Pizza & Pasta",137.90,2025-10,05/09/2025
04/14/2025,2146932,"Ameci - Lake Forest",210.87,2025-10,05/09/2025
04/12/2025,2146460,"Ameci - Lake Forest",664.78,2025-9,04/25/2025
04/12/2025,2146467,"Ameci - Lake Forest",248.94,2025-9,04/25/2025
03/26/2025,2127362,"Aroma Pizza & Pasta",338.99,2025-8,04/11/2025
03/19/2025,2128527,"Ameci - Lake Forest",709.91,2025-8,04/11/2025
03/14/2025,2116924,"Aroma Pizza & Pasta",104.38,2025-7,03/28/2025
02/26/2025,2105282,"Aroma Pizza & Pasta",138.42,2025-6,03/14/2025
02/24/2025,2106149,"Aroma Pizza & Pasta",132.86,2025-6,03/14/2025
02/19/2025,2104371,"Aroma Pizza & Pasta",359.87,2025-6,03/14/2025
02/18/2025,2104368,"Aroma Pizza & Pasta",275.90,2025-6,03/14/2025
02/05/2025,2097326,"Aroma Pizza & Pasta",269.06,2025-5,02/28/2025
02/03/2025,2093681,"Aroma Pizza & Pasta",511.30,2025-5,02/28/2025
01/31/2025,2085446,"Aroma Pizza & Pasta",124.89,2025-4,02/14/2025
01/29/2025,2084881,"Aroma Pizza & Pasta",278.43,2025-4,02/14/2025
01/28/2025,2085697,"Ameci - Lake Forest",353.13,2025-4,02/14/2025
01/03/2025,2071315,"Ameci - Lake Forest",51.70,2025-2,01/17/2025
12/13/2024,2066749,"Aroma Pizza & Pasta",262.67,2025-1,01/03/2025
12/13/2024,2066771,"Aroma Pizza & Pasta",12.99,2025-1,01/03/2025
12/12/2024,2058693,"Aroma Pizza & Pasta",363.76,2025-1,01/03/2025
12/11/2024,2065459,"Aroma Pizza & Pasta",0.25,2025-1,01/03/2025
12/11/2024,2065098,"Aroma Pizza & Pasta",269.99,2025-1,01/03/2025
12/09/2024,2059490,"Aroma Pizza & Pasta",798.89,2025-1,01/03/2025
12/04/2024,2054844,"Ameci - Lake Forest",84.16,2024-26,12/20/2024
11/25/2024,2051184,"Aroma Pizza & Pasta",141.36,2024-26,12/20/2024
11/22/2024,2053646,"Aroma Pizza & Pasta",240.25,2024-25,12/06/2024
11/14/2024,2040025,"Aroma Pizza & Pasta",170.87,2024-25,12/06/2024
11/06/2024,2034903,"Ameci - Lake Forest",123.56,2024-24,11/22/2024
11/01/2024,2037906,"Aroma Pizza & Pasta",158.88,2024-24,11/22/2024
10/31/2024,2029519,"Aroma Pizza & Pasta",195.60,2024-24,11/22/2024
10/30/2024,2029543,"Aroma Pizza & Pasta",270.17,2024-24,11/22/2024
10/21/2024,2024953,"Aroma Pizza & Pasta",366.95,2024-23,11/08/2024
10/18/2024,2019401,"Aroma Pizza & Pasta",203.90,2024-23,11/08/2024
10/17/2024,2018760,"Aroma Pizza & Pasta",87.47,2024-23,11/08/2024
10/15/2024,2023885,"Aroma Pizza & Pasta",424.95,2024-23,11/08/2024
10/11/2024,2022409,"Ameci - Lake Forest",279.80,2024-22,10/25/2024
10/09/2024,2013630,"Ameci - Lake Forest",186.29,2024-22,10/25/2024
10/03/2024,2008386,"Aroma Pizza & Pasta",123.58,2024-22,10/25/2024
09/27/2024,2003657,"Aroma Pizza & Pasta",237.24,2024-21,10/11/2024
09/25/2024,2003997,"Ameci - Lake Forest",106.53,2024-21,10/11/2024
09/19/2024,1998098,"Aroma Pizza & Pasta",366.64,2024-21,10/11/2024
09/19/2024,1997590,"Aroma Pizza & Pasta",381.96,2024-21,10/11/2024
09/19/2024,1998284,"Ameci - Lake Forest",78.74,2024-21,10/11/2024
09/13/2024,1992871,"Aroma Pizza & Pasta",400.87,2024-20,09/27/2024
09/11/2024,1992219,"Ameci - Lake Forest",402.09,2024-20,09/27/2024
09/06/2024,1988412,"Ameci - Lake Forest",331.14,2024-20,09/27/2024
09/05/2024,1995145,"Aroma Pizza & Pasta",241.04,2024-20,09/27/2024
09/05/2024,1988407,"Aroma Pizza & Pasta",138.42,2024-20,09/27/2024
09/03/2024,1991572,"Aroma Pizza & Pasta",140.89,2024-20,09/27/2024
08/29/2024,1983522,"Aroma Pizza & Pasta",186.81,2024-19,09/13/2024
08/27/2024,1988248,"Aroma Pizza & Pasta",127.68,2024-19,09/13/2024
08/26/2024,1984233,"Ameci - Lake Forest",117.60,2024-19,09/13/2024
08/22/2024,1978316,"Aroma Pizza & Pasta",316.77,2024-19,09/13/2024
08/20/2024,1978378,"Aroma Pizza & Pasta",138.89,2024-19,09/13/2024
08/16/2024,1973828,"Aroma Pizza & Pasta",307.61,2024-18,08/30/2024
08/14/2024,1973197,"Ameci - Lake Forest",386.29,2024-18,08/30/2024
08/14/2024,1973856,"Aroma Pizza & Pasta",143.88,2024-18,08/30/2024
08/09/2024,1968471,"Ameci - Lake Forest",295.26,2024-18,08/30/2024
08/08/2024,1969086,"Ameci - Lake Forest",188.66,2024-18,08/30/2024
08/08/2024,1968465,"Aroma Pizza & Pasta",247.87,2024-18,08/30/2024
08/05/2024,1968497,"Aroma Pizza & Pasta",234.29,2024-18,08/30/2024
07/31/2024,1970074,"Aroma Pizza & Pasta",347.93,2024-17,08/16/2024
07/25/2024,1958379,"Aroma Pizza & Pasta",233.29,2024-17,08/16/2024
07/19/2024,1953805,"Aroma Pizza & Pasta",310.01,2024-16,08/02/2024
07/17/2024,1953164,"Ameci - Lake Forest",176.63,2024-16,08/02/2024
07/15/2024,1953222,"Ameci - Lake Forest",355.00,2024-16,08/02/2024
07/12/2024,1949696,"Ameci - Lake Forest",355.91,2024-16,08/02/2024
07/11/2024,1949691,"Aroma Pizza & Pasta",188.54,2024-16,08/02/2024
07/08/2024,1949719,"Aroma Pizza & Pasta",324.85,2024-16,08/02/2024
07/03/2024,1945715,"Aroma Pizza & Pasta",309.55,2024-15,07/19/2024
06/27/2024,1940894,"Aroma Pizza & Pasta",315.74,2024-15,07/19/2024
06/27/2024,1940399,"Aroma Pizza & Pasta",409.87,2024-15,07/19/2024
06/20/2024,1935490,"Ameci - Lake Forest",267.00,2024-14,07/05/2024
06/18/2024,1936340,"Aroma Pizza & Pasta",138.56,2024-14,07/05/2024
06/14/2024,1930523,"Ameci - Lake Forest",349.44,2024-14,07/05/2024
06/13/2024,1930517,"Aroma Pizza & Pasta",402.08,2024-14,07/05/2024
06/12/2024,1931731,"Aroma Pizza & Pasta",181.10,2024-14,07/05/2024
06/10/2024,1931157,"Aroma Pizza & Pasta",303.79,2024-14,07/05/2024
06/05/2024,1925218,"Aroma Pizza & Pasta",234.25,2024-13,06/21/2024
06/04/2024,1925193,"Ameci - Lake Forest",356.67,2024-13,06/21/2024
05/30/2024,1921310,"Aroma Pizza & Pasta",57.44,2024-13,06/21/2024
05/29/2024,1924142,"Aroma Pizza & Pasta",58.96,2024-13,06/21/2024
05/29/2024,1927292,"Ameci - Lake Forest",220.98,2024-13,06/21/2024
05/29/2024,1922352,"Aroma Pizza & Pasta",92.92,2024-13,06/21/2024
05/24/2024,1916744,"Aroma Pizza & Pasta",347.60,2024-12,06/07/2024
05/24/2024,1924623,"Aroma Pizza & Pasta",11.49,2024-12,06/07/2024
05/23/2024,1916095,"Ameci - Lake Forest",403.28,2024-12,06/07/2024
05/22/2024,1917201,"Aroma Pizza & Pasta",405.35,2024-12,06/07/2024
05/21/2024,1917054,"Aroma Pizza & Pasta",189.16,2024-12,06/07/2024
05/17/2024,1910570,"Ameci - Lake Forest",355.25,2024-12,06/07/2024
05/16/2024,1910564,"Aroma Pizza & Pasta",286.79,2024-12,06/07/2024
05/13/2024,1911175,"Aroma Pizza & Pasta",213.85,2024-12,06/07/2024
05/13/2024,1910600,"Ameci - Lake Forest",292.41,2024-12,06/07/2024
05/09/2024,1905865,"Aroma Pizza & Pasta",238.27,2024-11,05/24/2024
05/07/2024,1905207,"Ameci - Lake Forest",267.44,2024-11,05/24/2024
05/02/2024,1899515,"Aroma Pizza & Pasta",349.48,2024-11,05/24/2024
04/26/2024,1894736,"Aroma Pizza & Pasta",290.50,2024-10,05/10/2024
04/25/2024,1893976,"Ameci - Lake Forest",413.65,2024-10,05/10/2024
04/25/2024,1894833,"Aroma Pizza & Pasta",171.87,2024-10,05/10/2024
04/24/2024,1901342,"Ameci - Lake Forest",388.92,2024-10,05/10/2024
04/24/2024,1894015,"Ameci - Lake Forest",222.37,2024-10,05/10/2024
04/23/2024,1894054,"Aroma Pizza & Pasta",402.15,2024-10,05/10/2024
04/19/2024,1888675,"Ameci - Lake Forest",364.29,2024-10,05/10/2024
04/19/2024,1889371,"Aroma Pizza & Pasta",406.63,2024-10,05/10/2024
04/18/2024,1888669,"Aroma Pizza & Pasta",224.05,2024-10,05/10/2024
04/15/2024,1888711,"Aroma Pizza & Pasta",351.70,2024-10,05/10/2024
04/09/2024,1883783,"Ameci - Lake Forest",301.72,2024-9,04/26/2024
04/08/2024,1883832,"Aroma Pizza & Pasta",237.98,2024-9,04/26/2024
04/04/2024,1886166,"Ameci - Lake Forest",298.84,2024-9,04/26/2024
04/04/2024,1878884,"Aroma Pizza & Pasta",242.30,2024-9,04/26/2024
04/01/2024,1882968,"Aroma Pizza & Pasta",339.15,2024-9,04/26/2024
03/29/2024,1875928,"Aroma Pizza & Pasta",147.36,2024-8,04/12/2024
03/28/2024,1882070,"Aroma Pizza & Pasta",0.25,2024-8,04/12/2024
03/28/2024,1877094,"Ameci - Lake Forest",290.95,2024-8,04/12/2024
03/28/2024,1873699,"Ameci - Lake Forest",391.79,2024-8,04/12/2024
03/28/2024,1874548,"Aroma Pizza & Pasta",190.84,2024-8,04/12/2024
03/27/2024,1873738,"Ameci - Lake Forest",179.71,2024-8,04/12/2024
03/22/2024,1868357,"Ameci - Lake Forest",358.76,2024-8,04/12/2024
03/22/2024,1869098,"Aroma Pizza & Pasta",409.50,2024-8,04/12/2024
03/21/2024,1868351,"Aroma Pizza & Pasta",176.03,2024-8,04/12/2024
03/18/2024,1868398,"Ameci - Lake Forest",257.24,2024-8,04/12/2024
03/15/2024,1871747,"Ameci - Lake Forest",179.97,2024-7,03/29/2024
03/14/2024,1863837,"Aroma Pizza & Pasta",142.21,2024-7,03/29/2024
03/13/2024,1866097,"Aroma Pizza & Pasta",313.26,2024-7,03/29/2024
03/12/2024,1862998,"Ameci - Lake Forest",216.70,2024-7,03/29/2024
03/12/2024,1863068,"Aroma Pizza & Pasta",409.39,2024-7,03/29/2024
03/11/2024,1863047,"Aroma Pizza & Pasta",222.24,2024-7,03/29/2024
03/08/2024,1858620,"Aroma Pizza & Pasta",194.09,2024-7,03/29/2024
03/07/2024,1857358,"Aroma Pizza & Pasta",409.43,2024-7,03/29/2024
03/01/2024,1851685,"Ameci - Lake Forest",401.13,2024-6,03/15/2024
02/29/2024,1852527,"Aroma Pizza & Pasta",90.40,2024-6,03/15/2024
02/28/2024,1851718,"Ameci - Lake Forest",298.96,2024-6,03/15/2024
02/27/2024,1856053,"Ameci - Lake Forest",884.41,2024-6,03/15/2024
02/27/2024,1856548,"Aroma Pizza & Pasta",234.70,2024-6,03/15/2024
02/23/2024,1847068,"Ameci - Lake Forest",233.76,2024-6,03/15/2024
02/23/2024,1847768,"Aroma Pizza & Pasta",409.82,2024-6,03/15/2024
02/23/2024,1855348,"Aroma Pizza & Pasta",669.97,2024-6,03/15/2024
02/22/2024,1847063,"Aroma Pizza & Pasta",407.18,2024-6,03/15/2024
02/21/2024,1846344,"Ameci - Lake Forest",244.96,2024-6,03/15/2024
02/13/2024,1841744,"Ameci - Lake Forest",280.11,2024-5,03/01/2024
02/12/2024,1841779,"Aroma Pizza & Pasta",417.38,2024-5,03/01/2024
02/09/2024,1844975,"Ameci - Lake Forest",164.96,2024-5,03/01/2024
02/08/2024,1836430,"Aroma Pizza & Pasta",408.84,2024-5,03/01/2024
02/02/2024,1839976,"Ameci - Lake Forest",184.33,2024-4,02/16/2024
02/01/2024,1831943,"Aroma Pizza & Pasta",263.77,2024-4,02/16/2024
01/31/2024,1831151,"Ameci - Lake Forest",355.44,2024-4,02/16/2024
01/26/2024,1826339,"Aroma Pizza & Pasta",239.51,2024-4,02/16/2024
01/25/2024,1833920,"Ameci - Lake Forest",828.46,2024-4,02/16/2024
01/24/2024,1825630,"Ameci - Lake Forest",412.54,2024-4,02/16/2024
01/23/2024,1825629,"Aroma Pizza & Pasta",518.52,2024-4,02/16/2024
01/18/2024,1822094,"Aroma Pizza & Pasta",177.84,2024-3,02/02/2024
01/18/2024,1828662,"Ameci - Lake Forest",124.89,2024-3,02/02/2024
01/17/2024,1822141,"Aroma Pizza & Pasta",233.15,2024-3,02/02/2024
01/16/2024,1821337,"Ameci - Lake Forest",346.15,2024-3,02/02/2024
01/15/2024,1821392,"Aroma Pizza & Pasta",355.84,2024-3,02/02/2024
01/11/2024,1817051,"Aroma Pizza & Pasta",50.44,2024-3,02/02/2024
01/11/2024,1823379,"Ameci - Lake Forest",805.89,2024-3,02/02/2024
01/03/2024,1815245,"Ameci - Lake Forest",211.67,2024-2,01/19/2024
01/03/2024,1815902,"Aroma Pizza & Pasta",45.95,2024-2,01/19/2024
12/27/2023,1812760,"Ameci - Lake Forest",409.33,2024-2,01/19/2024
12/26/2023,1812759,"Aroma Pizza & Pasta",390.87,2024-2,01/19/2024
12/22/2023,1814866,"Ameci - Lake Forest",168.95,2024-1,01/05/2024
12/22/2023,1814397,"Ameci - Lake Forest",536.85,2024-1,01/05/2024
12/20/2023,1808669,"Aroma Pizza & Pasta",273.97,2024-1,01/05/2024
12/19/2023,1807855,"Ameci - Lake Forest",319.03,2024-1,01/05/2024
12/18/2023,1807902,"Aroma Pizza & Pasta",363.19,2024-1,01/05/2024
12/14/2023,1802666,"Aroma Pizza & Pasta",409.71,2024-1,01/05/2024
12/13/2023,1803460,"Aroma Pizza & Pasta",230.83,2024-1,01/05/2024
12/06/2023,1797185,"Ameci - Lake Forest",178.99,2023-26,12/22/2023
12/06/2023,1798023,"Aroma Pizza & Pasta",176.89,2023-26,12/22/2023
12/04/2023,1798850,"Aroma Pizza & Pasta",180.31,2023-26,12/22/2023
12/04/2023,1801067,"Ameci - Lake Forest",329.99,2023-26,12/22/2023
12/04/2023,1798835,"Ameci - Lake Forest",159.99,2023-26,12/22/2023
12/01/2023,1798593,"Aroma Pizza & Pasta",269.99,2023-26,12/22/2023
11/29/2023,1793942,"Ameci - Lake Forest",412.98,2023-26,12/22/2023
11/29/2023,1794748,"Aroma Pizza & Pasta",20.98,2023-26,12/22/2023
11/28/2023,1793941,"Aroma Pizza & Pasta",342.30,2023-26,12/22/2023
11/22/2023,1790076,"Aroma Pizza & Pasta",143.64,2023-25,12/08/2023
11/21/2023,1789380,"Ameci - Lake Forest",316.55,2023-25,12/08/2023
11/20/2023,1789417,"Aroma Pizza & Pasta",307.26,2023-25,12/08/2023
11/20/2023,1793047,"Ameci - Lake Forest",274.66,2023-25,12/08/2023
11/17/2023,1792617,"Aroma Pizza & Pasta",134.97,2023-25,12/08/2023
11/16/2023,1784175,"Aroma Pizza & Pasta",402.91,2023-25,12/08/2023
11/09/2023,1779587,"Aroma Pizza & Pasta",281.78,2023-24,11/24/2023
11/08/2023,1778779,"Ameci - Lake Forest",250.01,2023-24,11/24/2023
11/08/2023,1779663,"Aroma Pizza & Pasta",81.43,2023-24,11/24/2023
11/06/2023,1782409,"Ameci - Lake Forest",269.99,2023-24,11/24/2023
11/01/2023,1774124,"Aroma Pizza & Pasta",258.51,2023-24,11/24/2023
10/31/2023,1778309,"Ameci - Lake Forest",359.97,2023-24,11/24/2023
10/31/2023,1773474,"Aroma Pizza & Pasta",410.21,2023-24,11/24/2023
10/31/2023,1774325,"Ameci - Lake Forest",14.49,2023-24,11/24/2023
10/26/2023,1775794,"Ameci - Lake Forest",115.89,2023-23,11/10/2023
10/25/2023,1768039,"Ameci - Lake Forest",373.07,2023-23,11/10/2023
10/25/2023,1775462,"Ameci - Lake Forest",201.35,2023-23,11/10/2023
10/25/2023,1768993,"Aroma Pizza & Pasta",191.31,2023-23,11/10/2023
10/24/2023,1768028,"Aroma Pizza & Pasta",258.58,2023-23,11/10/2023
10/23/2023,1768096,"Ameci - Lake Forest",230.45,2023-23,11/10/2023
10/19/2023,1769767,"Ameci - Lake Forest",749.97,2023-23,11/10/2023
10/17/2023,1762520,"Aroma Pizza & Pasta",382.71,2023-23,11/10/2023
10/16/2023,1762469,"Aroma Pizza & Pasta",401.65,2023-23,11/10/2023
10/12/2023,1764377,"Ameci - Lake Forest",401.92,2023-22,10/27/2023
10/12/2023,1757297,"Ameci - Lake Forest",141.46,2023-22,10/27/2023
10/11/2023,1758297,"Aroma Pizza & Pasta",126.60,2023-22,10/27/2023
10/11/2023,1757301,"Ameci - Lake Forest",334.49,2023-22,10/27/2023
10/10/2023,1757231,"Aroma Pizza & Pasta",414.64,2023-22,10/27/2023
10/09/2023,1761364,"Ameci - Lake Forest",253.22,2023-22,10/27/2023
10/05/2023,1752952,"Aroma Pizza & Pasta",101.92,2023-22,10/27/2023
10/03/2023,1751990,"Aroma Pizza & Pasta",320.47,2023-22,10/27/2023
10/03/2023,1752121,"Ameci - Lake Forest",91.43,2023-22,10/27/2023
09/28/2023,1747829,"Aroma Pizza & Pasta",123.88,2023-21,10/13/2023
09/27/2023,1746807,"Ameci - Lake Forest",207.27,2023-21,10/13/2023
09/26/2023,1746796,"Aroma Pizza & Pasta",308.96,2023-21,10/13/2023
09/25/2023,1746865,"Ameci - Lake Forest",232.51,2023-21,10/13/2023
09/20/2023,1742642,"Ameci - Lake Forest",191.22,2023-21,10/13/2023
09/19/2023,1741450,"Aroma Pizza & Pasta",267.41,2023-21,10/13/2023
09/18/2023,1741399,"Aroma Pizza & Pasta",390.16,2023-21,10/13/2023
09/13/2023,1743045,"Ameci - Lake Forest",269.99,2023-20,09/29/2023
09/13/2023,1737000,"Aroma Pizza & Pasta",215.30,2023-20,09/29/2023
09/13/2023,1736048,"Ameci - Lake Forest",235.71,2023-20,09/29/2023
09/12/2023,1737060,"Ameci - Lake Forest",276.00,2023-20,09/29/2023
09/06/2023,1732863,"Aroma Pizza & Pasta",108.85,2023-20,09/29/2023
09/05/2023,1731956,"Aroma Pizza & Pasta",311.46,2023-20,09/29/2023
09/01/2023,1726775,"Aroma Pizza & Pasta",427.64,2023-19,09/15/2023
08/31/2023,1727821,"Aroma Pizza & Pasta",164.12,2023-19,09/15/2023
08/30/2023,1726758,"Ameci - Lake Forest",362.44,2023-19,09/15/2023
08/29/2023,1726747,"Aroma Pizza & Pasta",278.78,2023-19,09/15/2023
08/28/2023,1726816,"Ameci - Lake Forest",252.68,2023-19,09/15/2023
08/24/2023,1722680,"Aroma Pizza & Pasta",95.91,2023-19,09/15/2023
08/22/2023,1721776,"Aroma Pizza & Pasta",353.42,2023-19,09/15/2023
08/21/2023,1721725,"Aroma Pizza & Pasta",410.51,2023-19,09/15/2023
08/21/2023,1725146,"Ameci - Lake Forest",159.99,2023-19,09/15/2023
08/17/2023,1717663,"Aroma Pizza & Pasta",184.83,2023-18,09/01/2023
08/16/2023,1723705,"Ameci - Lake Forest",448.05,2023-18,09/01/2023
08/16/2023,1717749,"Aroma Pizza & Pasta",170.86,2023-18,09/01/2023
08/16/2023,1716788,"Ameci - Lake Forest",330.50,2023-18,09/01/2023
08/15/2023,1717813,"Ameci - Lake Forest",286.63,2023-18,09/01/2023
08/10/2023,1711981,"Ameci - Lake Forest",272.41,2023-18,09/01/2023
08/08/2023,1711994,"Aroma Pizza & Pasta",326.47,2023-18,09/01/2023
08/04/2023,1707273,"Aroma Pizza & Pasta",404.44,2023-17,08/18/2023
08/03/2023,1708286,"Aroma Pizza & Pasta",219.06,2023-17,08/18/2023
08/02/2023,1707256,"Ameci - Lake Forest",310.08,2023-17,08/18/2023
08/02/2023,1708227,"Aroma Pizza & Pasta",247.28,2023-17,08/18/2023
08/01/2023,1707246,"Aroma Pizza & Pasta",138.12,2023-17,08/18/2023
07/31/2023,1707314,"Ameci - Lake Forest",350.70,2023-17,08/18/2023
07/27/2023,1703386,"Aroma Pizza & Pasta",108.86,2023-17,08/18/2023
07/25/2023,1702478,"Aroma Pizza & Pasta",362.93,2023-17,08/18/2023
07/24/2023,1702427,"Aroma Pizza & Pasta",400.39,2023-17,08/18/2023
07/20/2023,1698316,"Aroma Pizza & Pasta",146.62,2023-16,08/04/2023
07/19/2023,1698395,"Aroma Pizza & Pasta",267.50,2023-16,08/04/2023
07/19/2023,1697411,"Ameci - Lake Forest",227.14,2023-16,08/04/2023
07/13/2023,1693027,"Ameci - Lake Forest",197.22,2023-16,08/04/2023
07/12/2023,1699202,"Ameci - Lake Forest",480.91,2023-16,08/04/2023
07/12/2023,1699190,"Aroma Pizza & Pasta",207.85,2023-16,08/04/2023
07/11/2023,1693040,"Aroma Pizza & Pasta",355.22,2023-16,08/04/2023
07/07/2023,1689339,"Aroma Pizza & Pasta",356.80,2023-15,07/21/2023
07/06/2023,1690244,"Aroma Pizza & Pasta",207.08,2023-15,07/21/2023
07/05/2023,1689328,"Ameci - Lake Forest",313.46,2023-15,07/21/2023
06/29/2023,1685385,"Aroma Pizza & Pasta",134.48,2023-15,07/21/2023
06/27/2023,1684384,"Aroma Pizza & Pasta",289.78,2023-15,07/21/2023
06/26/2023,1684333,"Aroma Pizza & Pasta",408.68,2023-15,07/21/2023
06/22/2023,1680710,"Aroma Pizza & Pasta",215.28,2023-14,07/07/2023
06/21/2023,1686179,"Aroma Pizza & Pasta",326.16,2023-14,07/07/2023
06/21/2023,1680765,"Aroma Pizza & Pasta",206.31,2023-14,07/07/2023
06/21/2023,1679720,"Ameci - Lake Forest",147.57,2023-14,07/07/2023
06/20/2023,1679027,"Ameci - Lake Forest",582.93,2023-14,07/07/2023
06/15/2023,1674617,"Ameci - Lake Forest",164.56,2023-14,07/07/2023
06/15/2023,1675723,"Aroma Pizza & Pasta",112.74,2023-14,07/07/2023
06/13/2023,1674630,"Aroma Pizza & Pasta",257.06,2023-14,07/07/2023
06/09/2023,1669491,"Aroma Pizza & Pasta",402.68,2023-13,06/23/2023
06/08/2023,1670633,"Aroma Pizza & Pasta",180.83,2023-13,06/23/2023
06/08/2023,1677513,"Ameci - Lake Forest",260.93,2023-13,06/23/2023
06/07/2023,1669474,"Ameci - Lake Forest",270.41,2023-13,06/23/2023
06/06/2023,1669463,"Aroma Pizza & Pasta",222.48,2023-13,06/23/2023
06/05/2023,1672997,"Ameci - Lake Forest",105.74,2023-13,06/23/2023
06/05/2023,1669536,"Ameci - Lake Forest",290.36,2023-13,06/23/2023
06/02/2023,1672503,"Ameci - Lake Forest",394.94,2023-13,06/23/2023
05/31/2023,1668712,"Aroma Pizza & Pasta",74.69,2023-13,06/23/2023
05/30/2023,1669143,"Ameci - Lake Forest",407.17,2023-13,06/23/2023
05/30/2023,1665328,"Aroma Pizza & Pasta",209.31,2023-13,06/23/2023
05/26/2023,1660121,"Ameci - Lake Forest",97.11,2023-12,06/09/2023
05/24/2023,1661248,"Aroma Pizza & Pasta",219.09,2023-12,06/09/2023
05/22/2023,1664231,"Ameci - Lake Forest",144.90,2023-12,06/09/2023
05/22/2023,1660199,"Aroma Pizza & Pasta",36.96,2023-12,06/09/2023
05/18/2023,1654523,"Ameci - Lake Forest",187.04,2023-12,06/09/2023
05/18/2023,1655714,"Aroma Pizza & Pasta",174.83,2023-12,06/09/2023
05/18/2023,1662719,"Ameci - Lake Forest",195.85,2023-12,06/09/2023
05/16/2023,1654536,"Aroma Pizza & Pasta",342.58,2023-12,06/09/2023
05/12/2023,1649244,"Aroma Pizza & Pasta",425.74,2023-11,05/26/2023
05/10/2023,1649227,"Ameci - Lake Forest",373.64,2023-11,05/26/2023
05/10/2023,1650465,"Aroma Pizza & Pasta",207.57,2023-11,05/26/2023
05/09/2023,1649216,"Aroma Pizza & Pasta",215.55,2023-11,05/26/2023
05/09/2023,1654366,"Ameci - Lake Forest",299.99,2023-11,05/26/2023
05/08/2023,1650382,"Aroma Pizza & Pasta",195.67,2023-11,05/26/2023
05/08/2023,1649305,"Ameci - Lake Forest",224.27,2023-11,05/26/2023
05/03/2023,1644672,"Aroma Pizza & Pasta",127.41,2023-11,05/26/2023
